sub	MB	ME	stat	contrast	denoise	mask_name	mean_act	median_act
10154	6	1	varcope	13	none	VS	32992.7	33648.2
10154	6	1	varcope	13	none	RVS	57911.758	31736.85
10154	6	1	varcope	13	none	LVS	41510.504	35280.6
10154	6	1	varcope	13	none	vmPFC	26315.047	23796.77
10154	6	1	varcope	13	none	FFA	36302.78	22410.379
10154	6	1	varcope	13	none	sCerb	48739.254	42579.363
10154	6	1	varcope	13	none	iCerb	35260.77	34642.707
10154	6	1	varcope	13	none	Motor	26236.379	20869.29
10154	6	1	cope	12	none	VS	-126.31398	-105.60301
10154	6	1	cope	12	none	RVS	-305.31033	-241.84819
10154	6	1	cope	12	none	LVS	-181.7419	-224.60207
10154	6	1	cope	12	none	vmPFC	-260.42712	-220.58669
10154	6	1	cope	12	none	FFA	-447.33038	-535.63025
10154	6	1	cope	12	none	sCerb	-52.806004	-72.54232
10154	6	1	cope	12	none	iCerb	9.423342	-3.0669029
10154	6	1	cope	12	none	Motor	128.2699	47.586857
10154	6	1	varcope	11	none	VS	82136.64	83486.8
10154	6	1	varcope	11	none	RVS	142861.4	79627.95
10154	6	1	varcope	11	none	LVS	103262.38	88080.445
10154	6	1	varcope	11	none	vmPFC	63394.27	57341.266
10154	6	1	varcope	11	none	FFA	87586.9	54580.61
10154	6	1	varcope	11	none	sCerb	120382.19	106186.4
10154	6	1	varcope	11	none	iCerb	86775.5	85276.51
10154	6	1	varcope	11	none	Motor	63496.613	50544.688
10154	6	1	zstat	11	none	VS	-0.8293328	-0.72436416
10154	6	1	zstat	11	none	RVS	-0.89534825	-0.9204161
10154	6	1	zstat	11	none	LVS	-0.8586793	-0.75722015
10154	6	1	zstat	11	none	vmPFC	-0.21863462	-0.16668406
10154	6	1	zstat	11	none	FFA	-0.76183593	-0.68619096
10154	6	1	zstat	11	none	sCerb	-0.6888329	-0.7114247
10154	6	1	zstat	11	none	iCerb	-0.8866566	-0.88307554
10154	6	1	zstat	11	none	Motor	-0.8434945	-0.7730723
10154	6	1	cope	11	none	VS	-234.66637	-217.53238
10154	6	1	cope	11	none	RVS	-334.08414	-288.30505
10154	6	1	cope	11	none	LVS	-266.7645	-227.16428
10154	6	1	cope	11	none	vmPFC	-33.958515	-28.006306
10154	6	1	cope	11	none	FFA	-210.88736	-186.29984
10154	6	1	cope	11	none	sCerb	-229.18985	-233.39804
10154	6	1	cope	11	none	iCerb	-270.53278	-253.88585
10154	6	1	cope	11	none	Motor	-236.88034	-167.5988
10154	6	1	varcope	12	none	VS	100461.08	102690.24
10154	6	1	varcope	12	none	RVS	173555.86	99129.21
10154	6	1	varcope	12	none	LVS	126350.45	109382.914
10154	6	1	varcope	12	none	vmPFC	72605.01	65854.03
10154	6	1	varcope	12	none	FFA	100107.71	63295.367
10154	6	1	varcope	12	none	sCerb	146178.39	131234.17
10154	6	1	varcope	12	none	iCerb	104632.695	102810.63
10154	6	1	varcope	12	none	Motor	75900.79	60542.523
10154	6	1	zstat	12	none	VS	-0.3981364	-0.3974139
10154	6	1	zstat	12	none	RVS	-0.745668	-0.73244154
10154	6	1	zstat	12	none	LVS	-0.6122125	-0.75114244
10154	6	1	zstat	12	none	vmPFC	-0.91761607	-0.9217989
10154	6	1	zstat	12	none	FFA	-1.7873961	-2.101295
10154	6	1	zstat	12	none	sCerb	-0.16392772	-0.22588558
10154	6	1	zstat	12	none	iCerb	0.0064526876	-0.009314865
10154	6	1	zstat	12	none	Motor	0.35049126	0.199195
10154	6	1	zstat	13	none	VS	-0.14759928	-0.106387705
10154	6	1	zstat	13	none	RVS	0.25339842	0.24880593
10154	6	1	zstat	13	none	LVS	-0.3039871	-0.29769394
10154	6	1	zstat	13	none	vmPFC	0.47219947	0.61786586
10154	6	1	zstat	13	none	FFA	-0.108525224	-0.112542406
10154	6	1	zstat	13	none	sCerb	0.41707382	0.42942497
10154	6	1	zstat	13	none	iCerb	0.9848087	0.8545169
10154	6	1	zstat	13	none	Motor	0.34373558	0.412495
10154	6	1	cope	13	none	VS	-23.405107	-19.116325
10154	6	1	cope	13	none	RVS	40.4847	43.160522
10154	6	1	cope	13	none	LVS	-49.79496	-61.287514
10154	6	1	cope	13	none	vmPFC	91.66554	101.22691
10154	6	1	cope	13	none	FFA	-32.87344	-18.417093
10154	6	1	cope	13	none	sCerb	87.558075	94.447586
10154	6	1	cope	13	none	iCerb	197.73343	151.08997
10154	6	1	cope	13	none	Motor	64.20632	58.870872
10154	1	1	varcope	13	none	VS	185476.25	174528.0
10154	1	1	varcope	13	none	RVS	292947.6	164480.33
10154	1	1	varcope	13	none	LVS	248867.64	199757.19
10154	1	1	varcope	13	none	vmPFC	79257.04	60917.598
10154	1	1	varcope	13	none	FFA	94868.58	62473.29
10154	1	1	varcope	13	none	sCerb	216473.98	185227.05
10154	1	1	varcope	13	none	iCerb	141105.92	132394.44
10154	1	1	varcope	13	none	Motor	107735.89	67367.91
10154	1	1	cope	12	none	VS	-69.754265	-55.735634
10154	1	1	cope	12	none	RVS	-239.95343	-273.77478
10154	1	1	cope	12	none	LVS	-366.5768	-296.62085
10154	1	1	cope	12	none	vmPFC	-362.7494	-298.65942
10154	1	1	cope	12	none	FFA	-50.826797	-102.9347
10154	1	1	cope	12	none	sCerb	64.103096	68.31713
10154	1	1	cope	12	none	iCerb	58.6567	73.54495
10154	1	1	cope	12	none	Motor	264.69485	240.91318
10154	1	1	varcope	11	none	VS	336140.22	315608.94
10154	1	1	varcope	11	none	RVS	530151.25	294422.28
10154	1	1	varcope	11	none	LVS	448529.62	360684.28
10154	1	1	varcope	11	none	vmPFC	137502.3	105400.61
10154	1	1	varcope	11	none	FFA	166975.06	111007.59
10154	1	1	varcope	11	none	sCerb	388618.4	330610.6
10154	1	1	varcope	11	none	iCerb	260037.02	244753.17
10154	1	1	varcope	11	none	Motor	194157.16	122080.305
10154	1	1	zstat	11	none	VS	-0.25042492	-0.24535975
10154	1	1	zstat	11	none	RVS	0.023761742	-0.01666988
10154	1	1	zstat	11	none	LVS	-0.09483601	-0.07606392
10154	1	1	zstat	11	none	vmPFC	0.123043306	0.14293939
10154	1	1	zstat	11	none	FFA	0.22423221	0.27086228
10154	1	1	zstat	11	none	sCerb	-0.24765776	-0.21725021
10154	1	1	zstat	11	none	iCerb	0.06923872	0.0062906467
10154	1	1	zstat	11	none	Motor	-0.067434885	-0.041781202
10154	1	1	cope	11	none	VS	-136.87794	-149.85526
10154	1	1	cope	11	none	RVS	89.34962	-10.049849
10154	1	1	cope	11	none	LVS	-41.493248	-46.389763
10154	1	1	cope	11	none	vmPFC	80.67246	43.12525
10154	1	1	cope	11	none	FFA	93.853424	95.999535
10154	1	1	cope	11	none	sCerb	-154.63533	-124.26154
10154	1	1	cope	11	none	iCerb	30.404425	3.6541529
10154	1	1	cope	11	none	Motor	-22.325663	-17.641571
10154	1	1	varcope	12	none	VS	272340.78	255648.6
10154	1	1	varcope	12	none	RVS	428111.75	236332.9
10154	1	1	varcope	12	none	LVS	362920.53	291641.3
10154	1	1	varcope	12	none	vmPFC	109653.41	83591.44
10154	1	1	varcope	12	none	FFA	135618.61	89662.734
10154	1	1	varcope	12	none	sCerb	316338.4	267977.34
10154	1	1	varcope	12	none	iCerb	212115.6	199929.34
10154	1	1	varcope	12	none	Motor	159277.38	99507.46
10154	1	1	zstat	12	none	VS	-0.11365429	-0.11260186
10154	1	1	zstat	12	none	RVS	-0.445504	-0.5552596
10154	1	1	zstat	12	none	LVS	-0.60172737	-0.5923909
10154	1	1	zstat	12	none	vmPFC	-1.0065517	-0.97290945
10154	1	1	zstat	12	none	FFA	-0.2544092	-0.3895058
10154	1	1	zstat	12	none	sCerb	0.13777587	0.11574023
10154	1	1	zstat	12	none	iCerb	0.1342755	0.17823313
10154	1	1	zstat	12	none	Motor	0.7299979	0.7295412
10154	1	1	zstat	13	none	VS	-0.30541623	-0.36667415
10154	1	1	zstat	13	none	RVS	0.30403116	0.26988173
10154	1	1	zstat	13	none	LVS	-0.2104238	-0.3034523
10154	1	1	zstat	13	none	vmPFC	0.43991804	0.50000346
10154	1	1	zstat	13	none	FFA	0.20032151	0.22672415
10154	1	1	zstat	13	none	sCerb	-0.25803208	-0.21514724
10154	1	1	zstat	13	none	iCerb	0.027802274	0.002576828
10154	1	1	zstat	13	none	Motor	0.008342778	-0.0036110533
10154	1	1	cope	13	none	VS	-119.150665	-144.07162
10154	1	1	cope	13	none	RVS	176.43144	108.134094
10154	1	1	cope	13	none	LVS	-67.87556	-142.97221
10154	1	1	cope	13	none	vmPFC	133.94612	115.268875
10154	1	1	cope	13	none	FFA	41.735477	57.815254
10154	1	1	cope	13	none	sCerb	-118.30856	-91.25797
10154	1	1	cope	13	none	iCerb	1.3614309	0.85667497
10154	1	1	cope	13	none	Motor	-22.007467	-0.89979273
10154	6	4	varcope	13	none	VS	54865.223	56610.297
10154	6	4	varcope	13	none	RVS	81330.82	53153.133
10154	6	4	varcope	13	none	LVS	71686.59	69392.375
10154	6	4	varcope	13	none	vmPFC	30059.668	28065.043
10154	6	4	varcope	13	none	FFA	38659.824	23800.732
10154	6	4	varcope	13	none	sCerb	85340.805	74283.414
10154	6	4	varcope	13	none	iCerb	33933.26	33152.71
10154	6	4	varcope	13	none	Motor	28345.953	22858.893
10154	6	4	cope	12	none	VS	45.34877	0.0
10154	6	4	cope	12	none	RVS	198.02435	138.37494
10154	6	4	cope	12	none	LVS	215.16481	179.32669
10154	6	4	cope	12	none	vmPFC	273.25507	173.16986
10154	6	4	cope	12	none	FFA	-146.1474	-36.86825
10154	6	4	cope	12	none	sCerb	477.38065	502.77478
10154	6	4	cope	12	none	iCerb	303.69934	278.51285
10154	6	4	cope	12	none	Motor	545.58624	482.10968
10154	6	4	varcope	11	none	VS	576643.6	595707.3
10154	6	4	varcope	11	none	RVS	859130.75	556006.5
10154	6	4	varcope	11	none	LVS	756487.4	729763.0
10154	6	4	varcope	11	none	vmPFC	316217.38	294427.5
10154	6	4	varcope	11	none	FFA	408248.66	252509.47
10154	6	4	varcope	11	none	sCerb	900670.7	781759.75
10154	6	4	varcope	11	none	iCerb	359268.5	350912.84
10154	6	4	varcope	11	none	Motor	298010.56	240151.66
10154	6	4	zstat	11	none	VS	-0.12297923	0.0
10154	6	4	zstat	11	none	RVS	-0.15928897	-0.045263752
10154	6	4	zstat	11	none	LVS	-0.5686162	-0.61184186
10154	6	4	zstat	11	none	vmPFC	-0.75974524	-0.8600144
10154	6	4	zstat	11	none	FFA	1.0098033	0.95365167
10154	6	4	zstat	11	none	sCerb	-0.3108647	-0.2863902
10154	6	4	zstat	11	none	iCerb	-0.15532568	-0.18415555
10154	6	4	zstat	11	none	Motor	-0.573475	-0.61689633
10154	6	4	cope	11	none	VS	-130.25677	0.0
