sub	MB	ME	Region	TSNR
10017	6	4	VS	31.70218849182129
10017	6	4	RVS	28.980915069580078
10017	6	4	LVS	26.821964263916016
10017	6	4	vmPFC	40.17830276489258
10017	6	4	FFA	50.12730026245117
10017	6	4	sCerb	43.22832489013672
10017	6	4	iCerb	44.89486312866211
10017	6	4	Motor	52.89959716796875
10017	1	4	VS	56.22648239135742
10017	1	4	RVS	50.289207458496094
10017	1	4	LVS	50.68733596801758
10017	1	4	vmPFC	62.22635269165039
10017	1	4	FFA	70.14869689941406
10017	1	4	sCerb	63.380584716796875
10017	1	4	iCerb	60.97703170776367
10017	1	4	Motor	73.75390625
10017	3	1	VS	29.2780239149712
10017	3	1	RVS	32.7327470480338
10017	3	1	LVS	30.866086654760853
10017	3	1	vmPFC	40.8348417200323
10017	3	1	FFA	45.25517392723907
10017	3	1	sCerb	44.27860644587408
10017	3	1	iCerb	43.002870296461424
10017	3	1	Motor	49.590966167273145
10017	3	4	VS	45.055320739746094
10017	3	4	RVS	40.800018310546875
10017	3	4	LVS	39.56806564331055
10017	3	4	vmPFC	46.82940673828125
10017	3	4	FFA	53.38291931152344
10017	3	4	sCerb	53.31459426879883
10017	3	4	iCerb	52.102569580078125
10017	3	4	Motor	57.60833740234375
10017	1	1	VS	27.372549588991806
10017	1	1	RVS	32.84790448667328
10017	1	1	LVS	29.42942736659161
10017	1	1	vmPFC	38.25271615457523
10017	1	1	FFA	47.01179417154109
10017	1	1	sCerb	45.35839496698284
10017	1	1	iCerb	44.7533104276763
10017	1	1	Motor	50.509440265528646
10017	6	1	VS	24.331730642678394
10017	6	1	RVS	28.04296055081552
10017	6	1	LVS	26.001876527223757
10017	6	1	vmPFC	35.02113536191808
10017	6	1	FFA	43.56911998037476
10017	6	1	sCerb	41.54847250998101
10017	6	1	iCerb	41.39696815828817
10017	6	1	Motor	44.6465647189668
10024	3	1	VS	30.2810227169153
10024	3	1	RVS	34.96871184202818
10024	3	1	LVS	34.00388602406792
10024	3	1	vmPFC	41.109794355581094
10024	3	1	FFA	53.64515025366617
10024	3	1	sCerb	44.744255350318184
10024	3	1	iCerb	45.636088198062026
