global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50
4339.089468878886	n/a	n/a	18827697.418935653	10658.98661375796	n/a	n/a	113613995.63227136	3826.069311323088	n/a	n/a	14638806.37504833	7455.493136330021	7071.853391927405	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.26584	n/a	0.0706709056	n/a	0.450403	n/a	0.202862862409	n/a	0.580568	n/a	0.3370592026239999	n/a	0.000307972	n/a	n/a	9.4846752784e-08	0.000592438	n/a	n/a	3.509827838440001e-07	-0.000113478	n/a	n/a	1.2877256484e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4320.775880195416	-18.31358868346979	335.3875304673128	18669104.206878472	10535.38305243797	-123.60356131998924	15277.84037098434	110994296.0615972	3818.035114748956	-8.034196574132238	64.54831459179819	14577392.137456072	7396.242076254045	7009.6522727097135	1.010265	58.012997	0.24302915	0.117836	-0.0381741883	0.0442976692	-0.0467061979	0.0130965743	0.0583027933	-0.0129921125	0.089272334	-0.1731339403	0.0416383522	-0.1059043567	0.038770674	-0.0001108101	0.1765967521	-0.005671605	0.1612671074	-0.1172974679	0.093386375	-0.0712769311	0.0674033404	-0.0911605307	-0.0254425116	0.0073410132	0.0363556303	-0.0160769869	0.0583544382	-0.0992173625	0.0697177447	-0.0356042284	0.0332286214	-0.0320485551	0.0305118125	-0.0147053307	0.0096668822	-0.0623483122	0.0430647681	-0.0243095079	0.0625492416	-0.0809795428	0.0336109084	-0.0924304758	0.0044981587	-0.0690157184	0.0403414584	-0.0508198706	0.1604641491	-0.0069969265	0.1555948941	-0.1231915802	0.0368451981	-0.0151018993	0.0652422616	-0.0974669773	0.0405324764	-0.0465249276	0.0639280395	-0.0139146731	0.0527427318	-0.0665230038	0.0738121675	-0.0383477614	0.0370748044	0.0411278761	-0.0078206723	-0.0276370867	0.0913071399	-0.0731227664	0.0550607294	-0.0612251011	-0.0377662322	0.0037018904	0.0837796611	-0.0406532852	-0.0130437349	-0.0998429366	0.0481701824	-0.1293919803	-0.0069175964	-0.0368725858	0.0396695241	-0.0757645552	-0.0245267137	-0.0383175406	0.0551595378	-0.155146182	-0.1082448737	0.1881617182	-0.222875884	0.1554769865	-0.0180200643	0.00513938	-0.1459655512	0.04794429	-0.1267452841	0.0571455107	-0.0375281905	0.0791047362	-0.0560995238	6.96117e-05	-0.0044367248	0.1072669508	-0.0067789494	-0.0116005998	0.0244656805	0.0999981406	-0.1242636833	0.0028599818	-0.0427879922	0.0218121584	-0.0495799367	0.0265974339	-0.0925079753	0.0013979974	-0.0391462963	0.0764678776	-0.0274349482	0.0776239444	-0.036666134	0.0237151875	-0.0817849893	0.0422336792	-0.0478744288	-0.0572357545	0.0808665263	-0.1280056702	0.0142953049	0.0386936249	-0.087101863	0.146433873	-0.0109842704	-0.0847491695	0.0256369732	0.0011147016	-0.0507532507	0.0429159264	0.0684085663	-0.0913554895	-0.0355094739	0.0159667928	0.0506418827	-0.0369126139	0.0283850721	-0.0468296677	0.0740047393	-0.0437205536	0.0711314739	0.0174302787	-0.1204858541	0.0329376819	-0.0100678144	0.0700662611	-0.0814313866	0.0383875198	-0.076648985	0.1527660722	-0.0021259387	0.0128751265	-0.0024216011	0.090130701	-0.0332260522	0.0107891957	-0.0034382389	0.0262382948	-0.1224550141	0.091475895	0.0914699679	0.0914600897	0.0914462607	0.0914284817	0.0	-0.255297	0.010543	0.065176558209	0.000111154849	0.359519	-0.090884	0.1292539113609999	0.008259901456	0.609991	0.0294229999999999	0.3720890200809999	0.0008657129289999	0.00178445	0.0014764779999999	2.179987284484e-06	3.1842618025e-06	0.00120174	0.0006093019999999	3.712489272039999e-07	1.4441790276e-06	-0.000271281	-0.000157803	2.4901786809e-08	7.3593380961e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4314.953755733606	-5.822124461809835	33.897133248804465	18618825.914119557	10498.11069840794	-37.27235403003033	1389.228374939918	110210328.23602724	3820.015711150443	1.9805964014872188	3.9227621055841206	14592520.033436226	7373.082436728863	6960.965609016901	1.034903	59.427753	0.30922385	0.153491	-0.0203049804	-0.0103290933	0.0438413755	-0.0100489922	0.0316603413	-0.0403484854	-0.0198677332	-0.0361734278	0.0827998903	-0.0260983133	0.0751175916	0.0348599004	0.1200651242	0.0043223213	0.1807137965	-0.0794530041	0.0421759365	-0.1346538565	-0.0955446124	-0.0090697568	-0.0390353328	-0.004946882	-0.0222210137	0.0489689642	0.0433982512	-0.0047684043	0.0587761361	-0.098047742	0.0153908247	0.01242818	0.0063790211	-0.0618730816	0.0309590447	-0.0190921375	0.0572459102	0.0103824515	0.0199848176	-0.0782751634	0.1123372685	-0.0258400469	-0.0096157321	-0.0366368519	0.1504445559	-0.1931931544	0.0805861032	-0.0650698115	0.0805086446	0.0161633019	-0.0304922606	-0.0407544446	0.0079648723	-0.00502425	0.0369954543	-0.0458912555	0.0003546071	0.0251114607	0.160226405	0.0102304841	-0.0709313871	-0.0947726956	0.0013135622	-0.0039447922	0.0181327657	-0.0385515576	0.0087896307	0.0280771056	-0.0271027435	-0.0019772693	-0.0675534277	-0.004464962	-0.001505127	-0.1889108184	-0.002444567	0.0576212136	-0.1342447941	-0.0382836984	-0.0231169279	0.0436601424	0.133398555	0.0763702346	0.0712312612	-0.039436929	0.0388816397	-0.0341397236	-0.0958014966	0.1740485169	-0.0877237941	0.1178723302	-0.0588621295	-0.0051079177	-0.1869867278	0.0823793877	-0.0985686163	0.0016936038	-0.0017832295	0.0092942543	-0.0259813931	0.0016983031	0.0835154666	0.0979690424	0.0322891396	0.0221376251	-0.0034034319	0.0967234687	-0.036279372	0.0405032163	0.0135277769	-0.0219259754	-0.0757762937	-0.1282994195	0.0542009395	0.0453361746	-0.0707025634	0.0077819376	-0.0634961456	-0.0457564377	-0.1470711911	0.0533804335	-0.0083626712	-0.1313352921	-0.0360211813	0.0391169698	-0.1016249947	0.0335889524	0.0145303366	-0.0130167006	-0.0606731899	-0.07597759	0.0208002205	-0.0918955695	-0.0271667655	-0.0729924468	0.0266023629	0.015544649	-0.0233865943	-0.0413794391	0.0867645801	-0.1161159837	-0.0756017157	-0.0198285314	0.0274327667	-0.019823101	0.034080288	-0.0185523101	-0.011448074	-0.0326253409	-0.0443089107	0.0846113564	-0.0245600502	0.0304901866	-0.0686876088	-0.0110666998	-0.103461217	-0.0511716806	0.027203658	-0.03574188	0.0370254638	-0.0208812705	0.0719334562	0.0020400778	-0.027023293	-0.0276228349	0.0228379834	0.0914600897	0.0914067533	0.0913178824	0.0911935115	0.091033689	0.0	-0.239069	0.0162279999999999	0.057153986761	0.0002633479839999	0.496389	0.13687	0.246402039321	0.0187333969	0.558635	-0.0513559999999999	0.312073063225	0.0026374387359999	0.000720434	-0.0010640159999999	1.1321300482559997e-06	5.190251483560001e-07	0.00171531	0.00051357	2.637541449000001e-07	2.9422883961000003e-06	0.00024653	0.000517811	2.68128231721e-07	6.077704090000001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4304.394748807516	-10.55900692608975	111.49262726521133	18527814.15356172	10440.221271585157	-57.88942682278321	3351.185737870372	108998220.19965918	3818.157652449077	-1.8580587013661896	3.452382137722612	14578327.858955448	7343.370629408753	6962.989881394785	0.945322	54.283699	0.143211315	0.0734419	-0.0274147411	0.0291852325	-0.013255387	-0.0101928318	0.0310513694	0.0211224993	0.0388992083	-0.125060823	0.0171035727	-0.0745824084	-0.0197334505	0.0040621588	0.0792751811	0.0130525259	0.0724020393	-0.0331689835	0.0225580227	-0.0582591466	-0.0313507085	-0.0286076017	-0.028762668	-0.0450941411	0.0019022465	-0.0052196792	0.0091224408	0.0168871293	0.136738834	-0.0707502207	0.0151136018	-0.0389577627	0.0304550223	-0.0838101807	0.102572783	-0.1066047768	-0.0664171533	-0.0423591582	0.1123582843	0.0829638157	0.0113452449	-0.0602216218	0.0545792409	-0.0184211605	-0.0170011505	0.046638445	0.0592383146	-0.0454155181	-0.0400458658	0.0117708984	-0.0722665828	0.0838819068	0.0519180953	-0.0137891449	0.1236814579	0.0392706305	0.0872007536	0.0624475639	-0.0393382267	-0.0780491316	0.0587783452	0.0304408906	-0.2112301969	0.0459311259	0.0433779495	-0.049043858	-0.1188062574	-0.0606629942	-0.04664678	0.0191589613	-0.0909990349	0.0699870826	0.1013623084	0.042602355	0.0150002963	0.0256139836	0.0629070863	0.0126213083	0.0460013261	0.074367282	0.014580553	-0.0493966211	-0.0285369268	-0.0213425399	-0.0231506547	-0.1400425009	-0.0455419766	0.0209445767	-0.1064197195	0.0408288729	0.0299153041	0.0230343298	-0.0424432358	0.0534037685	-0.0574003528	0.1087538868	0.064553856	0.0140667701	0.0075800441	0.0013824375	0.0350875273	0.0661332048	-0.002377068	0.0386937057	-0.0099474509	0.1094891047	-0.0856886464	0.0396512308	-0.0137541606	-0.0116478631	0.0216490823	0.0359412308	-0.0801630584	0.0539434477	0.0302281822	-0.1780965675	-0.0816683922	-0.0816899426	-0.0345798741	0.1183882188	-0.0453861954	0.008680473	-0.0135591212	-0.0710749308	0.0405428599	-0.0479270471	-0.0132648469	0.1168688679	0.1089481877	-0.0701137969	0.0798278471	0.0137004634	-0.0339866505	-0.0288413955	0.1156425252	-0.0845758091	0.0274900469	-0.0088060945	-0.0178535593	0.0035535613	0.12802208	-0.0302602084	0.0248032186	-0.0325814101	0.0290795594	-0.0398537625	0.0794569429	0.0063106341	-0.0887568398	0.0024790677	-0.0148789084	0.0687942865	-0.1397137471	-0.002206161	-0.0549895842	0.1059696817	-0.0158199383	0.0390941965	-0.0418795872	0.0375311297	-0.0337460011	-0.0755929322	0.0406510995	0.0299220153	-0.1165727483	0.0914284817	0.0912803678	0.091033689	0.0906887116	0.0902458083	0.0	-0.229017	0.010052	0.052448786289	0.000101042704	0.435487	-0.060902	0.189648927169	0.003709053604	0.558701	6.60000000000105e-05	0.312146807401	4.356000000001385e-09	0.00138952	0.0006690859999999	4.476760753959999e-07	1.9307658304e-06	0.00122733	-0.00048798	2.3812448040000005e-07	1.5063389289e-06	-4.02303e-05	-0.0002867603	8.223146965609e-08	1.61847703809e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4299.810958246505	-4.583790561011483	21.01113590721797	18488374.27665673	10396.860037723154	-43.36123386200234	1880.196602035258	108094698.6440047	3820.660835149839	2.503182700761954	6.265923633393911	14597449.217247864	7321.631335883773	6890.44205743331	1.011961	58.11034	0.2489814199999998	0.137141	-0.0111789516	-0.0150099222	0.0091228333	-0.0056253973	0.0164649375	-0.0118775402	-0.0114339343	0.0435216504	0.047504553	-0.0066586387	0.063250284	0.0018280382	0.042637302	0.018576799	0.0399385422	0.0489023164	0.0191741343	-0.0953400637	-0.0234683934	0.0097918356	-0.0117658716	0.0158214051	0.0425015261	-0.0515320461	-0.0333448451	-0.1007229105	0.0070814637	0.0775734259	-0.0196774831	-0.0004872115	0.0919551341	0.1549885231	-0.1076550578	0.0062355369	0.1093407035	-0.003129345	-9.80811e-05	0.0163031887	-0.053500493	-0.1126114054	0.0015994847	-0.0816960124	-0.0869736551	0.0439113134	0.0492309677	-0.0382177884	-0.0909241067	-0.0455295414	-0.0074680697	0.0192372796	0.0593880052	0.0916683476	-0.0045808121	0.0497791685	-0.0236694604	0.0287334777	-0.0065723115	-0.0259751084	0.066783902	0.1011119091	0.0063918212	-0.0511976853	0.0829493845	-0.0546634731	0.0320430754	-0.0914008686	-0.0556437711	0.0568038744	-0.0301159849	-0.065987854	0.0141477664	0.1266405806	-0.0006717675	-0.0609675606	0.0194945947	-0.030644998	0.0625453855	-0.079668682	0.0145166402	0.1274554415	-0.0617148779	-0.0324989975	0.0081833918	0.0108764189	0.0084034571	0.0802679648	0.0460645517	0.0604309845	-0.0162123354	-0.0074244424	-0.0113169065	0.0718616135	0.0505963162	0.0026493846	0.0052051865	0.0577396273	-0.1178768493	0.0415422651	-0.0471320898	-0.0879960226	0.0157759137	-0.0098444908	-0.0625436512	0.0310831707	-0.0991336022	0.001888254	-0.0321483141	0.0871754784	-0.086937187	0.0775014714	0.0047081867	-0.0690542101	0.0504830716	0.0444110445	0.0020945043	0.0629035222	0.0394787009	-0.0900974985	0.093171774	0.0410557137	0.0181991339	-0.1123614186	-0.0303573518	-0.0206490236	0.0438583219	-0.1181952343	-0.0031978321	-0.0163070392	0.0342906431	-0.0945700214	-0.0545878991	0.0250390325	0.0403603912	-0.0509209957	0.1014043027	0.001425219	0.0115054223	-0.0446573181	0.0303100291	-0.0132425973	0.0182421651	-0.0285987502	0.020703261	-0.0085403965	-0.0288312176	-0.0300367791	-0.0259918125	0.0715667171	-0.0009857639	0.0466060552	-0.0122290951	-0.0418736087	-0.0783429733	-0.0671791701	0.0375811013	-0.0484269333	-0.0059559794	-0.052081461	0.021548538	0.0072809461	-0.0266148323	-0.0261100718	0.0874733818	0.0913810765	0.0910908987	0.0906079513	0.0899332563	0.0890682417	0.0	-0.236668	-0.0076509999999999	0.0560117422239999	5.853780099999987e-05	0.55367	0.1181829999999999	0.3065504689	0.0139672214889999	0.538985	-0.0197159999999999	0.290504830225	0.0003887206559999	-0.000112273	-0.001501793	2.255382214849e-06	1.2605226529e-08	0.000703102	-0.000524228	2.74814995984e-07	4.943524224040001e-07	-8.28377e-05	-4.26074e-05	1.81539053476e-09	6.86208454129e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4300.042519638245	0.2315613917398877	0.0536206781445137	18490365.670696825	10383.642947728373	-13.217089994781418	174.69146793015105	107820040.86590916	3817.8068275228056	-2.854007627033297	8.145359535164234	14575648.97227975	7321.990365531452	6897.224849044221	1.070392	61.46566	0.1724785949999999	0.082113	-0.0197505971	0.0265155671	0.0010096372	0.0167550429	0.0266189391	0.0238555085	-0.0177841816	-0.0964052999	0.0146003892	-0.1155823188	-0.06289786	0.0345125318	-0.0152170606	0.0030048027	0.010672882	0.0359538843	0.0226823116	-0.0240027174	-0.0193256845	-0.0233842309	-0.0371122086	0.0157457312	0.055927132	0.0220542537	-0.0818500611	-0.0045864243	0.0929193605	-0.0157943446	0.0473452033	0.0074320589	-0.0135054581	-0.0056246243	0.0979726386	0.0143974428	0.0002303187	0.0752460187	0.0500602607	-0.0024331786	0.0136095047	-0.0760284594	0.1235659026	-0.0382621056	0.0587552861	-0.0051481549	-0.0221121416	0.0273232183	-0.1046373066	0.0343851668	-0.0087105507	0.0073497396	-0.0347506323	-0.1010034895	-0.0119488326	-0.0959442675	0.0313075889	-0.0120489323	-0.0102784124	-0.041556793	-0.0061937202	0.0052484349	-0.0120273125	0.0305926385	-0.0236327999	-0.147681664	0.0290249044	0.1226469233	-0.0365868816	0.1157768555	0.0460392901	-0.063473442	-0.1238372763	-0.1083068917	-0.0283838618	0.0334156992	0.0262937414	0.0431256229	0.0153050634	0.0504609537	0.0935625259	0.016572937	-0.1688869408	-0.0288122993	-0.0192331976	-0.1114595132	-0.008737034	-0.0496943359	-0.0521849576	0.0502012476	0.0355710381	0.0220488264	-0.0042827648	-1.5439e-06	0.0373965358	0.0435001274	0.0661836347	0.1007133776	0.0653916903	0.0781870645	0.0702078783	-0.0971991	-0.0176032283	0.0848573879	-0.0068072505	0.1216969475	-0.0277843589	0.0654612217	-0.0111351567	0.0316930022	-0.0215245226	-0.0117117699	0.0112714601	0.058192174	-0.0402679278	-0.1708169288	0.0061783095	-0.0033847862	0.0653873979	-0.0006996733	0.0584361131	0.0550771308	-0.032922404	0.0279940111	0.0263763246	-0.1367801004	-0.0601863657	-0.0619931232	-0.1060267618	-0.0087306042	-0.0609867778	-0.0225342025	-0.0067535135	0.0682960052	-0.0516179598	0.0259016371	-0.0431374686	-0.0001162819	-0.0165294698	0.0200808925	-0.100441784	-0.024173251	0.0214372824	-0.0221569266	0.0323942118	-0.0391165667	0.1070463306	-0.045784844	-0.0289965798	-0.0309934598	-0.0063471557	0.0390511276	-0.1406952395	-0.0104314546	-0.0607798948	0.043417747	0.0432106917	0.0432356901	-0.0166710223	0.0878232947	-0.0795777822	-0.0995968349	0.0347743857	0.1264495978	-0.0983585169	0.0913178824	0.0908384769	0.0900413312	0.0889292336	0.0875060741	0.0	-0.230182	0.0064859999999999	0.052983753124	4.206819599999989e-05	0.495046	-0.058624	0.245070542116	0.003436773376	0.563635	0.0246499999999999	0.317684413225	0.0006076224999999	0.0008138919999999	0.0009261649999999	8.577816072248148e-07	6.624201876638373e-07	0.00142303	0.000719928	5.18296325184e-07	2.0250143809e-06	-7.45588e-05	8.2789e-06	6.854018521e-11	5.55901465744e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
