global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42
3495.0005146452268	n/a	n/a	12215028.5973704	7195.703467863678	n/a	n/a	51778148.39742537	3422.0501660429795	n/a	n/a	11710427.338914784	3457.583070560806	5411.862872499035	n/a	n/a	n/a	n/a	-0.0094970102	-0.0466342417	0.0851550292	0.0146540722	0.1031394176	-0.1034151949	0.0170685546	-0.0140529476	0.0926384271	-0.0551073317	0.1468232401	0.1031238909	-0.0793035322	0.0114772981	-0.0142416093	0.0809346384	-0.064305895	-0.0053969418	0.0181426428	-0.0271324809	0.050696009	-0.0358440546	0.0313688411	-0.0063034125	0.058937016	-0.0179901154	0.0158501717	-0.0119385896	0.0043893511	0.1305797973	-0.0697431867	0.0293140827	-0.0894345584	0.0314502883	-0.0131521115	0.0837338295	-0.043694857	0.0204499773	-0.0668477358	0.0090794674	-0.0427333188	0.0342227193	-0.0042766381	0.0611072481	-0.0179349471	0.0394144779	-0.0251845721	0.0132801313	-0.013120118	0.0269919162	-0.0622584623	0.0491534741	-0.0597716201	0.0378164321	0.0200416092	-0.0655739441	0.0416676173	-0.0224322057	-0.0351491336	0.0395962063	-0.0668602159	0.0845725646	0.0608851208	-0.0106322223	-0.0685807901	0.1084307432	-0.0029873717	-0.0530680018	0.0016465346	0.0681175734	-0.0208865091	-0.0436617143	0.0048229059	0.0743627379	-0.0173248285	-0.036479259	0.0322815699	0.0582674027	-0.0465605165	-0.0749377818	0.0682532723	0.0221941691	0.0440919617	-0.0246828506	-0.0277180822	0.0363587464	0.0412552579	0.0733217915	-0.0289225931	-0.1070223051	0.0587045906	0.0161873	-0.0508264302	-0.0804024932	-0.0051114975	0.0693215017	0.0032725482	0.0331640215	-0.1217207641	-0.0967326805	-0.0901774711	0.0244247143	-0.0192240295	0.0067063404	-0.0892879117	0.0145439985	-0.0406785687	-0.0035186339	0.0479476568	-0.0162291881	0.0101544386	-0.0159805225	0.0835610822	-0.0388317841	0.0142939246	-0.0290913636	0.0061360079	-0.114825188	-0.0812377434	0.0645902712	-0.0852925956	-0.0037009614	0.0658119939	-0.0430886832	0.0600794651	-0.0092430312	0.0611078304	-0.0234680297	0.0249411571	-0.0418371077	0.0642837021	-0.0591426341	0.035257717	-0.0260648092	0.0326492348	-0.0497139977	0.0916666996	-0.0142121215	0.0380851101	-0.0056378984	0.0467337966	-0.0185172901	-0.0095202313	0.0605535289	-0.0394544128	0.0301563131	0.0251457646	-0.0412361727	-0.0163884224	0.0668844399	-0.0756856852	0.029641986	0.0063913029	-0.0959720488	0.0685437755	-0.069076728	-0.0145802245	-0.0683337619	0.0357711425	-0.0071752802	-0.0596469809	0.0191872292	0.0555067541	-0.0192190827	-0.0125334857	-0.0461870198	0.0238292555	0.0404015953	-0.0870146617	-0.021227035	-0.0401111513	0.0571031715	-0.0278009287	-0.0023757544	-0.0714904494	0.0231398366	0.0165822833	0.0677658053	-0.0861960689	-0.0336466245	0.0453771394	0.0910470472	0.1315688383	-0.0589055471	-0.0225267801	-0.0142693671	0.08649728	-0.0982277933	0.0042007365	-0.0132761721	0.0136358848	-0.0006473591	0.0278418833	-0.0862727567	0.0730854185	-0.0167229104	0.059809792	-0.0739448859	0.0189417113	-0.0658975435	0.0676545411	-0.0098421918	0.0569213075	-0.1061102065	-0.0079665344	0.0549064189	-0.0266829479	0.0168759613	-0.0121450328	0.0498079005	-0.0586663379	0.0845140955	0.0845101058	0.0845034564	0.0844941474	0.0844821793	0.0844675524	-0.0154523	n/a	n/a	0.00023877357529	-0.0706391	n/a	0.00498988244881	n/a	0.534224	n/a	0.285395282176	n/a	-0.00261372	n/a	6.8315322384e-06	n/a	-0.000767651	n/a	5.892880578010001e-07	n/a	0.00042732	n/a	1.8260238240000005e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3482.4322409090914	-12.568273736135325	157.961504706429	12127334.312523115	7129.360691103348	-66.34277676033071	4401.364028271076	50827783.8638496	3416.59893603926	-5.451230003719502	29.71590855345172	11673148.289744604	3446.938319087094	5329.705193095054	0.994945	43.846668	0.39818428	0.242828	-0.0658258967	0.0124692185	-0.0354584241	-0.0512522255	-0.0007963184	-0.0824519048	-0.0287959023	-0.0207558555	0.1858936438	-0.0644447764	0.1507727434	0.1544324526	0.0675126854	-0.1059920678	-0.0268260662	0.0393506043	0.0409948519	0.0442605619	0.0214034551	0.0247144182	0.0524626794	0.0823034265	-0.0009229618	-0.0705524067	-0.0072093036	0.0128791214	-0.0244875058	-0.01182058	-0.0590571386	-0.0210968906	-0.0716863546	0.0289564437	0.0818869562	-0.035186608	-0.0484309073	0.0008689348	-0.0080518736	0.0772979935	0.0174231946	0.0100451498	0.0731122092	0.0363887105	-0.0594472957	-0.0259858232	-0.0395242438	0.0787620323	0.0061268677	-0.0295226726	-0.0139886129	-0.1367006573	0.1524691157	-0.0356656273	0.0086871272	-0.0446996378	0.0470677653	0.0066604102	0.099711981	-0.0135642045	-0.0114546065	0.0340570151	0.0214838665	0.0379230627	-0.0122732481	0.0097720417	-0.0154779166	0.0231775247	-0.0330754662	0.1482151417	-0.0971035571	-0.0039391124	0.0715536955	-0.0288971716	-0.0898155232	-0.0737931128	0.0812696868	-0.0609805711	0.0466374006	0.025856152	0.0472194268	0.0237765057	-0.0416228111	-0.1261448382	0.0453214594	0.0456732991	-0.0793148193	0.0915564747	-0.0084649752	-0.0757615773	-0.0413880656	-0.0801631562	0.0507801686	0.0509366448	0.021010145	0.0561461999	0.058515008	0.0297259827	0.0194905408	-0.0089308774	-0.0222718683	-0.0024418713	0.0631313377	-0.0829529794	0.0217154827	0.0022191998	-0.0340432886	0.0672817334	-0.0097031504	0.0618074081	-0.0017798731	0.0663007458	0.0650860535	0.035663262	0.0372015144	0.0111156327	-0.0490178208	0.0321663916	-0.062296705	0.0552448706	-0.0658322794	0.0501062024	0.0622320082	0.0429389995	-0.0217806737	0.0305492567	0.0083237742	0.0577897872	-0.0039835167	0.0320811186	-0.0389445758	0.0819888393	0.0433141767	0.0247149361	0.0142430764	-0.0663797719	0.0989508695	0.0417930257	-0.1181813416	-0.008919139	0.0108561348	0.1517116567	0.0329206206	0.0248241726	0.0450193832	-0.0085004476	-0.1093462709	0.0051285652	0.0283018596	-0.0419493098	-0.0127061929	-0.0201297793	-0.068542813	-0.0065631801	-0.0409157134	-0.0257490761	0.0429975055	0.1280607692	-0.0792369716	0.1113895088	-0.0661608676	-0.0053765755	0.0172589599	0.1062313099	-0.0585457174	-0.0668867393	0.021564452	-0.0605532761	-0.0471872824	-0.0139571485	0.0051700712	-0.1118072404	0.0955505614	-0.0324614407	-0.0503494879	0.1245842879	-0.0221203521	-0.0143906786	-0.0576733579	0.0542844532	-0.0414938485	-0.0012615238	0.0737836059	-0.0349614978	-0.0523762746	-0.0149307142	-0.0330982946	-0.0376078709	0.0182350586	0.0418653819	0.0613724733	-0.0254727412	0.0334362668	-0.0254768726	0.0085912182	-0.062070087	0.0455498546	-0.0813925817	0.0232027504	-0.0313948021	-0.0219243633	0.0356281403	0.085736416	-0.0532817016	0.0365655506	0.0183402209	-0.1078198896	-0.0233141108	-0.0405494795	-0.0251569369	-0.0431000494	0.0417815315	0.0078633923	0.0845034564	0.0844675524	0.0844077238	0.0843239875	0.0842163671	0.0840848933	0.00935773	0.02481003	0.0006155375886009	8.75671107529e-05	-0.0461273	0.0245117999999999	0.00212772780529	0.0006008283392399	0.376055	-0.158169	0.141417363025	0.025017432561	-2.11759e-22	0.00261372	4.4841874081e-44	6.8315322384e-06	-0.00186589	-0.001098239	3.4815454921e-06	1.206128901121e-06	0.00052923	0.0001019099999999	2.800843929e-07	1.0385648099999997e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3488.7503644956987	6.318123586607271	39.91868565564313	12171379.10576887	7084.036840007094	-45.32385109625375	2054.251478195382	50183577.95057769	3418.6104161195726	2.0114800803125945	4.046052113494362	11686897.177201238	3451.538032191628	5337.124196157148	0.985694	43.438999	0.37543038	0.239421	-0.0524605324	0.0112033144	0.0889857499	-0.0209107584	0.0280036078	-0.129799959	-0.0243094994	0.0112056392	-0.0057132505	-0.0914853972	0.1214217612	0.106223931	-0.0370089414	0.0218889555	-0.0251977774	0.0141348644	0.0442066767	0.0300646809	0.0566904452	0.1352218685	0.0211500707	-0.106384959	0.0263215323	0.0098906482	-0.0273730529	-0.0055937985	-0.0333613077	0.0309080283	0.0443699052	-0.0067082663	-0.1096158716	0.0058928216	-0.0411035606	0.1277754896	-0.0155507697	0.0783522571	0.0408929756	0.0012844045	-0.098693994	-0.0098121226	-0.0798218859	-0.032490987	0.0488736541	-0.0381343758	0.0019418292	-0.0004821997	-0.020332211	-0.0089138337	0.0175696361	0.0342813085	0.0810888763	-0.0576866076	0.0058547007	-0.0589373662	0.0213683389	-0.0228508854	0.0399037422	-0.0411609686	-0.0004353464	0.0007366794	0.04038425	-0.0117015269	-0.1151982898	-0.0167793648	0.0214993688	0.0933093388	0.0910122068	0.0507702483	-0.0493314545	-0.0876514784	0.0509242454	-0.0438157804	0.0249804716	-0.0722847362	0.0288929627	0.0856697285	0.1498622952	-0.0661982201	-0.001060745	-0.0577421752	0.0218902289	-0.0459748538	-0.0950005256	-0.0459413688	0.0524159855	0.018345355	0.0673210216	-0.0780314638	0.0235344967	0.0190041806	-0.0632656366	0.0400692259	0.1746400956	-0.0317116858	0.0539526935	0.0331507371	-0.0029183148	0.0281287034	-0.0214827538	-0.0106592744	-0.0413952116	0.010807373	-0.0321978938	0.0525510686	0.0019845456	0.0908958295	0.0104333937	0.1095559861	0.0222999838	-0.1038063284	-0.0601921991	-0.0191312509	-0.0068153726	-0.0052382087	-0.0449636792	-0.0021771767	0.0461214719	0.0221935217	-0.0861770283	0.02357478	-0.0215257223	-0.0621389394	0.139411943	0.0037156394	0.0644501943	0.0055330916	0.1272300461	-0.0070086137	0.0826529616	-0.0292842196	-0.0330975694	0.0577887176	-0.0050314164	0.014449111	-0.0059336932	0.0087494033	-0.0396155803	-0.0232029667	-0.0687021572	0.020789355	-0.0259001936	-0.0443354116	0.0077934634	0.017547153	-0.075133279	-0.0390993424	-0.0298353037	-0.0112395355	0.0592315852	-0.078411514	-0.0229017189	-0.0206886613	0.0881560179	-0.0584015568	0.0769597177	0.0561340021	-0.0264767527	0.056277557	-0.0322682611	-0.1109300521	0.1155006404	0.0230791792	-0.081622143	0.0685676659	-0.030286224	-0.0954068946	0.0213438284	-0.0729211515	-0.0481613369	0.0916743621	0.0601931012	0.0597058056	-0.0378494542	-0.0387705812	0.001545981	-0.0561930134	-0.0914187901	0.0163644715	0.0428576852	0.1116569046	-0.0929240744	-0.0781519022	-0.0198702795	-0.0645491766	-0.0205632127	-0.0599627855	0.0206630242	-0.0795317188	0.0172604709	-0.0716925595	0.0492608507	0.018080338	0.0154055929	-0.1480614494	0.0803662099	-0.0415065888	0.0391262677	-0.0848975241	-0.0367094913	-0.0956063036	0.0202330357	0.0263830666	0.0576569649	0.0413327525	0.0171953138	-0.0363730706	0.0539237666	0.0274205161	-0.0404979422	0.0475131432	0.0705368239	0.0844821793	0.0843824671	0.0842163671	0.0839840102	0.0836855791	0.0833213086	-0.0236526	-0.03301033	0.0010896818867088	0.0005594454867599	-0.0482749	-0.0021475999999999	0.00233046597001	4.612185759999998e-06	0.522098	0.1460429999999999	0.2725863216039999	0.0213285578489999	-0.0028461	-0.0028461	8.10028521e-06	8.10028521e-06	-0.0008274009999999	0.0010384890000001	6.845924148008345e-07	1.0784594031212078e-06	0.00052923	0.0	2.800843929e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3493.2722120427784	4.521847547079688	20.447105239030588	12202950.747430246	7121.321775944663	37.28493593756957	1390.1664478686669	50713223.83654366	3414.0345651151088	-4.575851004463857	20.938412415052888	11655632.01180071	3444.674601528103	5315.2841491207	1.152912	50.808189	0.0746808499999999	0.040795	0.069616535	-0.0883690266	0.0225905832	0.0857562712	0.0722806069	-0.0287038571	0.0651580504	0.0516886531	0.0459610871	-0.0224148313	0.1470426555	0.0920602112	-0.0340415722	-0.0521794349	0.0239753677	0.0347518858	0.0573373054	-0.1397667179	0.0377575035	-0.0267705541	0.0250593409	-0.1095317825	0.0808475806	-0.0817930611	-0.0021777579	-0.0263858801	0.0470849595	0.0163459508	-0.0408635601	-0.0495665279	-0.0663497517	-0.0711513999	0.0230841458	-0.0710778135	-0.0199944349	0.1049600204	-0.0198782296	0.0399345807	-0.0193658085	-0.0323705363	0.0146807526	0.0282598996	0.0347738523	0.0051033797	0.0215477979	0.0559009304	-0.0339793514	0.0094078603	-0.0657762448	0.1414838113	-0.0408291976	0.0047330363	-0.0257276032	0.001505746	0.0432617899	0.0271935621	-0.0926571612	0.0206653104	0.0063685328	-0.0380700714	-0.0697874266	-0.1389272747	0.063108846	-0.0452506175	-0.0547347579	-0.0855562924	0.0323185032	0.0770642676	-0.0069315373	0.0655143329	0.0689341361	-0.0747160379	-0.0259490589	-0.0468649982	-0.0490788798	-0.0011594664	-0.0429136916	-0.0019818629	-0.0032103288	0.0190421689	0.0021251999	0.0486706047	0.0961104715	-0.0122923812	0.0745349543	0.039931269	-0.0837765321	0.1362714122	0.0808220864	-0.0427598494	0.0178545517	-0.1026314734	0.0264600472	0.0528572045	0.0257313587	0.0053659927	-0.0217147575	0.0444470717	-0.0052748095	0.0209993913	-0.0291307241	-0.0673206195	-0.0462113096	-0.0517633478	-0.0313552342	0.0141993891	0.1323062884	-0.0225516524	0.0827539447	-0.1168119031	0.0302037051	0.0336882365	0.0220787386	-0.0952136315	0.0066822264	-0.0277942197	-0.0415547331	0.051904903	-0.0855034771	-0.0689050701	-0.0218535415	0.0573408594	-0.0451542969	-0.0035658092	0.1041573082	0.0266738719	0.0102804492	-0.0219143092	-0.0129083348	-0.0393255995	0.0323443634	-0.0016944389	0.0130572138	-0.0476779875	0.0252122223	-0.0732157764	0.0991498671	0.0443358717	-0.0859076287	-0.0369680459	-0.0219984196	-0.0548006141	0.0518415606	0.0048426932	0.0518507887	-0.0030074326	0.004380126	0.0486863833	0.042267835	0.1175865777	0.1388302851	0.0003974065	-0.0599167976	-0.0304790512	-0.0881963245	0.0968551766	-0.0032941792	-0.0440287742	-0.070519688	-0.0152903905	0.0362015987	0.071369596	0.0372143056	-0.0007481488	0.0120137865	0.0440525971	0.0044010227	0.0274989432	0.0002042568	-0.0502668323	-0.0566287028	0.0189841415	-0.0543246258	-0.0333422103	0.0658632628	0.15430704	0.1120299812	0.0185151888	-0.0427205405	-0.0500405347	-0.0616048366	0.0197565911	-0.0814128766	-0.0363509424	0.0013925604	0.0123409362	0.0313649645	-0.088997402	-0.0495976643	0.0973053953	-0.0303533975	-0.0570986175	0.1037613302	-0.1233329311	-0.0356740929	-0.0297522307	0.0424620414	-0.0066462358	0.0019422557	0.0808501691	0.0109704112	0.0569834864	-0.0697103653	-0.0425298752	-0.0701113121	-0.0537096447	0.0161098574	-0.0818795534	0.0035362513	-0.0342024824	-0.0257019325	0.0844502671	0.0842548926	0.0839296032	0.0834749003	0.0828914853	0.0821802575	-0.0147313	0.0089213	7.958959369000001e-05	0.0002170111996899	-0.0782536999999999	-0.0299787999999998	0.0061236415636899	0.0008987284494399	0.496763	-0.0253349999999999	0.246773478169	0.0006418622249999	-0.00273126	0.0001148399999999	7.459781187600001e-06	1.3188225599999938e-08	-0.000857057	-2.9656000000100047e-05	7.345467012490001e-07	8.79478336005934e-10	0.000464811	-6.441900000000002e-05	2.16049265721e-07	4.149807561000003e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3500.1815487391013	6.909336696322953	47.738933583154974	12251270.874133654	7079.804677050572	-41.51709889409176	1723.669500581795	50123634.26518715	3425.312340385373	11.2777752702641	127.18821504658052	11732764.62919632	3453.70919767893	5306.879114581692	1.173611	51.720383	0.11177845	0.0465839	-0.071526223	-0.0204786947	-0.0321320713	-0.0711015749	0.0259461102	0.0410363856	-0.0050641797	0.0880137071	-0.0756923109	-0.0629234145	0.2310258321	0.0776227032	0.0058687038	-0.0740176777	0.0202124845	0.0803412682	0.0009332325	0.0397077069	0.0248339136	-0.1389870804	-0.0683011819	-0.0661431643	0.0548478984	-0.0376139934	0.0074106425	0.0297449797	-0.0619914686	-0.0888321719	0.1563618475	0.0845600447	-0.1180610738	-0.0001298772	0.0443086843	0.0098130566	4.98631e-05	-0.0089756237	0.004825146	0.0501302424	-0.0102791459	-0.0062908422	-0.0563732525	0.0020051894	-0.0235881106	0.0451545302	0.0174102771	-0.0451500685	-0.0401242541	-0.0554473932	-0.0039504153	0.008859594	-0.0066146354	-0.1249679867	-0.1024574723	0.013279528	0.0162077537	0.0587800458	-0.0204795173	-0.0284003262	-0.0151629212	-0.0083214877	0.0012842465	-0.1212398171	0.101121196	-0.0369320052	-0.0358897265	-0.1263863192	0.0107464791	0.0222955337	-0.0749068296	-0.0299191166	-0.007795948	0.1143092505	-0.0143852017	0.0373557425	0.0299121387	0.009061295	0.0826581872	-0.0252842178	-0.0337208894	-0.0580956465	-0.0210361994	-0.0901232605	0.0532416256	-0.0361922159	-0.0159456994	-0.0406478286	-0.066679332	-0.0365945043	0.0021920608	0.066680148	-0.052957854	0.1023616755	-0.1007746422	0.0216384785	0.0896262806	-0.0024041084	0.025671147	-0.0339800555	0.0091867298	0.1388886468	0.0119676743	-0.0900701704	-0.0169301649	-0.0946739528	-0.0106767731	0.0375966224	-0.0421993196	-0.1343049449	-0.0479966679	-0.064017781	0.0156814408	0.0243060024	0.0444623388	-0.0399774109	-0.0016370047	0.0831125875	0.1570341224	-0.0619589334	-0.1232583625	0.0382813093	0.0397407912	0.0309829676	0.0352981322	0.0037333765	-0.0129700729	0.0435955415	0.0191089939	-0.0064805944	0.0550230786	-0.0159052904	0.0306380319	-0.0664963642	-0.0003835045	0.0591012844	0.0129712786	-0.0266658878	-0.0068417008	0.0463970834	-0.0568035707	-0.0344268402	0.1412145157	-0.037979658	0.0038981768	-0.0079295032	-0.0185311415	-0.0424606088	0.031223724	0.0114745679	0.0035273869	0.0711005171	0.1438215668	-0.0083298125	-0.0379739984	-0.0060297506	-0.1269811308	0.0371267967	-0.0508183532	0.0920067713	-0.0247570041	0.0721500549	-0.0262058277	-0.0644770452	-0.0260358512	0.0469068903	0.0158309733	-0.0861880195	0.0050224542	-0.0742172255	-0.0494639374	-0.0654893849	0.0423479603	0.0446369787	0.0896455014	0.0039172898	0.0017469984	0.0019789943	0.0130542044	-0.0791471903	0.070149207	0.036917994	0.0970040846	-0.0267942083	-0.024450658	0.1528531997	-0.0514117556	-0.0841990619	0.0393107477	-0.036909988	0.051734442	0.0159171348	0.164013432	0.0232306096	0.0518656414	-0.1647614274	-0.0635689412	0.0048394101	-0.017771726	-0.0167210573	0.0517783962	0.1034325477	0.0214816833	0.0297110781	0.0903940836	0.1069717563	-0.0171179643	0.0418489536	-0.0471419421	-0.0493725263	-0.0596980364	-0.1019143467	-0.0610018641	0.0844077238	0.0840848933	0.0835477567	0.0827976831	0.0818365842	0.0806669094	-0.0287269	-0.0139956	0.00019587681936	0.00082523478361	-0.0549771	0.0232765999999998	0.00302248152441	0.0005418001075599	0.470962	-0.025801	0.2218052054439999	0.000665691601	-0.00312124	-0.0003899799999999	9.7421391376e-06	1.520844003999999e-07	-0.000445433	0.000411624	1.98410557489e-07	1.6943431737600006e-07	0.00029231	-0.0001725009999999	8.54451361e-08	2.9756595000999998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
