onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.587007	2	cue_social	n/a	32	n/a	n/a
4.587007	2	cue_social_high	n/a	32	n/a	n/a
6.523182	1.750384	dec_social_high	1.750384	32	n/a	8
6.523182	1.750384	dec_social_high_accept	1.750384	32	accept	8
11.393840	2	cue_social	n/a	32	n/a	n/a
11.393840	2	cue_social_high	n/a	32	n/a	n/a
13.357949	1.764806	dec_social_high	1.764806	32	n/a	3
13.357949	1.764806	dec_social_high_accept	1.764806	32	accept	3
19.039125	2	cue_social	n/a	16	n/a	n/a
19.039125	2	cue_social_low	n/a	16	n/a	n/a
21.007536	1.116325	dec_social_low	1.116325	16	n/a	1
21.007536	1.116325	dec_social_low_accept	1.116325	16	accept	1
28.267690	2	cue_nonsocial	n/a	32	n/a	n/a
28.267690	2	cue_nonsocial_high	n/a	32	n/a	n/a
30.273184	1.433891	dec_nonsocial_high	1.433891	32	n/a	2
30.273184	1.433891	dec_nonsocial_high_accept	1.433891	32	accept	2
36.031406	2	cue_social	n/a	16	n/a	n/a
36.031406	2	cue_social_low	n/a	16	n/a	n/a
37.924050	1.349383	dec_social_low	1.349383	16	n/a	2
37.924050	1.349383	dec_social_low_accept	1.349383	16	accept	2
42.831764	2	cue_social	n/a	32	n/a	n/a
42.831764	2	cue_social_high	n/a	32	n/a	n/a
44.756382	1.550609	dec_social_high	1.550609	32	n/a	8
44.756382	1.550609	dec_social_high_accept	1.550609	32	accept	8
50.402493	2	cue_nonsocial	n/a	32	n/a	n/a
50.402493	2	cue_nonsocial_high	n/a	32	n/a	n/a
52.407074	1.115863	dec_nonsocial_high	1.115863	32	n/a	8
52.407074	1.115863	dec_nonsocial_high_accept	1.115863	32	accept	8
58.135166	2	cue_social	n/a	32	n/a	n/a
58.135166	2	cue_social_high	n/a	32	n/a	n/a
60.056076	1.283553	dec_social_high	1.283553	32	n/a	3
60.056076	1.283553	dec_social_high_accept	1.283553	32	accept	3
65.720985	2	cue_social	n/a	16	n/a	n/a
65.720985	2	cue_social_low	n/a	16	n/a	n/a
67.707010	1.233569	dec_social_low	1.233569	16	n/a	8
67.707010	1.233569	dec_social_low_accept	1.233569	16	accept	8
72.534874	2	cue_nonsocial	n/a	32	n/a	n/a
72.534874	2	cue_nonsocial_high	n/a	32	n/a	n/a
74.540115	1.116620	dec_nonsocial_high	1.116620	32	n/a	8
74.540115	1.116620	dec_nonsocial_high_accept	1.116620	32	accept	8
79.367440	2	cue_nonsocial	n/a	16	n/a	n/a
79.367440	2	cue_nonsocial_low	n/a	16	n/a	n/a
81.372850	1.100830	dec_nonsocial_low	1.100830	16	n/a	8
81.372850	1.100830	dec_nonsocial_low_accept	1.100830	16	accept	8
87.017845	2	cue_nonsocial	n/a	32	n/a	n/a
87.017845	2	cue_nonsocial_high	n/a	32	n/a	n/a
89.023110	1.300078	dec_nonsocial_high	1.300078	32	n/a	8
89.023110	1.300078	dec_nonsocial_high_accept	1.300078	32	accept	8
96.355780	2	cue_social	n/a	32	n/a	n/a
96.355780	2	cue_social_high	n/a	32	n/a	n/a
98.274110	1.299442	dec_social_high	1.299442	32	n/a	2
98.274110	1.299442	dec_social_high_accept	1.299442	32	accept	2
103.102260	2	cue_nonsocial	n/a	16	n/a	n/a
103.102260	2	cue_nonsocial_low	n/a	16	n/a	n/a
105.107120	1.515377	dec_nonsocial_low	1.515377	16	n/a	2
105.107120	1.515377	dec_nonsocial_low_accept	1.515377	16	accept	2
109.934340	2	cue_nonsocial	n/a	16	n/a	n/a
109.934340	2	cue_nonsocial_low	n/a	16	n/a	n/a
111.940125	1.500040	dec_nonsocial_low	1.500040	16	n/a	2
111.940125	1.500040	dec_nonsocial_low_accept	1.500040	16	accept	2
116.842950	2	cue_social	n/a	16	n/a	n/a
116.842950	2	cue_social_low	n/a	16	n/a	n/a
118.773100	1.400291	dec_social_low	1.400291	16	n/a	1
118.773100	1.400291	dec_social_low_accept	1.400291	16	accept	1
123.601340	2	cue_nonsocial	n/a	16	n/a	n/a
123.601340	2	cue_nonsocial_low	n/a	16	n/a	n/a
125.606670	1.333465	dec_nonsocial_low	1.333465	16	n/a	8
125.606670	1.333465	dec_nonsocial_low_accept	1.333465	16	accept	8
134.488280	2	cue_social	n/a	16	n/a	n/a
134.488280	2	cue_social_low	n/a	16	n/a	n/a
136.472270	1.483787	dec_social_low	1.483787	16	n/a	8
136.472270	1.483787	dec_social_low_accept	1.483787	16	accept	8
142.117680	2	cue_nonsocial	n/a	16	n/a	n/a
142.117680	2	cue_nonsocial_low	n/a	16	n/a	n/a
144.124180	0.865367	dec_nonsocial_low	0.865367	16	n/a	1
144.124180	0.865367	dec_nonsocial_low_accept	0.865367	16	accept	1
149.046140	2	cue_social	n/a	16	n/a	n/a
149.046140	2	cue_social_low	n/a	16	n/a	n/a
150.957280	1.265810	dec_social_low	1.265810	16	n/a	8
150.957280	1.265810	dec_social_low_accept	1.265810	16	accept	8
155.785050	2	cue_nonsocial	n/a	16	n/a	n/a
155.785050	2	cue_nonsocial_low	n/a	16	n/a	n/a
157.790160	1.200189	dec_nonsocial_low	1.200189	16	n/a	1
157.790160	1.200189	dec_nonsocial_low_accept	1.200189	16	accept	1
165.034000	2	cue_nonsocial	n/a	32	n/a	n/a
165.034000	2	cue_nonsocial_high	n/a	32	n/a	n/a
167.040310	1.483031	dec_nonsocial_high	1.483031	32	n/a	16
167.040310	1.483031	dec_nonsocial_high_accept	1.483031	32	accept	16
172.733660	2	cue_social	n/a	32	n/a	n/a
172.733660	2	cue_social_high	n/a	32	n/a	n/a
174.690480	1.399787	dec_social_high	1.399787	32	n/a	8
174.690480	1.399787	dec_social_high_accept	1.399787	32	accept	8
182.031800	2	cue_social	n/a	32	n/a	n/a
182.031800	2	cue_social_high	n/a	32	n/a	n/a
183.939710	0.933578	dec_social_high	0.933578	32	n/a	2
183.939710	0.933578	dec_social_high_accept	0.933578	32	accept	2
194.513670	2	cue_social	n/a	32	n/a	n/a
194.513670	2	cue_social_high	n/a	32	n/a	n/a
196.423200	1.350277	dec_social_high	1.350277	32	n/a	16
196.423200	1.350277	dec_social_high_accept	1.350277	32	accept	16
201.253710	2	cue_social	n/a	16	n/a	n/a
201.253710	2	cue_social_low	n/a	16	n/a	n/a
203.256200	0.933987	dec_social_low	0.933987	16	n/a	8
203.256200	0.933987	dec_social_low_accept	0.933987	16	accept	8
208.203600	2	cue_social	n/a	16	n/a	n/a
208.203600	2	cue_social_low	n/a	16	n/a	n/a
210.090210	1.015817	dec_social_low	1.015817	16	n/a	2
210.090210	1.015817	dec_social_low_accept	1.015817	16	accept	2
214.973160	2	cue_social	n/a	32	n/a	n/a
214.973160	2	cue_social_high	n/a	32	n/a	n/a
216.923190	1.083461	dec_social_high	1.083461	32	n/a	16
216.923190	1.083461	dec_social_high_accept	1.083461	32	accept	16
222.640300	2	cue_social	n/a	32	n/a	n/a
222.640300	2	cue_social_high	n/a	32	n/a	n/a
224.572140	1.068024	dec_social_high	1.068024	32	n/a	3
224.572140	1.068024	dec_social_high_accept	1.068024	32	accept	3
231.817730	2	cue_nonsocial	n/a	32	n/a	n/a
231.817730	2	cue_nonsocial_high	n/a	32	n/a	n/a
233.823000	1.166467	dec_nonsocial_high	1.166467	32	n/a	16
233.823000	1.166467	dec_nonsocial_high_accept	1.166467	32	accept	16
239.530490	2	cue_social	n/a	32	n/a	n/a
239.530490	2	cue_social_high	n/a	32	n/a	n/a
241.472950	0.950093	dec_social_high	0.950093	32	n/a	8
241.472950	0.950093	dec_social_high_accept	0.950093	32	accept	8
246.300830	2	cue_nonsocial	n/a	16	n/a	n/a
246.300830	2	cue_nonsocial_low	n/a	16	n/a	n/a
248.306290	1.566513	dec_nonsocial_low	1.566513	16	n/a	2
248.306290	1.566513	dec_nonsocial_low_accept	1.566513	16	accept	2
253.134810	2	cue_nonsocial	n/a	32	n/a	n/a
253.134810	2	cue_nonsocial_high	n/a	32	n/a	n/a
255.139340	1.200669	dec_nonsocial_high	1.200669	32	n/a	16
255.139340	1.200669	dec_nonsocial_high_accept	1.200669	32	accept	16
262.383970	2	cue_nonsocial	n/a	32	n/a	n/a
262.383970	2	cue_nonsocial_high	n/a	32	n/a	n/a
264.390000	1.282936	dec_nonsocial_high	1.282936	32	n/a	2
264.390000	1.282936	dec_nonsocial_high_accept	1.282936	32	accept	2
269.217500	2	cue_nonsocial	n/a	16	n/a	n/a
269.217500	2	cue_nonsocial_low	n/a	16	n/a	n/a
271.223300	1.583120	dec_nonsocial_low	1.583120	16	n/a	8
271.223300	1.583120	dec_nonsocial_low_accept	1.583120	16	accept	8
276.050540	2	cue_nonsocial	n/a	16	n/a	n/a
276.050540	2	cue_nonsocial_low	n/a	16	n/a	n/a
278.056030	1.500515	dec_nonsocial_low	1.500515	16	n/a	2
278.056030	1.500515	dec_nonsocial_low_accept	1.500515	16	accept	2
283.700840	2	cue_nonsocial	n/a	32	n/a	n/a
