global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62
4202.595921271103	n/a	n/a	17661812.477484513	8640.792153578348	n/a	n/a	74663289.04134114	4131.353083336871	n/a	17068078.299197074	n/a	4760.014575518372	7889.248983484123	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0184463	n/a	0.00034026598369	n/a	0.0693518	n/a	0.00480967216324	n/a	0.211311	n/a	0.044652338721	n/a	-0.000791812	n/a	6.26966243344e-07	n/a	-0.000665349	n/a	4.42689291801e-07	n/a	-0.00195443	n/a	3.8197966249e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4187.559368025568	-15.036553245535288	226.0979335058178	17535653.460738692	8609.609838910672	-31.18231466767611	972.3367480339688	74125381.57826744	4126.762566077191	-4.590517259680382	17030169.276776	21.07284871142349	4751.921755006498	7910.837662307886	1.312401	67.997437	0.55940265	0.330019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0586418	-0.0401955	0.00343886070724	0.00161567822025	0.108315	0.0389631999999999	0.0117321392249999	0.0015181309542399	0.489519	0.278208	0.2396288513609999	0.077399691264	-0.00254796	-0.001756148	6.492100161600001e-06	3.0840557979040005e-06	-0.00275529	-0.002089941	7.5916229841e-06	4.3678533834810005e-06	-0.00214906	-0.0001946299999999	4.6184588836e-06	3.788083689999996e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4173.069653389576	-14.489714635991731	209.951830232473	17414510.332041	8499.949734603802	-109.66010430686948	12025.338476593492	72249145.49079125	4125.73717412534	-1.0253919518509065	17021707.229959745	1.0514286549206118	4722.751162783185	7684.686544778345	1.134947	58.803291	0.5959665	0.340301	-0.0701975286	-0.0786474164	-0.077537104	0.0810325351	-0.0130304892	0.0870403343	-0.0475499659	0.0683198167	-0.1216412553	0.0036368473	-0.0923620653	-0.014296634	0.0221572246	-0.0627736934	0.0094495288	-0.0771553477	0.0341678557	-0.0947806058	0.0040072394	-0.059100003	0.0827516295	-0.0841439135	0.0970557175	-0.1421020769	0.0689557822	0.0722338128	-0.1099237302	0.0272079099	-0.0834380535	0.0891265444	-0.0522652698	0.022522692	-0.0653578571	0.0330409909	-0.0860123633	0.0318347863	-0.1028739095	0.0729178342	-0.0577436809	0.0257008828	-0.0205857052	0.0423268681	-0.0527909806	0.0809590761	-0.0036979362	0.1042832896	0.0334027589	-0.0132715682	-0.0269742259	0.0586872562	-0.0248492804	-0.1064500582	0.059260114	-0.0237380369	-0.0399430799	0.1091192184	0.0595897658	-0.0090515487	-0.0557769352	0.0401399166	0.0499082206	-0.1331809786	-0.0065605413	0.1206409445	-0.0588909578	-0.0363526132	0.0125198491	0.0158440586	0.0397869368	-0.0121441081	-0.0736298763	-0.0695406708	-0.1166614623	0.0376665766	-0.0122203059	0.0281394669	-0.0240708955	0.0309783865	-0.0069626363	0.0243533221	-0.0234777912	0.0560402223	-0.0754125275	0.0756117977	-0.0882499261	-0.108290496	0.0701678124	-0.1729305849	0.1150565464	-0.0129793889	0.0231997691	-0.0874676387	0.0405982611	-0.0483360047	0.0124335621	-0.079129454	0.0592084928	-0.1251977948	0.0490466114	-0.0483006519	0.072932665	-0.0692757072	0.0896891205	-0.0645888885	0.0592078569	-0.0423678115	-0.0219082875	0.0706929401	-0.0637152171	0.0561939802	-0.1199301859	-0.0025194137	0.071199364	0.0001558953	-0.0627846994	-0.0093619979	-0.020931486	0.0638101935	0.0182563001	-0.0542378861	-0.1047359895	0.0693431418	-0.0520604842	-0.0111934729	0.0544982014	0.1008545955	-0.1118616574	-0.08330131	0.0412355822	-0.0799547914	0.1128932906	-0.0300860103	0.0097725895	-0.0551334519	0.0790477065	-0.1209521373	0.0426088451	-0.0510161961	0.0276153239	-0.1007315989	0.0069206062	-0.0284275586	0.0546566583	-0.0294369517	0.0886279304	-0.0257855512	0.0685904876	0.0170239941	-0.1086556935	0.0294779819	-0.1159706055	0.0962225004	0.0962148673	0.0962021459	0.0961843369	0.0	0.0	-0.030034	0.0286078	0.000902041156	0.00081840622084	0.0303548	-0.0779602	0.00092141388304	0.0060777927840399	0.203961	-0.285558	0.041600089521	0.0815433713639999	-0.000979714	0.001568246	9.59839521796e-07	2.459395516516001e-06	-0.000565466	0.002189824	3.197517971560001e-07	4.795329150975999e-06	-0.00183032	0.0003187399999999	3.3500713024000005e-06	1.0159518759999992e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4186.035184454623	12.96553106504689	168.1049957986959	17522890.56549205	8517.455756249205	17.506021645402143	306.46079384928834	72547052.55966271	4121.4494151239805	-4.287759001359518	16986345.2814258	18.38487725373957	4717.435391344961	7815.365173385021	1.200634	62.206604	0.6863405	0.411328	0.0814817405	0.0177497447	0.0855983521	0.0864630871	0.0333052937	-0.035229021	0.001913407	-0.0851431031	0.0477877664	-0.0648252265	0.05120633	0.0463783303	-0.0226000554	0.0981373363	0.095507139	-0.0274315334	0.0314091491	-0.0874875366	-0.0998359396	0.097686548	-0.0453232379	-0.0078659627	0.0050518857	0.0224986547	-0.1000124013	0.1774749205	-0.0729449955	0.0619477034	-0.0219244049	0.0223185134	0.0974872352	0.0678855598	-0.0381522454	-0.0315228845	0.0447367949	0.0070429519	-0.1976706142	0.0410575071	0.0639158501	0.0175495248	-0.034203022	0.0270495608	-0.0938913717	-0.0044001133	-0.1108376172	0.0823259305	-0.0453261751	0.1300724764	0.0578236538	0.0076645951	-0.0499881692	-0.0363429049	0.0113946304	-0.0024985911	0.0222783555	-0.0261156819	-0.0276777534	-0.0251337	-0.1445938028	-0.0094963358	0.0674749799	0.0722686557	-0.0212920328	-0.0570997001	-0.0041111789	-0.0230033778	0.0597512232	0.0206005823	-0.0907560706	-0.066766589	0.0737359175	-0.0838059164	0.0183869919	-0.015862961	0.056619985	-0.1059098731	0.1013298431	0.0472391965	0.0207879999	0.0364780816	0.139421775	-0.0505057047	-0.0464864109	-0.0624564303	-0.0029089078	0.0111471044	0.1219941999	-0.0936050201	0.0294669068	-0.1494871779	0.0789847735	-0.0637833657	-0.0880152708	0.003897128	0.0381688643	0.0746707297	-0.009730573	-0.0569585601	0.025397387	-0.0624977841	-0.0947539052	-0.0450206143	0.1516631736	-0.0558170514	0.0047440906	-0.1098981639	0.1249779268	-0.0619894056	-0.0451334102	-0.0186945658	-0.1022930017	-0.0421059621	0.0408612787	0.0108585612	0.0310014796	0.0245249658	-0.0062518452	0.0280776211	-0.0670094853	0.0187378499	0.0873331494	0.0440565515	0.0299709963	0.1077168117	-0.0182316995	-0.0127138666	-0.0421407246	0.0806087481	0.0291387881	-0.0681315613	-0.067065736	-0.0867232453	-0.0475880245	0.0560506095	-0.1076963982	0.0500696277	-0.0950149542	-0.058633473	0.0211282138	0.0199906092	0.0124806825	0.0548713169	0.0011150583	-0.0466745765	-0.0457834621	0.0727742275	-0.0344651645	0.0875447582	0.0071881066	-0.0103353176	-0.1140608947	0.0962021459	0.0961334599	0.0960190197	0.0958588795	0.0	0.0	-0.0674708	-0.0374367999999999	0.00455230885264	0.0014015139942399	0.114645	0.0842902	0.013143476025	0.00710483781604	0.567382	0.363421	0.321922333924	0.132074823241	-0.00279284	-0.001813126	7.7999552656e-06	3.287425891876e-06	-0.00221404	-0.0016485739999999	4.9019731216e-06	2.717796233476e-06	-0.00239247	-0.0005621499999999	5.723912700899999e-06	3.1601262249999975e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4178.450846354422	-7.584338100201421	57.5221844181669	17459451.475399982	8480.555144156817	-36.90061209238775	1361.6551727928727	71919815.55308464	4142.380237347147	20.93082222316661	17159314.030764207	438.09931893780544	4745.67986910555	7749.858276785082	1.098887	56.934925	0.5042205000000001	0.283158	-0.0510413963	0.1163466337	-0.0414549979	-0.0063577087	-0.0144477816	-0.0660080586	0.0970684875	0.0582019945	-0.0016490371	-0.012697005	-0.0180219302	-0.0265664088	0.0126827863	0.0851782463	0.0187111108	0.0963469687	0.1055113294	-0.0155687293	-0.0202524954	0.0878642825	-0.0082803832	0.0387146937	0.0296103998	-0.0966158882	-0.0722790436	0.0643613919	-0.0138972178	0.0417202739	-0.0608861129	-0.1265261315	-0.0608941517	-0.038527077	-0.0460365988	-0.0940780472	0.0181027808	0.0499167433	-0.0460222094	0.0015980511	0.0236242331	-0.1299346545	-0.0387996512	0.0502661195	0.0733524333	-0.1377548812	0.0403826376	0.0181472924	-0.0317489137	-0.0147727002	-0.1087255864	0.0462074289	-0.072769561	0.0849841834	-0.0116321173	0.0070975262	0.0906357062	-0.0541393789	0.0098239948	0.0349391328	-0.0173369505	-0.021666948	0.044888688	0.0151749508	0.0283664176	-0.0114745175	-0.0719514284	-0.0333494291	-0.0321584766	0.0710694647	-0.0173052239	0.0386319542	-0.0287690859	0.0630837191	0.0424331994	-0.0769583297	0.0572896525	0.0023001128	0.053013241	0.1199544313	-0.0051276827	0.035801068	0.0667086968	-0.0425089375	-0.0804662674	-0.0599473981	-0.0179130213	-0.1152911835	0.0435152743	-0.0224396857	0.0568687159	-0.0431837638	-0.0708025348	0.0724185561	-0.0061758151	0.0173329183	0.0051526704	0.0886948185	-0.0239850203	-0.0401464024	0.0331822636	-0.1480933184	-0.0302894836	-0.0326002906	-0.1150919601	0.0196822023	-0.0572854579	-0.0659769464	-0.0010041827	-0.0235419148	-0.0103057573	-0.0006522176	0.0743413864	-0.0026970085	-0.0499002258	-0.101694523	0.0888020277	0.0533554161	-0.0661203056	0.0260103637	-0.0474444598	-0.0491106608	0.0066638457	0.0124265584	-0.0130846309	0.0138806795	0.0265048348	-0.0663954429	-0.0055142793	-0.0405231079	-0.0583400951	-0.0002621482	-0.0659439289	0.1023025933	-0.0686335409	-0.0752488472	0.0396324236	-0.0592717057	0.0874593865	0.1156412985	0.0212050337	0.0264140558	0.0253369712	-0.055999516	-0.1254437527	-0.0464524374	-0.0397896392	0.0835798018	-0.0156844493	-0.1036944742	-0.1073232925	0.1352378495	-0.0202322492	0.0961614411	0.0959707141	0.0956531157	0.0952090661	0.0	0.0	-0.0255664	0.0419043999999999	0.0006536408089599	0.0017559787393599	0.044119	-0.070526	0.0019464861609999	0.004973916676	0.336357	-0.231025	0.113136031449	0.053372550625	-0.000932628	0.001860212	8.69794986384e-07	3.460388684944e-06	-0.00115376	0.00106028	1.3311621376e-06	1.1241936784e-06	-0.00209766	0.0002948099999999	4.4001774756e-06	8.691293609999998e-08	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4176.86666842329	-1.5841779311313076	2.50961971748347	17446215.165785477	8455.163975364803	-25.39116879201356	644.7114526245233	71489797.85030675	4130.827143660836	-11.553093686311511	17063732.890805136	133.47397372469095	4731.5181351717565	7692.550587673173	0.919617	47.646702	0.1524799999999999	0.0758482999999999	-0.0221734637	-0.0162450123	-0.0324336097	-0.0867062616	0.095693837	0.007324769	-0.0312556027	0.0547021071	0.0745362663	-0.0556960447	-0.0383961114	0.0762861129	0.127142868	0.0062896282	-0.1191207639	0.1129923526	-0.03425312	-0.0070775329	-0.0253121751	-0.0043948881	-0.0226341106	-0.0304929848	-0.0743953163	-0.0610891324	0.0144519497	-0.0607148641	-0.0959836105	-0.0073893457	-0.065347748	-0.0857781263	-0.0480776692	-0.0062418729	-0.127495259	0.0057776566	0.0651083744	0.0442114629	-0.0209106423	-0.0246693782	0.0708120155	0.0355582868	-0.0624587372	0.0285591816	-0.1319706777	0.0706386851	-0.0225329315	0.0676494489	-0.0268381268	0.0030919591	0.1053303035	-0.1328642817	-0.1126530831	-0.0174744803	-0.0920193741	0.0679386617	-0.0983645789	-0.0579910263	0.0942119541	-0.0283714422	0.0134419457	0.0090063696	-0.0501648293	-0.1435344324	0.0659349855	0.0049617489	0.0632295536	-0.0143697602	0.0192653826	0.0233504135	0.1258967571	0.0484612555	-0.040993123	0.1171036883	0.0820441742	-0.036843119	-0.1607784363	0.067455342	0.06349281	-0.0309311038	0.0266086518	0.0121592169	0.0891627694	0.0891232054	0.0012937658	-0.03649935	-0.0233559108	-0.091502113	-0.0549085979	-0.0795026128	0.0113057434	0.0183911064	-0.0746699319	0.0229363126	0.0644232867	-0.1082832889	-0.0070673554	0.0973477823	0.0035974577	0.0069091897	0.0300594326	0.0287096886	-0.0249807137	-0.0924713846	0.0576427052	-0.1386660776	0.0826267748	0.0025470272	0.0348409747	0.0133732407	0.0383149882	-0.1815132445	-0.0861260611	0.0478245201	0.0211917873	-0.0611013913	-0.1072981642	-0.015132929	-0.0397128522	-0.0477902599	-0.0180543467	0.1153761708	-0.1102194272	0.0100988746	0.0687894335	-0.0875306167	-0.0378755497	-0.055755775	-0.0466456804	-0.0303316314	0.1035555134	0.1063773187	-0.0322462031	0.1124127625	0.0336754854	-0.0201998586	0.047711407	-0.1884790482	-0.0672040248	0.0567788168	-0.0200145037	-0.0144217993	0.0564476014	-0.0020625024	-0.0306835665	-0.0886336165	-0.0531078852	-0.1172028696	0.0653657927	-0.0674033252	0.0004192391	0.0230015209	0.0396811485	0.0961003948	0.0957267674	0.0951051307	0.0942370953	0.0	0.0	-0.0280119	-0.0024454999999999	0.00078466654161	5.980470249999999e-06	0.0474437	0.0033247	0.00225090466969	1.105363009e-05	0.375563	0.0392059999999999	0.1410475669689999	0.0015371104359999	-0.000221762	0.000710866	4.9178384644e-08	5.05330469956e-07	-0.00223654	-0.00108278	5.0021111716e-06	1.1724125284e-06	-0.00174123	0.0003564299999999	3.0318819129e-06	1.2704234489999986e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4176.80813172365	-0.0585366996401717	0.0034265452047636	17445726.169232808	8481.32389034879	26.15991498398762	684.3411519694599	71932854.93300115	4124.34640821374	-6.480735447095867	17010233.294945575	41.99993193524487	4736.005396938504	7891.647814560783	1.074149	55.653259	0.4034338	0.234893	0.0829725377	-0.0620758353	0.0693522815	-0.0725520626	-0.1284323951	0.0604612638	-0.0696793969	0.0424725852	-0.0139783711	0.027640035	0.0848160031	-0.0561538605	0.064687876	-0.0670851353	0.0509624714	-0.0120221147	0.0721268786	0.01074158	-0.0292757029	-0.0603605083	0.0509364749	0.0211470319	0.0115562818	0.0185230472	0.0077823477	-0.0117987238	-0.09481587	-0.0509584279	0.0245917224	-0.0289102019	0.0400755911	0.0378981089	-0.0357504148	0.0143510282	0.0427753648	0.0090529549	0.1399751433	-0.0608187382	-0.0438912486	-0.1611883845	-0.0472382239	0.0708874633	-0.0365853154	0.1758454262	0.035617841	0.0173991394	-0.1062834043	0.0506342963	-0.0093244619	0.0694980678	0.0392852303	-0.0688458912	-0.0029987833	0.0422633217	0.0074851718	-0.0608008823	-0.0260203122	0.0545673798	0.0151739032	-0.0266516002	0.0221135003	-0.017435537	-0.0321379182	-0.1345431553	-0.0343819229	0.1325427829	-0.0676252119	-0.0294496396	-0.0007762447	0.1378983039	0.0730108803	0.0848491125	-0.0838051768	0.0612058221	0.0189947376	0.0802225866	0.0201243371	0.0589006968	-0.0201238367	0.0650883002	-0.0396210754	0.0518313535	-0.0206006352	0.0157129548	0.0349398127	-0.0266409496	-0.0875682955	-0.0723317821	-0.0636566997	0.0224277096	0.0111885093	-0.0497408539	-0.0580347322	0.0560755549	-0.0506831655	0.0850382934	-0.0367979548	-0.0464593397	0.0413530769	0.0422286746	0.1485541821	-0.0392215218	-0.1283088264	-0.1013667875	0.0016526684	0.0899261881	-0.0004602853	-0.0381870426	-0.0844128184	-0.0389887958	0.0286394565	-0.0087330992	0.0191462527	0.1055900414	-0.0015745145	-0.0385067003	0.0683468125	-0.0123887464	-0.058846729	0.0541942494	-0.0494626424	0.0011549115	-0.0534473699	-0.046451875	0.0297663235	-0.0454156474	0.1581847006	0.0743369228	-0.072998573	0.0311042915	0.0708632038	-0.0248991429	0.083931348	0.0958049174	-0.0277027803	-0.0219434491	-0.0346574798	0.0929385765	0.0121300411	0.0687014091	0.0991716682	-0.0551619002	0.0344404424	0.063532087	0.0282646112	-0.0273195366	0.090923193	-0.077908496	0.0733367603	-0.0874123732	0.1023389921	0.0960190197	0.0954018263	0.0943761076	0.092946256	0.0	0.0	-0.0382415	-0.0102295999999999	0.0014624123222499	0.0001046447161599	0.114805	0.0673613	0.013180188025	0.00453754473769	0.525011	0.149448	0.275636550121	0.022334704704	-0.00297679	-0.002755028	8.8612787041e-06	7.590179280784e-06	-0.00159685	0.00063969	2.5499299225e-06	4.092032961000001e-07	-0.00187441	-0.0001331799999999	3.5134128481e-06	1.773691239999997e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
