onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.035272	6.208485	choice_friend	6.208485	8	high	4	8
10.790009	1.000000	outcome_friend_defect	6.208485	8	high	4	8
13.610916	16.975317	choice_friend	16.975317	8	high	0	8
18.862082	1.000000	outcome_friend_defect	16.975317	8	high	0	8
28.254333	30.940031	choice_stranger	30.940031	2	low	2	8
35.007236	1.000000	outcome_stranger_recip	30.940031	2	low	2	8
37.926228	41.090650	choice_stranger	41.090650	2	high	0	2
43.178757	1.000000	outcome_stranger_defect	41.090650	2	high	0	2
50.942886	54.357220	choice_stranger	54.357220	2	low	2	8
56.195750	1.000000	outcome_stranger_recip	54.357220	2	low	2	8
60.732550	64.091110	choice_stranger	64.091110	8	high	2	8
65.984695	1.000000	outcome_stranger_defect	64.091110	8	high	2	8
75.369965	3.000000	missed_trial	3.000000	n/a	n/a	0	8
86.674126	88.873930	choice_friend	88.873930	8	high	0	8
91.926636	1.000000	outcome_friend_recip	88.873930	8	high	0	8
94.849785	97.024155	choice_stranger	97.024155	4	low	4	8
101.603180	1.000000	outcome_stranger_defect	97.024155	4	low	4	8
104.522770	107.957230	choice_stranger	107.957230	2	low	2	4
109.774280	1.000000	outcome_stranger_defect	107.957230	2	low	2	4
114.202040	116.358116	choice_computer	116.358116	8	high	2	8
119.455086	1.000000	outcome_computer_recip	116.358116	8	high	2	8
122.265686	125.006470	choice_computer	125.006470	2	low	2	8
127.516230	1.000000	outcome_computer_recip	125.006470	2	low	2	8
131.954760	134.207200	choice_friend	134.207200	8	high	2	8
137.207380	1.000000	outcome_friend_defect	134.207200	8	high	2	8
148.207120	150.641070	choice_stranger	150.641070	4	high	0	4
153.458940	1.000000	outcome_stranger_recip	150.641070	4	high	0	4
156.383350	158.356100	choice_stranger	158.356100	2	low	2	8
161.635900	1.000000	outcome_stranger_defect	158.356100	2	low	2	8
166.061950	168.572830	choice_computer	168.572830	2	high	0	2
171.314910	1.000000	outcome_computer_defect	168.572830	2	high	0	2
174.139330	176.124080	choice_friend	176.124080	8	high	2	8
180.891720	1.000000	outcome_friend_defect	176.124080	8	high	2	8
183.713640	185.507030	choice_friend	185.507030	4	high	2	4
191.964250	1.000000	outcome_friend_defect	185.507030	4	high	2	4
198.007500	200.890000	choice_computer	200.890000	2	low	2	4
203.260740	1.000000	outcome_computer_defect	200.890000	2	low	2	4
206.082260	209.056980	choice_friend	209.056980	2	low	2	8
212.834870	1.000000	outcome_friend_recip	209.056980	2	low	2	8
217.270460	219.191020	choice_friend	219.191020	2	high	0	2
224.021260	1.000000	outcome_friend_recip	219.191020	2	high	0	2
228.555850	231.656620	choice_stranger	231.656620	2	low	2	4
235.308670	1.000000	outcome_stranger_recip	231.656620	2	low	2	4
239.746640	241.673500	choice_friend	241.673500	4	high	0	4
246.498760	1.000000	outcome_friend_recip	241.673500	4	high	0	4
249.309620	252.291080	choice_computer	252.291080	4	low	4	8
256.062680	1.000000	outcome_computer_defect	252.291080	4	low	4	8
258.872000	260.757870	choice_computer	260.757870	8	high	2	8
265.622830	1.000000	outcome_computer_defect	260.757870	8	high	2	8
270.049300	272.272980	choice_computer	272.272980	4	high	0	4
275.301970	1.000000	outcome_computer_recip	272.272980	4	high	0	4
281.342250	283.623020	choice_computer	283.623020	4	low	4	8
286.592320	1.000000	outcome_computer_recip	283.623020	4	low	4	8
289.403350	291.458040	choice_computer	291.458040	0	low	0	4
300.574860	303.040920	choice_stranger	303.040920	4	low	4	8
305.827600	1.000000	outcome_stranger_recip	303.040920	4	low	4	8
311.976070	314.172580	choice_stranger	314.172580	8	high	0	8
317.228520	1.000000	outcome_stranger_defect	314.172580	8	high	0	8
320.147130	322.773900	choice_stranger	322.773900	0	low	0	2
331.222780	333.406400	choice_friend	333.406400	4	high	2	4
337.975800	1.000000	outcome_friend_recip	333.406400	4	high	2	4
342.401800	344.507260	choice_computer	344.507260	2	high	0	2
347.654020	1.000000	outcome_computer_recip	344.507260	2	high	0	2
350.475700	352.556180	choice_friend	352.556180	2	high	0	2
358.728760	1.000000	outcome_friend_defect	352.556180	2	high	0	2
361.550100	364.223800	choice_friend	364.223800	4	high	0	4
368.300780	1.000000	outcome_friend_defect	364.223800	4	high	0	4
372.729370	374.672820	choice_computer	374.672820	0	low	0	8
382.304800	384.922820	choice_friend	384.922820	4	low	4	8
387.557700	1.000000	outcome_friend_recip	384.922820	4	low	4	8
390.377260	392.206360	choice_friend	392.206360	8	high	2	8
397.127700	1.000000	outcome_friend_recip	392.206360	8	high	2	8
399.938540	401.755430	choice_computer	401.755430	8	high	0	8
405.190600	1.000000	outcome_computer_recip	401.755430	8	high	0	8
408.000600	409.972960	choice_computer	409.972960	4	high	2	4
413.251650	1.000000	outcome_computer_recip	409.972960	4	high	2	4
417.678040	419.689000	choice_computer	419.689000	8	high	2	8
422.930600	1.000000	outcome_computer_defect	419.689000	8	high	2	8
429.079620	431.256560	choice_stranger	431.256560	4	high	0	4
435.831940	1.000000	outcome_stranger_defect	431.256560	4	high	0	4
