onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.027463	6.200478	choice_friend	6.200478	8	high	4	8
10.781054	1.000000	outcome_friend_defect	6.200478	8	high	4	8
13.598391	15.917144	choice_friend	15.917144	8	high	0	8
18.849337	1.000000	outcome_friend_defect	15.917144	8	high	0	8
28.240788	31.517197	choice_stranger	31.517197	2	low	2	8
34.994300	1.000000	outcome_stranger_recip	31.517197	2	low	2	8
37.911522	40.317078	choice_stranger	40.317078	2	high	0	2
43.163715	1.000000	outcome_stranger_defect	40.317078	2	high	0	2
50.925613	53.333485	choice_stranger	53.333485	2	low	2	8
56.178886	1.000000	outcome_stranger_recip	53.333485	2	low	2	8
60.713146	62.899384	choice_stranger	62.899384	2	low	2	8
65.965675	1.000000	outcome_stranger_defect	62.899384	2	low	2	8
75.345890	78.549470	choice_stranger	78.549470	8	high	0	8
80.598770	1.000000	outcome_stranger_recip	78.549470	8	high	0	8
86.644090	89.199130	choice_friend	89.199130	0	low	0	8
94.818535	97.315155	choice_stranger	97.315155	4	low	4	8
101.571640	1.000000	outcome_stranger_defect	97.315155	4	low	4	8
104.488350	107.000040	choice_stranger	107.000040	2	low	2	4
109.739944	1.000000	outcome_stranger_defect	107.000040	2	low	2	4
114.166700	116.615845	choice_computer	116.615845	2	low	2	8
119.419975	1.000000	outcome_computer_recip	116.615845	2	low	2	8
122.229256	124.365715	choice_computer	124.365715	2	low	2	8
127.480150	1.000000	outcome_computer_recip	124.365715	2	low	2	8
131.914140	134.066500	choice_friend	134.066500	2	low	2	8
137.166230	1.000000	outcome_friend_defect	134.066500	2	low	2	8
148.159900	3.000000	missed_trial	3.000000	n/a	n/a	0	4
156.333190	158.499110	choice_stranger	158.499110	2	low	2	8
161.585830	1.000000	outcome_stranger_defect	158.499110	2	low	2	8
166.011460	168.233080	choice_computer	168.233080	0	low	0	2
174.083220	176.100040	choice_friend	176.100040	2	low	2	8
180.835360	1.000000	outcome_friend_defect	176.100040	2	low	2	8
183.653980	185.966230	choice_friend	185.966230	2	low	2	4
191.904340	1.000000	outcome_friend_defect	185.966230	2	low	2	4
197.946380	199.948610	choice_computer	199.948610	2	low	2	4
203.198620	1.000000	outcome_computer_defect	199.948610	2	low	2	4
206.015640	207.966050	choice_friend	207.966050	2	low	2	8
212.768500	1.000000	outcome_friend_recip	207.966050	2	low	2	8
217.200400	219.366970	choice_friend	219.366970	0	low	0	2
228.481230	230.532000	choice_stranger	230.532000	2	low	2	4
235.233930	1.000000	outcome_stranger_recip	230.532000	2	low	2	4
239.665830	241.698610	choice_friend	241.698610	0	low	0	4
249.227430	251.516130	choice_computer	251.516130	4	low	4	8
255.979900	1.000000	outcome_computer_defect	251.516130	4	low	4	8
258.790340	260.949070	choice_computer	260.949070	2	low	2	8
265.540560	1.000000	outcome_computer_defect	260.949070	2	low	2	8
269.968380	271.716030	choice_computer	271.716030	0	low	0	4
281.260280	283.565300	choice_computer	283.565300	4	low	4	8
286.513030	1.000000	outcome_computer_recip	283.565300	4	low	4	8
289.322400	291.548130	choice_computer	291.548130	0	low	0	4
300.493300	302.532100	choice_stranger	302.532100	4	low	4	8
305.745330	1.000000	outcome_stranger_recip	302.532100	4	low	4	8
311.892460	314.264860	choice_stranger	314.264860	0	low	0	8
320.066680	322.432070	choice_stranger	322.432070	0	low	0	2
331.136960	333.131680	choice_friend	333.131680	2	low	2	4
337.889800	1.000000	outcome_friend_recip	333.131680	2	low	2	4
342.316220	344.465640	choice_computer	344.465640	0	low	0	2
350.386000	352.349030	choice_friend	352.349030	0	low	0	2
361.456050	363.464970	choice_friend	363.464970	0	low	0	4
372.634300	374.748350	choice_computer	374.748350	0	low	0	8
382.204740	384.248440	choice_friend	384.248440	4	low	4	8
387.455930	1.000000	outcome_friend_recip	384.248440	4	low	4	8
390.273960	391.982200	choice_friend	391.982200	8	high	2	8
397.024020	1.000000	outcome_friend_recip	391.982200	8	high	2	8
399.835850	402.916080	choice_computer	402.916080	0	low	0	8
407.898400	409.915070	choice_computer	409.915070	2	low	2	4
413.150670	1.000000	outcome_computer_recip	409.915070	2	low	2	4
417.576300	419.598450	choice_computer	419.598450	2	low	2	8
422.828830	1.000000	outcome_computer_defect	419.598450	2	low	2	8
428.980740	431.315100	choice_stranger	431.315100	0	low	0	4
