global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
3867.307698271586	n/a	n/a	14956068.833110671	7980.274620372579	n/a	63684783.01656272	n/a	3759.287604321556	n/a	n/a	14132243.292005705	3825.668223739293	5711.100264469069	n/a	n/a	n/a	n/a	-0.0593411714	-0.0604916108	0.0931536828	-0.1401586586	0.0062634865	-0.0744658348	0.0835615337	-0.0804196422	0.2292231617	0.11628462	-0.1348482627	0.1734177091	-0.1688953034	0.1171980642	-0.127568636	-0.0395669405	-0.0714246858	0.0051374837	-0.0723803077	0.023773912	-0.0330246441	0.1196167891	-0.0377388798	0.0299051939	-0.032971092	0.0317636992	-0.0051850665	0.0234825172	-0.0649351323	0.0623216081	-0.0414537829	0.026886124	-0.0782942697	0.0073456487	0.0156861601	-0.0117208884	-0.0842501835	0.1185410894	-0.0718090165	0.0517199407	-0.045721574	0.0560837333	-0.063838126	0.004631646	-0.008308472	0.0200248933	-0.0326216688	0.0310120117	-0.0711544871	0.0026729973	-0.01868664	0.027592503	-0.1058119279	0.0493406412	-0.0062398139	0.031646425	-0.1410585925	0.0027422836	-0.1158764261	0.0242469345	0.0908798283	-0.0372877328	0.0315355006	-0.0275458402	0.1043915346	0.083382723	-0.0372873711	-0.0176428583	-0.0005848276	0.0598526146	-0.0178867727	-0.0506430415	0.0302971163	-0.0082352678	-0.0215378099	0.0650895693	-0.0111362558	-0.0004998707	-0.0030908737	0.065919774	0.0372476592	-0.0996259195	0.0419852585	0.0063427567	0.0318152161	-0.028260677	-0.0386417373	0.0629556901	0.0163075471	0.129872327	-0.0163783539	-0.0644033742	0.03731558	-0.0175440991	-0.0311482763	-0.1767669137	0.0164924972	0.1136389751	-0.029791273	-0.0110009183	0.0719803337	-0.022287113	-0.0653755027	0.0037639404	-0.0376933393	0.0043398702	-0.0834069065	0.0313457394	-0.0278462328	0.047538253	-0.0540533509	0.0142748377	-0.066669343	0.0019606206	0.080272728	-0.0022584375	-0.0117248599	0.0767392968	-0.0559790057	-0.0448072392	0.1365539514	-0.0515839464	0.0836739795	-0.0499297802	0.0296696195	-0.0155564331	0.0091631431	-0.0171462945	0.0703972654	-0.0265297726	0.0495679371	-0.0268658536	0.0099658535	-0.0290051949	0.0056032166	-0.1122576576	0.1061123485	-0.1249358021	0.150919047	-0.0520208376	0.0092382128	-0.0304317496	-0.0003389425	0.0316670466	-0.1191832096	0.0804345704	0.0112765544	-0.0122259846	-0.0219925051	0.0128982616	0.0246107205	-0.0021936725	-0.0782934384	0.0125744156	0.0873234743	-0.0216724691	0.0134617965	-0.0665202359	-0.0226040826	0.0379291931	0.0018227615	0.0627050046	-0.0234524958	0.0856832882	0.0564081512	-0.0112209624	-0.0092655946	-0.0184308498	-0.0556367544	0.0645689125	-0.0760270668	-0.0041003524	-0.1328374286	0.0027220024	0.0583011854	-0.0549639579	-0.0335598016	0.0032181311	-0.1293371823	0.1132910206	-0.0276503419	0.0726362919	-0.1014263659	0.0059290556	0.0672958907	-0.0939634101	0.0149203335	-0.1495193721	0.044748065	-0.0163889488	0.0504952177	-0.0222197654	0.0528093554	0.002485982	-0.02296894	0.0259335353	-0.0233579381	0.0184497898	-0.0902629126	0.0260382199	-0.1015138448	0.0381580646	0.0845140955	0.0845101058	0.0845034564	0.0844941474	0.0844821793	0.0844675524	-0.10644	n/a	n/a	0.0113294736	-0.0173893	n/a	n/a	0.00030238775449	0.372678	n/a	0.138888891684	n/a	0.000579206	n/a	3.35479590436e-07	n/a	-0.00102646	n/a	1.0536201316000005e-06	n/a	0.000579678	n/a	3.360265836840001e-07	n/a	0.0
3863.8000094826994	-3.507688788886753	12.303880639681818	14928950.513278509	7918.153725971275	-62.12089440130421	62697158.42811278	3859.005521217989	3760.02405156509	0.736447243533803	0.5423545425085365	14137780.868347954	3824.8806620021646	5713.236538198043	1.055856	34.974041	0.03190575	0.015529	-0.0354489765	-0.0720190509	0.1241353382	-0.0358013693	0.0849246956	0.0143587197	-0.0315429987	-0.049819574	0.1558048878	0.2052546656	-0.0735234556	0.121660301	-0.0712623926	0.1231512218	-0.0714486826	-0.0214561671	-0.0903306032	-0.0527029157	0.0704406302	0.0077457439	-0.0542264083	0.057171054	0.003117095	-0.1321940995	-0.0540238183	0.0136387722	-0.0078891824	-0.0144275098	-0.0992618445	0.0340921125	-0.0808732811	0.0819092073	-0.0055900153	0.0182245383	-0.0402405739	0.0140979512	0.0007497141	0.0059096747	-0.0035217638	0.0514139625	-0.0091341387	-0.0968432592	0.1283411468	0.0186280982	-0.0988915248	0.0279778598	-0.0436816549	0.0881344834	-0.0079235967	-0.0823660244	-0.0137352179	-0.0224873925	-0.0585326832	0.0302053371	0.0160141269	0.0302694211	0.0766415936	-0.0301997223	-0.1015557906	-0.0351300775	0.1077549732	-0.0763864832	-0.007805652	-0.0497049534	-0.0295928933	0.0469289713	-0.1067106419	0.0020134713	0.0415948426	-0.0681739452	0.004013627	0.056395516	0.0473806903	0.0091447009	0.0090004378	0.008463903	0.0159469104	0.074249609	0.1312555008	0.0033850772	0.0498198025	0.0478913123	-0.0195000606	0.1462237177	0.1011615912	0.021326886	0.0228732085	0.0619120709	-0.055627002	0.0333946975	-0.1042021525	0.018334689	0.0063964784	-0.0707754839	0.0505364596	-0.0172448013	-0.0212611672	0.0968082509	0.0547781915	0.0858639336	-0.0277631509	0.0113024162	-0.0222791225	-0.0285559176	-0.0271690348	0.1684773851	-0.0039175467	0.026454955	0.042191964	0.0847937658	-0.0263150159	0.0663305088	-0.1124700961	0.0432049858	0.0177478866	0.0011301688	0.0666738005	0.0121551709	0.0041844289	0.0010586627	0.0377178442	0.0642623825	-0.0965299255	-0.0516071145	0.0462066182	0.1324665889	0.075677364	-0.0922511461	0.0544680035	0.0091200246	0.0725485277	0.0197742533	-0.0453212706	-0.0094913024	-0.0002825176	-0.0990455586	-0.0016041606	-0.1345590537	-0.019953877	-0.0929464173	-0.0125386564	-0.0885235219	-0.0392062856	0.0537222526	0.0085335043	0.0384667276	-0.0734273187	-0.0237289318	-0.0193830882	-0.0410419673	-0.1076006428	0.0498167848	0.0114882796	0.0030991709	0.0454905303	0.0998519566	0.0596811291	-0.0522253182	0.0553891342	0.0922110052	0.0146641447	-0.0706016835	0.0700323142	-0.0595928679	-0.0325204174	-0.064243564	-0.0042214347	-0.0830435342	-0.018338879	-0.0140695341	-0.1243465395	-0.0326721929	0.0360252556	0.049798529	-0.0146536833	-0.0795205014	0.0115746066	-0.0845881718	-0.1407238426	0.0837124629	-0.0138183383	-0.0616595651	-0.0969240704	-0.0728620589	0.1307351944	-0.0328963761	0.0909285808	-0.1533425739	0.0720521821	0.0093518261	0.076534939	0.0043568465	0.0238420974	-0.0485676475	0.0181889903	0.0056948001	0.0774410982	0.0543010859	-0.112183487	0.024850864	0.012979608	-0.0047086506	0.0845034564	0.0844675524	0.0844077238	0.0843239875	0.0842163671	0.0840848933	-0.110849	-0.0044089999999999	1.943928099999997e-05	0.012287500801	-0.0265049	-0.0091156	8.309416336000002e-05	0.00070250972401	0.372226	-0.000452	0.138552195076	2.043040000000072e-07	0.000371365	-0.0002078409999999	1.37911963225e-07	4.3197881280999977e-08	-0.0008963639999999	0.0001300960000001	8.034684204958207e-07	1.692496921602604e-08	0.000559032	-2.0646000000000032e-05	3.12516777024e-07	4.2625731600000136e-10	0.0
3870.0788062027327	6.27879672003337	39.4232882515018	14977509.966219569	7892.483006982759	-25.670718988515542	62291288.01551162	658.9858133873327	3762.5616932123576	2.5376416472677192	6.439625129947624	14156870.495229045	3822.198192046595	5632.159517523318	1.060005	35.111465	0.15606955	0.0867268999999999	-0.0480278916	-0.059971029	0.0190342487	-0.0823403696	0.0689058602	0.0018862784	0.057046007	0.0023724839	0.0340363457	0.1777528309	-0.0891740015	0.1728977239	-0.0917708569	0.042409819	-0.061046367	-0.0166419376	-0.0411619486	0.0151417558	0.0340841583	-0.1583272483	-0.1090727391	-0.0724388334	-0.0281257496	-0.0528066929	0.0765644905	0.0441467107	0.0007964333	0.0768124358	-0.0387376636	0.0326839738	-0.0307660112	0.0607385391	0.0578777224	-0.0207357983	0.0175214912	-0.028613094	0.0218900398	0.0413474382	-0.0847161935	-0.0395475713	-0.0160654799	0.0014688738	-0.0012134877	0.0121345979	-0.1090143977	-0.0950635034	-0.0381484757	-0.031311314	-0.03399747	0.1071884968	0.0450497435	0.0507527264	0.0840207635	0.0370643231	-0.0370324561	0.1095659663	0.0270304976	-0.0057252066	0.0248880386	-0.0643627654	-0.0050959968	0.0928023107	0.0098544684	-0.0083108061	0.0561283427	-0.0890529427	-0.0350736152	-0.0052908049	0.0602343004	-0.0181524568	-0.0454181282	0.1085886607	0.058882778	-0.0674919076	-0.0598683471	-0.0123220747	0.0021922969	0.0099295333	-0.0191233384	-0.0521818998	0.0063241333	0.0442510596	-0.0286597679	0.0428403924	0.0073250672	-0.0084054253	0.0924094989	-0.0493641301	0.0863784394	-0.0775812407	0.010806213	0.0684942979	-0.0405880312	0.0144963315	0.0332473794	0.0470462946	0.0033503917	0.0126859551	0.0280678903	0.120247304	0.1042080327	0.0672394355	0.1181076228	-0.093324336	-0.0693828178	-0.0177706925	0.0717194662	0.0006175667	-0.0655178358	0.0794269596	0.0275140077	0.039430861	-0.0306422568	0.0687766749	-0.0008394621	-0.0657520154	-0.0144353898	0.0032508341	0.0447482919	-0.0155030456	0.0258881187	-0.0674991069	-0.0170341716	-0.0325371749	0.0209339573	0.0457527121	-0.0442199174	0.0027537689	-0.0987987303	-0.1610925042	-0.1043918138	0.0331341107	0.0006654212	-0.0394320224	-0.0191919328	-0.0302056799	-0.1003280492	0.0005593112	0.017402317	-0.0318722929	-0.0276605036	-0.0494926244	0.0980580416	-0.0529640089	-0.0760722595	-0.0675659638	0.0363409948	0.0477430195	0.0310916625	-0.0269475261	-0.0527429043	0.0308776582	-0.0284542862	-0.071398344	-0.0369209894	0.0406876645	0.0426859741	0.0049318486	-0.0082364354	0.0300061379	-0.0043363414	-0.0185700198	0.0468415902	-0.0568037326	-0.0326561761	0.0224914207	0.0292792348	-0.0885551925	0.1035131146	0.0064311075	0.0190333393	-0.0007106078	0.0774371052	-0.0562877637	-0.0795301437	0.0640541248	0.0090111782	-0.0342471532	-0.0813443482	0.0980265064	-0.0650171684	-0.057780838	-0.12119633	0.0412304229	0.1455637973	0.0040208471	0.046169624	-0.0848513221	0.0350120329	0.0028454536	0.0900546086	0.0573605192	-0.0178148448	-0.0642754285	0.0106082577	-0.0412931253	0.0793952953	-0.0175593713	-0.0585391046	0.016428193	0.0764004082	-0.0275181624	0.0844821793	0.0843824671	0.0842163671	0.0839840102	0.0836855791	0.0833213086	-0.11996	-0.0091109999999999	8.301032099999989e-05	0.0143904016	-0.0188375	0.0076674	5.878902276000002e-05	0.00035485140625	0.44501	0.072784	0.1980339001	0.005297510656	8.6873e-05	-0.000284492	7.546918129000001e-09	8.0935698064e-08	-0.0015209	-0.000624536	2.31313681e-06	3.900452152961248e-07	0.000980147	0.000421115	9.60688141609e-07	1.7733784322500004e-07	0.0
3879.6692325573113	9.59042635457854	91.97627766259464	15051833.354051836	7872.830309081188	-19.652697901571628	61981457.07558739	386.22853481043785	3767.034833458768	4.473140246410367	20.0089836640562	14190551.436491728	3828.909247879131	5642.622177647182	1.059493	35.094517	0.13697085	0.0743917999999999	-0.0374874269	-0.0844714887	0.0414240764	-0.1465719174	0.0542616208	-0.0860593025	0.0625025781	-0.0622859367	0.0148457709	0.0655646582	-0.1371405073	0.1408335185	-0.0869418765	0.0346456476	0.0169077563	-0.0443975964	-0.0521612676	-0.0601289603	-0.1345681729	-0.0057543929	-0.0759682363	0.0399198677	0.0718364252	-0.0232599737	-0.0244763337	-0.034035155	-0.0450974633	0.0306689988	-0.0038682687	-0.1459651971	0.021236861	0.039966593	0.0011375824	-0.0056868648	0.1061637229	0.0227419248	0.0660632611	-0.0393323987	-0.0546966767	-0.0077425307	-0.0258916499	0.0179841603	-0.0553928143	0.0351146312	0.0067678681	-0.0925881584	-0.0687188893	0.0032602589	0.0244546297	-0.0994009889	0.0626780619	0.0893311139	0.0244136282	0.0204201834	-0.0120009688	0.0220584268	0.0165376114	-0.0918512055	0.0026668671	-0.0111437804	-0.0559176542	-0.0968521878	-0.048169534	0.0080538905	0.0420858041	-0.0160676679	0.0760911509	0.0613690423	0.0271319428	0.0389861321	-0.0650460901	0.0319716128	0.0501212942	-0.0880407889	0.0013114818	-0.0107243533	0.0531129124	-0.0170674882	0.0265897747	0.0071420685	-0.0110772257	-0.0050991255	-0.0498816209	0.0095363071	-0.1707512244	0.0154484518	-0.0120449011	0.005869086	-0.0021013002	-0.0790086272	-0.0900448203	0.0107624574	0.0228105229	0.0309775437	-0.0272216664	0.0941313295	-0.0722304893	0.0688335225	0.0493743338	-0.0502964845	0.115315247	-0.0339407776	0.0048078355	-0.0588234778	0.0489094121	0.0385197758	-0.0260700035	-0.0441272764	0.0601467889	-0.0236151221	0.1087950168	-0.0968595029	-0.0670551912	0.0400592947	0.0478017638	-0.0502976489	-0.0415778171	-0.0607843009	0.0285131005	-0.0536210481	0.0190962375	-0.0115479655	0.0034201349	-0.0361718713	0.0233602249	-0.0435538738	-0.0931169801	-0.0583393174	-0.1039669568	0.0078210907	0.0247832674	0.0725118576	-0.1208849304	-0.033983421	0.0558274509	0.0186052391	-0.0094172975	-0.0301252529	-0.0457886323	0.0885547244	0.0115057915	0.0112436699	-0.0821370633	-0.0125438052	-0.0399620354	0.0205032886	0.0040401619	0.0540952031	0.0557527154	-0.0094732389	-0.0028482901	-0.0608264887	-0.0058481095	-0.0705674436	-0.0153809494	-0.0058084116	0.022199024	-0.0032734284	-0.0424488375	-0.0312633378	0.0368481202	-0.0378356085	0.0283250909	0.0088497298	-0.0874455234	0.0886526372	-0.1022301978	0.0091325691	-0.0725271087	-0.0148624474	-0.0726565551	0.1189659855	0.0530453086	-0.0383057353	-0.0279245611	0.0798331458	-0.0051667359	-0.0284552016	-0.1186639708	0.1056088505	-0.0554152998	0.0719818847	-0.1355796722	-0.0414672824	0.1281406265	-0.0211686337	0.0487287366	-0.1032405532	0.0067853019	0.0396918049	0.0603346632	-0.0146993528	0.0276817688	-0.001790491	-0.0783113579	-0.1044248909	0.0470219904	0.0557649177	-0.0164207316	-0.0286713021	-0.0109630055	0.0181840707	0.0844502671	0.0842548926	0.0839296032	0.0834749003	0.0828914853	0.0821802575	-0.113916	0.0060439999999999	3.652993599999993e-05	0.012976855056	-0.0421001	-0.0232626	0.00054114855876	0.00177241842001	0.39016	-0.05485	0.1522248256	0.0030085225	0.000222296	0.000135423	4.9415511616e-08	1.8339388929e-08	-0.000716745	0.000804155	5.13723395025e-07	6.466652640249999e-07	0.00086344	-0.0001167069999999	7.455286336e-07	1.3620523848999993e-08	0.0
3876.755167911143	-2.914064646168299	8.491772762047974	15029230.631925754	7916.035498096096	43.20518901490777	62663618.0071175	1866.6883578139075	3763.2478274912246	-3.7870059675433367	14.341414198208843	14162034.211117422	3825.838465422103	5689.125021163006	1.084497	35.92276	0.082652325	0.0401583	-0.0095334292	-0.069022629	0.1164363192	-0.0124493305	0.1019475304	-0.0081198573	-0.0554836984	0.0160111476	-0.023651326	0.1619491617	-0.1120531008	0.074759438	-0.0621149207	0.0736565828	0.036358027	-0.0521386468	-0.1008717691	-0.0417963923	0.0351983346	0.0301910343	-0.0016520371	-0.0289244563	0.0816873062	-0.0338823314	0.0307926017	0.0498971798	-0.0796085997	0.0031236179	0.0546830535	0.0487594818	-0.0361669445	0.0227030046	0.0507247387	0.0495734811	-0.038875542	0.0220930112	-0.0355595895	-0.1015830773	0.037926071	0.022234822	0.0127239395	-0.0261870026	0.0084390316	-0.1215695968	0.0245962447	-0.0106819832	-0.0708306211	-0.0502509114	0.0980059177	-0.0515762492	0.0466745606	0.0035535025	-0.0030181957	-0.0715427918	-0.1033310506	-0.0179059128	-0.0278204874	0.0328730619	0.0521753076	0.073871041	-0.0714523864	-0.0368548403	0.0018518312	-0.0385161756	0.0405754592	-0.0789787395	0.0267384258	-0.0391317157	-0.0605024322	-0.0688337505	0.0420322303	0.065600237	-0.0254617407	-0.0005089688	-0.0491837284	-0.0602901617	-0.1054317021	-0.0391095292	0.0097686616	-0.0006662671	0.0141705617	-0.0034817861	-0.0161411083	0.0579134154	0.0289168642	0.103904959	0.0105154431	0.0297762273	-0.0469681904	0.025874373	0.0155227419	0.0634525325	-0.114428793	0.1162601818	-0.0067402829	0.0278195012	0.00213133	0.0712157559	0.0590902596	0.1193832257	-0.0018622836	-0.0696357947	0.0034531793	-0.0567142	0.0284574938	0.0283019066	-0.0008216716	-0.0420834365	-0.0183829138	-0.0290232322	0.0075504435	0.0579853253	-0.0140079517	-0.0215806744	-0.0671419725	0.0276443482	0.1370892136	-0.0575285991	0.0023969838	0.0039422556	-0.0272278114	0.0622726688	-0.0214942722	0.0316695489	0.0879032937	-0.0641611862	0.0006705615	-0.0770774954	-0.0526422051	0.0727857282	-0.0548132626	-0.0205301831	-0.0228905075	-0.0224602828	-0.0012476089	-0.0108341419	0.0319193451	0.1198225523	0.0262209965	0.0537686522	0.0031125424	0.0696727846	0.0030288112	-0.0808298464	-0.0375876022	-0.0138026935	-0.013840562	0.0239566533	-0.0728032315	0.024745234	0.0147637985	-0.0190337751	0.0599484033	0.0019617681	-0.0181036399	0.0619891401	0.1105241061	0.0121058421	-0.0284075476	-0.0093133047	-0.0439329855	-0.0489426019	0.0318531265	0.0345369891	-0.0004916766	-0.0189596254	0.0850986289	-0.0790953639	0.0032662383	-0.0746682721	0.02969201	-0.0250282142	0.0319710123	0.1199102885	0.0298833769	0.0774103241	-0.157376632	0.0660551321	-0.1261810055	0.0615605801	-0.011930804	-0.0531019144	-0.087790167	-0.0886942361	0.1520592695	0.0357341093	0.0234386833	-0.0411698709	-0.0760721754	0.0008005893	0.0098371295	-0.0531832735	0.0418620434	-0.044909778	-0.0578964266	-0.0923485283	0.0529938382	-0.0206982439	-0.0815135386	0.0073146093	-0.0184732027	-0.1194507831	0.0844077238	0.0840848933	0.0835477567	0.0827976831	0.0818365842	0.0806669094	-0.120302	-0.006386	4.078099600000004e-05	0.014472571204	-0.0253693	0.0167308	0.00027991966864	0.00064360138249	0.39928	0.00912	0.1594245184	8.317440000000031e-05	8.11555e-05	-0.0001411405	6.58621518025e-09	1.992064074025e-08	-0.00122831	-0.000511565	1.5087454561e-06	2.6169874922500004e-07	0.000507835	-0.000355605	2.57896387225e-07	1.2645491602500006e-07	0.0
3878.834595695442	2.079427784299241	4.324019910115653	15045357.820763825	7846.760352561001	-69.27514553509445	61571648.03052325	4799.045788908516	3764.558206781396	1.3103792901715678	1.717093884110542	14171898.492245162	3823.4223776853646	5644.196579445041	1.07796	35.706207	0.1716845649999999	0.0876215999999999	-0.0571101634	-0.0559683329	0.0155132113	-0.034213305	0.0606085722	0.0532522761	0.0437960909	0.0222280393	-0.0566579954	0.1295942236	-0.0404678755	0.0570993369	-0.1039056575	-0.0529264519	-0.0295085054	0.0170610332	-0.0038358432	-0.021758472	-0.0262827761	-0.0112839715	-0.1153503651	0.0049196063	0.004919116	-0.0487545796	0.0003885162	0.0268989642	-0.1531261793	0.0272889568	-0.0162169707	0.0673845204	-0.0110378587	-0.0324569945	0.1673342877	-0.0997547157	-0.1451907835	0.0454191778	0.0436707683	-0.1306459504	-0.0455426632	0.0254169096	-0.0052533418	0.1402291023	0.0107535713	0.0382076539	0.0205640639	0.025685135	-0.0058602613	-0.0466850418	-0.0325472055	-0.0065796685	0.0260252182	0.0471457219	0.0188260567	-0.09586227	-0.0049260451	-0.106335854	0.0331940257	-0.0433463499	-0.079304817	0.0377032828	0.0084518971	-0.0296128699	0.0289905996	-0.0136354202	0.0963117225	0.0619610728	-0.0921297195	-0.0078051894	-0.0119686713	-0.0349476857	0.0893462453	-0.0634353884	-0.0879311376	0.0015652255	-0.0039715101	0.0162031802	-0.0240310062	-0.0141154614	-0.0701163953	-0.0243696868	0.0542485564	0.0302819342	0.0078220827	-0.0819709606	0.0131474757	-0.0917128438	-0.1043563758	-0.025318054	-0.0146563395	-0.0903041292	-0.0400879459	-0.0088127583	-0.0805698913	0.0106482336	0.0779932006	0.0754723469	0.027803323	-0.0283546646	0.0551473268	0.0671087135	0.089898126	-0.0054992456	0.0094874308	-0.1053952129	-0.0408928691	0.0687268025	-0.0410593763	-0.106211107	0.0103041219	-0.0110516869	0.0214030986	0.0540247966	0.0567897384	0.1035453663	-0.1725514566	-0.0084942895	0.0499700456	-0.0781533684	0.0622763198	-0.118312851	0.0273295007	0.0284115003	0.1204237275	0.0274284892	-0.0816779763	0.0267956395	0.0373588291	0.0360343236	-0.018861646	0.0233317145	0.0010304927	-0.027560623	0.0276814335	-0.0867204557	0.0059267793	0.0514631638	0.088446084	-0.0230927714	-0.0500380265	-0.0204198584	-0.0732182411	-0.0163331823	-0.0831488489	-0.0232823004	-0.0794980777	0.0629642294	0.0232070639	-0.0323428239	-0.1070303014	-0.0287114932	-0.042314323	0.0487948092	0.0411571811	0.0762154768	0.0262165017	-0.0786312472	-0.0034453004	0.0111000519	-0.0498429774	0.0026621496	0.0262514813	0.1193262199	-0.0099882457	-0.0336582871	0.0788032336	-0.011750408	-0.0580659942	0.040432594	0.0279391417	-0.0006312458	0.1187167556	-0.0686713424	0.0799512361	0.1278802329	-0.024204325	0.0110261972	0.0487810534	-0.0206919549	-0.0644694257	0.0981197853	-0.0764734441	-0.0528356307	-0.1087599076	0.0389745485	0.1194217336	0.0191389146	0.0612104437	-0.007518183	-0.0881667563	0.0507388251	0.0473477266	0.0142529842	-0.0268216552	-0.0710126446	-0.0604650206	0.0604355308	0.0254124194	0.0122855743	0.0040839839	0.1425731107	0.0480113356	-0.0290376141	0.0843545547	0.0838725547	0.0830712604	0.0819537224	0.0805241949	0.07878812	-0.131529	-0.011227	0.000126045529	0.017299877841	-0.00339821	0.02197109	0.0004827287957881	1.15478312041e-05	0.468529	0.0692489999999999	0.2195194238409999	0.0047954240009999	-0.000140807	-0.0002219625	1.9826611249000004e-08	4.926735140625e-08	-0.00194349	-0.0007151799999999	3.7771533801e-06	5.114824323999999e-07	0.000955442	0.000447607	9.12869415364e-07	2.0035202644900002e-07	0.0
