global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
4022.125391423431	n/a	n/a	16177492.66433309	8367.743526894377	n/a	70019131.73188275	n/a	3763.573946129046	n/a	n/a	14164488.847981358	4389.540586537777	6995.281596901634	n/a	n/a	n/a	n/a	-0.0456576385	-0.0497172381	0.036985225	0.0024001714	-0.1325646773	0.1089811593	-0.104749248	0.2010980545	-0.107294827	0.0750904838	-0.3741195396	0.02803529	-0.2131392207	0.1314613066	-0.0843029049	0.2820090147	-0.2110371911	0.0363384055	-0.2106579712	0.0448714007	-0.058932243	0.0835970538	-0.0531911065	0.1016937452	-0.139809879	0.0338950788	-0.0261576394	-0.0575911965	0.0520129042	0.0230939535	-0.0059447835	0.0708024266	-0.1196377112	0.0199165941	-0.0156426332	0.0047746213	-0.0395683936	0.031164667	-0.0383223711	0.0411535856	-0.1149153495	0.0828108135	-0.0484651031	0.0044206772	-0.0126588956	0.0471112464	-0.0539028269	0.0267486609	-0.0047918793	0.0048654572	-0.0046281186	0.0577057898	-0.0257049118	0.0386078477	-0.0394621573	0.1354600161	-0.1099702736	0.0410266434	-0.0556941194	0.0106330635	-0.0526988775	0.0634181451	-0.0306703433	-0.0485530382	0.0172274615	-0.0393171176	0.0371530735	-0.0419911846	-0.0261514047	0.010010476	0.0164981827	-0.1158634525	0.119485319	0.0970564369	-0.0483359214	-0.0466752814	0.1147733288	-0.0380736306	0.020486355	0.022355747	0.0376613682	-0.0392640004	-0.0316475248	0.1015909391	0.0666233155	-0.0725482417	0.0346544375	0.0846090056	0.0107990928	-0.0846001607	0.0219470737	0.0366649753	-0.0292627362	-0.0163524675	-0.0480622973	0.0136160621	0.0388318226	0.0201306454	-0.0576473861	-0.0173004932	-0.05024075	-0.008947656	0.0428191258	0.045039733	-0.0229647478	0.050610643	-0.045525613	0.0325455238	-0.1110930906	-0.2747263726	0.0670037099	-0.1381164641	0.1577588725	-0.1677182598	0.0414093942	-0.0264914914	0.0611180291	-0.0273687854	0.0176937217	-0.1002297175	0.0007672771	-0.1044789171	-0.0666303854	0.0033396313	-0.0362609162	0.0956163884	-0.0094636921	0.0485747792	-0.0020744689	0.049257118	-0.0977606066	0.0066533231	-0.0065845737	0.0150452745	-0.0703827843	0.0430627928	-0.1240672358	0.0013945375	-0.0630187246	0.0099613088	-0.0062704929	0.0180520049	-0.1247267789	-0.0278406479	0.0491430548	-0.0049378825	0.0420347505	-0.0895243776	0.0027855699	0.1127202359	-0.0499616242	0.0010751748	0.0833526931	-0.0044485925	-0.0237194979	0.0178519989	0.0136036585	-0.042435841	0.0889234299	0.0249293722	0.024627858	-0.0148969821	-0.0657924347	0.0096479013	0.0201988398	-0.1042640343	-0.0072500448	0.070917309	0.0063791259	-0.0645929599	-0.0120591363	0.0206071361	0.0124010233	0.00955358	-0.0235863869	-0.0352437656	-0.0042242556	0.1270160389	0.0296234952	0.0067461697	-0.0554885272	-0.006016107	-0.1868799119	0.0066016339	-0.0755431169	-0.0699428531	0.0042587888	-0.1007436669	0.0277829126	-0.1352199683	0.033907713	-0.0114391594	0.1259860729	-0.026696446	0.0947842634	-0.1133207613	0.0559945193	-0.0754983231	0.004976541	-0.0598483415	0.1198925914	-0.0714423821	0.0646908314	-0.0413343445	0.1025281802	0.0885598083	0.0885547676	0.0885463667	0.0885346059	0.0885194856	-0.0671409	n/a	0.00450790045281	n/a	0.0074969299999999	n/a	n/a	5.62039594248985e-05	0.225657	n/a	0.050921081649	n/a	-0.0015329	n/a	n/a	2.34978241e-06	0.000207792	n/a	n/a	4.3177515264e-08	0.000489825	n/a	2.399285306250001e-07	n/a
4015.412564066936	-6.7128273564953815	45.06205111811277	16123538.059666604	8285.918561332124	-81.82496556225306	68656446.40502822	6695.324989263899	3768.713536124252	5.139589995206279	26.41538531882448	14203201.717366165	4371.49616864573	6846.139002745195	1.007652	43.826374	0.0240929699999999	0.0109831	-0.0173171504	-0.1019900146	0.0027640188	-0.006515015	-0.1913869257	0.0997901341	-0.0511478438	0.1645332457	-0.0280535993	-0.0426847786	-0.2264081189	0.0209851516	-0.0745611064	0.0639677103	-0.1003403846	0.0397308147	0.0427916141	-0.1117222831	-0.1815202774	0.0163252869	-0.1026961782	0.0493536683	0.0170514051	-0.0786423889	0.0851148066	-0.0658136306	0.0367934044	-0.0775007772	0.1217269441	-0.0195324269	0.0728346675	0.0707522508	-0.1229679501	-0.058449575	-0.0387525208	-0.0213020589	-0.0582594481	0.0243925545	-0.0303153552	0.0115950566	0.0120533821	0.0696829015	0.0449168956	0.0257864448	-0.0664781229	-0.0336064264	-0.0240613481	-0.0129198577	0.0284368805	0.0172836233	-0.000514027	-0.093883501	-0.0290544336	0.0115558054	-0.0897878797	0.0400124121	-0.1043705302	-0.0560759258	-0.0436915144	0.0540989101	0.1522028015	0.0426096865	-0.0105300379	-0.0086684309	0.011753852	0.0063246833	-0.0551347053	0.032821978	-0.030105799	-0.0274273253	-0.034438311	-0.0328414069	-0.04841369	0.1110920984	-0.0763856864	-0.0367965153	0.1153611486	0.0332192673	-0.0105406504	0.0522567548	-0.0193420722	0.0167759604	-0.0459218666	0.0903197626	-0.0369948693	0.0424322711	-0.010698159	-0.1341045608	-0.0647539856	-0.0714459822	0.079011903	0.0029638186	-0.0064552573	0.0125127796	-0.0616864365	-0.0866434745	-0.0390524007	0.0046973219	-0.0073221921	0.0171939743	-0.034259926	-0.0343728348	-0.0558419237	-0.0263912521	0.0124457217	0.028812984	-0.0717325035	0.0792023026	0.0074703727	-0.2251983203	0.0824709492	-0.0978695062	0.0148393901	-0.0312726841	0.0188959776	0.0183941211	0.113764237	-0.0340291018	-6.75691e-05	-0.0838051624	-0.0513819754	0.0748801095	-0.0360590527	0.0783762925	-0.0170384873	0.0340313141	-0.0220608097	0.0536191702	-0.0252371032	0.0449647138	0.05101858	0.0309968046	-0.1256852675	0.0611254949	-0.0681063662	0.0478814353	0.0105416158	-0.0477482491	0.0607851022	0.0650060862	-0.055614294	-0.0446061381	0.0235628597	0.105682642	0.0819115436	-0.0346553674	0.0139116837	-0.1302310835	0.0089680953	0.112361409	-0.0013164449	0.0217502413	-0.0066136671	0.0007116215	0.0144554192	-0.0750808385	0.0358909711	0.0537946755	-0.0122704046	0.0261770483	-0.0794366314	0.0858793238	-0.0060249413	0.1014468582	-0.0738399875	-0.0393961406	0.0299182436	-0.0176632027	0.0468353327	-0.0051895437	0.0823348349	0.0075560804	-0.0594083491	0.0687846865	-0.0485210803	0.0467426846	-0.0253974084	-0.0338716919	0.0862415734	0.0658179879	-0.0108416849	-0.0052108829	-0.2040670615	0.0198144326	-0.0364542907	-0.0749802347	-0.095811092	-0.0474869808	0.0765258178	-0.0167810059	0.0001730727	0.0236182959	0.1396916075	0.0364673242	0.0940773731	0.0439294257	0.1073519588	0.0160526024	0.0264831448	-0.094826725	-0.0342834512	-0.0448134404	-0.0608249685	-0.1239712514	0.0007385771	0.0885463667	0.0885010064	0.088425423	0.0883196425	0.0881837009	-0.0622909	0.00485	0.00388015622281	2.35225e-05	0.0103348	0.0028378700000001	8.053506136900567e-06	0.00010680809104	0.229011	0.0033539999999999	0.0524460381209999	1.1249315999999973e-05	-0.00165921	-0.0001263099999999	1.5954216099999983e-08	2.7529778241e-06	0.000184789	-2.3002999999999983e-05	5.291380089999993e-10	3.4146974521000006e-08	0.000378116	-0.000111709	1.42971709456e-07	1.2478900681000009e-08
4027.917098329744	12.504534262808193	156.36337712974404	16224116.151017103	8320.043880310746	34.12531897862209	69223130.1702963	1164.537395392705	3762.2741468742097	-6.439389250042495	41.46573391356285	14154706.756238062	4370.573808421448	6962.444435799339	1.193133	51.893581	0.18712605	0.104015	-0.0199603501	0.0315621594	-0.0394586473	-0.1108281545	-0.0247821013	-0.0086110397	-0.0997389102	0.1724410314	0.0242728091	-0.0324614792	-0.2312139345	0.0782413331	-0.1087701621	0.0384382151	-0.1708658714	-0.0381642217	-0.0159912538	-0.0376520271	-0.0458975944	0.0210720384	0.0426206998	-0.0126335183	0.0119491557	-0.0651788148	0.0755740904	0.1599860118	-0.0922917214	-0.050581203	0.0230643486	-0.1371936413	-0.0648516534	0.083940298	0.0069660322	0.0396659701	-0.0609059286	-0.0178244832	-0.0617739105	-0.0774692306	-0.00179638	-0.0574610474	0.0144604539	-0.0335515738	-0.1508656615	0.0328218611	-0.0097615234	0.0507754467	0.008523448	0.0269702472	-0.0483970001	0.0475364749	0.0322139444	0.0012538899	0.1001342271	-0.0940257495	0.0250404577	-0.1093657662	0.0176123326	-0.1002037729	0.0008159159	-0.0405325166	0.0294350024	-0.0418221916	-0.0355714233	0.0789320718	0.0729057233	-0.0049616866	0.017785316	-0.0062334428	-0.0015143309	0.0054007789	-0.0322323397	-0.0830362541	-0.1027117124	0.0512646713	0.0628563851	0.0525152955	0.1596353055	0.0555962305	-0.0808256167	-0.0698634367	-0.1515893028	0.1232286719	0.0209408546	-0.0708121256	-0.0643338967	0.163183336	-0.0492944304	0.0063309123	-0.0671355022	-0.0258357668	-0.0171888419	0.0048345814	-0.0722003904	0.0284640724	-0.0410363391	0.0791620805	-0.0602734429	0.0300834359	0.1087587095	0.0049485285	0.1202548746	-0.033720106	-0.1108412329	-0.0062840055	-0.0383533036	0.0773590644	0.0429619272	0.0019932202	0.0145573193	-0.1381367958	-0.1182050293	-0.0345332947	0.0691386017	0.0510555334	0.0586557406	0.0401229064	-0.0089464909	0.0818376357	-0.0977744251	0.0043903148	0.0207333445	-0.0353338768	0.0539252234	0.0105466338	0.0963831225	0.1012692987	0.0500075409	-0.0156686907	0.0376241884	-0.0234089575	-0.0620922453	-0.0786980253	-0.0185401749	0.0139628264	-0.0975722925	-0.057488719	0.1085165519	0.0030255485	0.0313776714	0.0058473245	0.0526654494	0.0494575177	0.0575425153	0.0019658063	-0.047081192	-0.0300149974	-0.0379385733	-0.1553056017	-0.0761876346	0.0600540323	-0.1197599958	-0.0712443639	-0.0473079142	0.002799484	0.1535969642	-0.0235637625	0.0465456581	-0.0178285761	-0.0293062756	-0.1291233502	-0.0717985841	0.0061034257	0.0057815704	0.0898909428	-0.045786141	0.1044551307	-0.0393165141	-0.0583393688	0.0484447895	0.1521970697	-0.1497980189	0.1020630539	-0.0022494313	0.0776758857	0.037110443	-0.0199031446	-0.0319005126	-0.0454568141	-0.0287786312	-0.0702625299	0.0591022454	0.0685026342	-0.1117353951	0.055258752	-0.0770682375	0.0346000993	-0.034712023	-0.0837319668	0.0475385802	0.0069148562	-0.1521622894	-0.1380070079	0.1456656452	0.058805592	-0.0723552617	-0.0086327739	-0.097683715	-0.0508610885	-0.0284261189	-0.0467422312	-0.0334338203	-0.0051321992	0.006462589	0.1353529168	0.1089908181	0.0885194856	0.0883935165	0.0881837009	0.0878902376	0.0875134051	-0.0470073	0.0152836	0.00220968625329	0.00023358842896	-0.030082	-0.0404168	0.00163351772224	0.000904926724	0.139883	-0.0891279999999999	0.019567253689	0.0079438003839999	-0.00164061	1.859999999999991e-05	3.459599999999966e-10	2.6916011721e-06	-0.000434616	-0.000619405	3.8366255402500005e-07	1.8889106745600003e-07	0.000170168	-0.000207948	2.8957148224e-08	4.3242370704e-08
4012.207293413896	-15.709804915848052	246.7979704940037	16097807.36532366	8264.401920166703	-55.64196014404297	68300339.0980551	3096.0277286712662	3755.4480698238895	-6.826077050320237	46.59532789690862	14103390.205143975	4363.404240043175	6908.795112924749	1.126632	49.001236	0.2984929899999999	0.155151	0.0395304259	0.0040497034	0.0374856385	0.0097701837	-0.0318117965	-0.0405739808	-0.080174842	0.1127362859	-0.111151641	0.0799027952	-0.1507165768	0.0437212665	0.001424138	-0.0564257735	0.0540123271	0.0354683068	0.0519700577	0.0154347812	0.0733636503	-0.0527566446	-0.0447662751	-0.049791843	0.0193287076	0.0329020633	-0.0198852332	-0.1406667147	-0.0297988253	0.0167423833	0.0302489537	-0.1830941194	-0.0531240765	0.0247546079	0.0188437982	-0.0234571762	-0.1016865934	-0.0491071573	0.0684585121	-0.0095984456	0.2460318061	0.100390863	-0.1111810781	-0.0282000362	0.0620168422	-0.0119592785	-0.0747104384	-0.0100212685	-0.0322443486	0.1232858592	0.0260929145	0.026056961	0.0610347763	-0.1102380961	0.0792719457	0.0324549771	0.0533524587	0.113061464	0.0540799286	0.0057046236	0.0679720859	-0.03158292	-0.0469627468	-0.0755378383	-0.0348576568	-0.0457370215	-0.0137571439	-0.0249535681	0.0625884062	0.0125044651	0.0375332413	0.0075227293	0.1521001954	-0.0222622825	-0.1159945159	0.038996754	0.0253132422	0.0053692268	-0.0448898624	0.059182164	-0.0021645192	0.0289746111	0.015943268	-0.0096875477	0.0881433315	-0.0053991901	0.0778545903	-0.1164054505	0.0787044408	-0.0306639573	0.0120504379	0.0296048404	0.0198373882	-0.0237734888	-0.0135281168	0.0487937511	0.008844138	0.0607410325	-0.007335173	0.0617975256	0.0661031138	0.0197828377	-0.0325860271	-0.0152070769	0.0320389875	-0.037220002	-0.013784373	-0.044288075	0.0065881138	-0.0108004438	-0.0524608351	-0.1990288492	-0.068834108	0.0279423412	0.1127451407	0.0742228089	-0.0669986305	0.1177891176	-0.0233783192	0.0562551114	0.0864961148	-0.0940389633	0.1445739183	0.1391380861	-0.0719429763	-0.0672091694	-0.0105311979	-0.0361141347	0.0245411808	-0.0340101241	0.0650103651	-0.0321104808	0.0297917664	-0.0520232282	0.1037349618	-0.0079417509	0.0882903637	-0.0558546277	-0.0962862953	0.0380643307	0.1211491984	0.0390709127	-0.0938576143	-0.0129178198	0.0438107515	-0.0808412497	-0.0051640089	-0.0070624831	-0.0273109159	0.0280934536	-0.0268686146	-0.1239234266	-0.0386965966	-0.1019684863	0.0330752865	-0.1199124384	0.0797540732	-0.0385285856	0.0004506428	0.0325080084	0.0998174073	0.0033238853	0.0366231983	0.014505133	0.0029366574	0.0891178728	-0.0076443606	-0.0333599434	-0.0206224186	0.0808994451	-0.02038553	0.0163128675	0.0855714979	-0.0929592819	0.0426702975	-0.043561831	-0.0438608885	-0.0082613526	0.0263299332	0.0278377995	-0.0392442734	-0.0842246244	0.0224786778	-0.0409617868	-0.0625517615	0.094515759	-0.090355668	-0.0350411746	0.0471743352	-0.0593588392	-0.0403494839	-0.1011919065	-0.0600811904	-0.0125192238	0.0386492614	-0.0515134926	0.1472245507	0.0376091771	0.0217331311	-0.0067049342	-0.0749904878	-0.0255330023	0.1433491742	0.1144356645	0.0144458321	-0.0493611732	-0.0531577475	0.088479169	0.0882323633	0.0878215304	0.0872474339	0.0865111411	0.00258158	0.04958888	6.6645552964e-06	0.0024590570196544	-0.00333509	0.02674691	0.0007153971945481	1.11228253081e-05	0.276499	0.136616	0.0764516970009999	0.0186639314559999	-0.00112664	0.00051397	2.641651609000001e-07	1.2693176895999998e-06	2.02183e-22	0.000434616	1.8889106745600003e-07	4.087796548900001e-44	0.000932406	0.0007622379999999	8.693809488359999e-07	5.810067686439999e-07
3989.5198076396505	-22.687485774245488	514.7220107565914	15916268.295549111	8199.124675197587	-65.27724496911651	67225645.43943393	4261.118710758046	3758.915805232742	3.4677354088526045	12.02518886581014	14129448.030828511	4362.203659691591	6778.977611070113	1.181015	51.366528	0.14511846	0.0895293999999999	0.0110836783	-0.1048550662	-0.0261242663	-0.0163124814	-0.1615074527	0.0844695645	0.037344146	-0.0208063667	0.0075612248	0.0296411945	-0.0519688566	0.0831367062	0.0560684254	-0.0054190573	-0.0142339886	0.0475353384	-0.0416695555	0.0092610252	0.0009805837	0.0587340529	0.1442781056	-0.0931484348	0.0850527754	-0.0283754275	0.1068638088	-0.0539115308	-0.0219981044	-0.0628991299	0.1314627522	-0.0180625016	-0.0635901308	0.0494419278	0.0261588426	0.0253746015	0.0599578026	0.0606766509	-0.0444924709	0.0138017546	-0.0621479752	-0.049280439	-0.0250207008	-0.0124027606	0.1496912828	-0.1151081954	-0.0154813458	0.0332425827	0.1069666789	0.0901940109	-0.0278691752	-0.0812196271	-0.0771856272	-0.0064423114	0.0457328822	-0.008251553	-0.0720147245	-0.0046919498	-0.1669947141	-0.0054757707	-0.1381533542	0.0623129832	0.0780197683	-0.0099700639	-0.0487862968	-0.0499502224	0.0016515922	0.0010150575	0.0406109509	0.0936882745	0.0718551954	-0.0862060687	-0.0384571258	0.0450577382	-0.1009161087	0.0212635642	-0.0545334407	0.0311776884	-0.1407501915	-0.0304905789	-0.0727785817	0.0361305742	-0.0074290641	0.0804720036	-0.0392832748	-0.0185320366	-0.0529457322	-0.0964642925	-0.0188050054	-0.0214789341	0.0493680084	-0.0215113866	-0.0535623544	0.0490190207	0.0923339336	-0.0154294726	0.0811442194	-0.1261229764	-0.0073236526	-0.0131719358	-0.1463661277	0.0005479994	-0.0911476721	0.0507959151	-0.0260173616	-0.0878876149	-0.0932142212	0.099029537	0.0088073708	0.0808429435	-0.0140933294	-0.0640935047	0.0047386493	-0.0730175898	0.0536595686	0.0451165092	0.0470525633	-0.0848228263	0.0807374307	0.080055478	0.0236121728	-0.0122758468	0.0634074291	-0.004437281	-0.0619924829	0.0386121545	0.0357321522	-0.0767656932	0.1606950716	0.0935276795	-0.0814113948	-0.0080903112	0.0660608891	0.1320931395	-0.1128657181	-0.0179651612	0.0579876895	0.0536315712	0.1099612714	-0.038016288	-0.0520706084	-0.0576543583	-0.1050338707	-0.0446785848	0.0751187199	0.0741815023	0.0201655594	-0.0554624452	0.0049379922	0.0214368163	0.0023011066	-0.1316441059	0.0991617589	0.018497254	-0.109980278	-0.0322908936	0.0213371128	0.0536616732	-0.0214891888	-0.061991032	-0.0997290286	0.034097072	-0.0711587084	-0.095358414	0.0108594192	-0.0462838527	-0.0187962296	3.47776e-05	-0.0052148815	0.0567398893	0.0024694904	-0.0173180862	0.0766840711	0.0268825622	-0.0036553961	-0.0534658904	0.0612419173	0.0263845387	0.0340623748	-0.0917127785	-0.0357898729	0.1318935581	-0.0724904566	0.0180963501	-0.1030682112	-0.0187494232	0.0628441903	-0.0103431174	-0.043210906	-0.0256230349	-0.024968681	-0.0542268092	-0.0081867837	-0.0965433802	0.1354999228	0.0101170666	0.0420422806	-0.0315363988	0.0879510193	0.0376339783	0.0788483608	-0.1590558405	-0.008719049	0.0018927767	0.0130856083	0.0434795563	-0.1222820631	0.088425423	0.0880176446	0.0873394062	0.086392792	0.0851807107	0.0264338	0.02385222	0.00069874578244	0.0005689283989284	0.00908155	0.01241664	0.0001541729488896	8.247455040250001e-05	0.193793	-0.082706	0.037555726849	0.006840282436	-0.00121505	-8.841000000000014e-05	7.816328100000024e-09	1.4763465025000002e-06	0.000414913	0.000414913	1.72152797569e-07	1.72152797569e-07	0.000951955	1.9549e-05	9.06218322025e-07	3.82163401e-10
4001.0406293503033	11.520821710652854	132.7293328886501	16008326.117711872	8182.539944695316	-16.58473050227076	66953959.946534425	275.0532858329501	3759.841941416786	0.926136184044026	0.8577282313956297	14136411.424436746	4347.206405405165	6782.61803240412	1.13675	49.441284	0.1042785999999999	0.0612762	-0.0687601382	-0.0214658734	-0.0547398599	-0.02925444	-0.0317161759	0.0699723424	0.0663657943	0.0175320289	-0.0585569672	-0.1812415203	0.0424484732	0.0895596876	0.0499829627	-0.0237999417	-0.0776163524	-0.0128279972	0.0396850879	-0.0786826206	6.37588e-05	0.0342674318	0.1294974484	0.0573767236	0.0714235002	0.0378070721	-0.1603773907	-0.0011201519	-0.0131180984	-0.0791508317	0.0326230294	0.1419575561	-0.051968976	0.0531815192	-0.001552931	0.0767073467	-0.0223652261	-0.1162082568	-0.0693184254	-0.1432142876	0.0004865924	-0.1128876242	0.017505003	-0.0516050397	0.0382759844	0.0183964052	-0.0935237225	-0.0619955582	0.149506518	0.2001029572	0.0346823064	-0.009448862	-0.0134959765	0.0143182859	-0.0294945197	-0.0036146528	-0.0096924999	-0.0552877131	-0.0495566064	0.2141135865	0.0014745565	-0.0321292945	-0.0959881058	0.0516478656	-0.0297953194	-0.0786888006	0.0337024897	-0.0747775695	0.0409656132	-0.1622452558	0.0468308507	0.0356742959	0.0102771432	-0.0356538459	0.1016326399	-0.0834566636	-0.0066718041	-0.1095843453	0.0464387878	0.063440844	0.0190827562	-0.0976565411	-0.1023425229	-0.0337603935	-0.0225968511	0.0655753146	-0.0104258992	0.1012270023	0.0733750196	0.0389534016	-0.0419705979	0.0448858538	-0.062301667	-0.0616999895	-0.0898596368	-0.0396136238	0.0392457609	0.0143249488	-0.0827352144	-0.0410973705	0.0464025253	0.0645772603	-0.0774523944	0.0241896725	-0.0013680453	-0.0285291428	0.0223299968	0.0236842489	-0.051479251	0.021333755	0.1502842414	0.0333244736	-0.0894263654	-0.0654155435	0.0501130031	-0.118223469	-0.0701547753	-0.0396738548	0.0153725818	0.0539367215	-0.1132723373	-0.0785184079	0.035442795	0.0541152128	-0.0830348442	0.0662457999	0.0491818549	0.0749105642	-0.0065458145	0.0738423384	0.0158858863	-0.1710578815	0.0960766535	0.0451850871	-0.0965323344	-0.0777684023	0.071608326	-0.0109524013	0.0516751028	0.0103260699	-0.1070766371	-0.1004136118	0.0308370155	0.1496069946	-0.1121408583	-0.0855655064	-0.0740843073	0.1090256663	0.078795802	-0.0080570723	0.0391849759	0.0185745799	-0.0232072793	-0.0792443444	0.0504859528	-0.029584775	-0.0544951889	0.0340783473	-0.0016037035	-0.0332446665	0.0074961735	-0.0611371888	0.0865187085	0.0792669257	-0.103115739	-0.0738484449	-0.0180705378	-0.0711214501	0.0362104309	-0.1480829756	0.1248710833	0.0974224824	-0.0123765502	-0.0537632136	-0.0241291205	-0.0798019787	-0.0743719291	-0.0188168027	-0.0733908991	-0.0244583208	-0.1149878476	-0.0036564951	0.0516912633	0.0392956856	-0.049050919	-0.0425621237	-0.0387315652	0.0606318428	0.0292658238	-0.1019235971	0.0713449395	0.040859426	-0.067665424	-1.8211e-06	0.0364514734	0.1277664094	0.0181560732	0.0907986419	-0.0351531366	-0.0184726348	-0.0717225817	-0.0605871822	0.0298416527	-0.0993236692	0.1158819203	0.0581602645	-0.1767051546	0.0883582559	0.0877494907	0.0867379869	0.0853283871	0.0835271607	0.0222211	-0.0042127	0.00049377728521	1.7746841289999998e-05	-0.0433071	-0.05238865	0.0027445706488225	0.00187550491041	0.175682	-0.0181109999999999	0.030864165124	0.0003280083209999	-0.0008915079999999	0.0003235420000001	1.0467942576406477e-07	7.947865140638217e-07	0.000562972	0.000148059	2.1921467481000012e-08	3.16937472784e-07	0.000832231	-0.0001197239999999	6.92608437361e-07	1.4333836175999997e-08
