global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02
4463.35654787417	n/a	19921551.67345123	n/a	9759.26296728127	n/a	n/a	95243213.66454764	4236.411760223372	n/a	17947184.60215889	n/a	4397.644919002757	7655.653242465133	n/a	n/a	n/a	n/a	-0.0271486674	-0.050812739	0.0706120972	-0.0628477699	0.0823223844	-0.0085845929	0.006111341	-0.006811917	0.0266174895	-0.3735454773	0.0485964083	-0.0645683382	0.0573350182	-0.0922880979	0.0743019701	-0.0404462605	-0.0276437692	0.0670983429	-0.0112291115	0.009025173	-0.0238662851	-0.0744621545	0.0108872102	-0.0338070686	0.0037131022	-0.0499311424	0.0553195349	-0.0139144847	0.0123385302	-0.156146649	0.0074467365	-0.0238285383	0.0343358739	-0.0096588581	0.0898750104	-0.0322070951	0.0274045007	-0.0132588028	0.0308215969	-0.0079718055	0.0088861217	-0.0481283958	0.0244332935	-0.0168607868	0.0328183235	-0.0721014755	0.0218182017	-0.0437499307	0.0363858578	-0.0460183821	0.0150955147	-0.0282521389	0.037247595	-0.0863651715	-0.0006547214	0.0754078795	0.0826670767	-0.0806454152	0.1187714276	-0.0373860971	-0.0084545367	-0.0724367814	0.0286089163	0.0466112107	-0.085619661	0.0564116758	-0.1432235069	0.0554601305	0.0162622249	0.0466229481	-0.031362945	-0.022630658	0.0445522671	0.0466466676	-0.0961354535	0.0907256132	0.0189589701	0.004116235	0.0397734414	-0.0145541129	-0.0578818694	0.0309047074	0.0031964244	0.0680428229	-0.0500555556	0.0331900086	0.0127272549	0.0800511569	-0.0404754581	-0.0772032239	0.0715293365	0.0401975467	0.1277917757	-0.0752937938	-0.0229726056	-0.0238786424	-0.0252840987	0.0589697434	-0.0312824579	0.0221314346	-0.0068023965	0.0580195513	-0.030654177	0.0075119421	-0.050156652	0.0780478642	-0.0214203983	0.007086632	-0.0549554226	0.0119551295	-0.095002141	0.0504818962	-0.1627758253	0.1362838584	-0.0113041909	0.0213054736	-0.0127512047	0.0167836699	-0.0380964196	0.0068851257	-0.0011567572	0.0368755341	-0.0173843611	0.0351643623	-0.0775248494	0.0183291609	-0.0386754807	0.0895990425	-0.0438561412	0.0436519559	-0.0552638145	0.0441179508	-0.0568308969	0.0199370723	-0.1080610264	-0.0115406365	0.048876598	-0.0662788466	0.0797101247	0.1369451746	-0.0755076929	0.0063816369	0.004832493	0.020214817	-0.0694977181	0.0572611955	0.0829472065	-0.1022610119	0.0974032485	-0.0863621062	-0.0151228067	-0.0043135123	-0.0247603711	0.0940864631	0.0523503679	-0.0061931429	-0.1029160475	0.0240613571	0.0550254624	-0.010403653	-0.011245218	-0.0494779942	0.0764221099	-0.0336844364	-0.0773867365	0.0365180011	0.0163236071	0.0393116611	-0.0449872761	-0.0498112346	0.0283074285	0.108454217	-0.0511733737	-0.075560066	-0.012158101	0.1561714189	-0.0016385613	-0.0353338911	0.0021949334	-0.0228103932	0.0927467493	0.024277314	-0.0321150682	0.1011397291	-0.0120309768	0.000254294	-0.0155055066	0.0052727072	-0.0917621905	0.0062144585	-0.0361215647	0.0195950158	-0.1027100504	0.0102204391	-0.0423960877	0.0752024989	-0.0172633006	0.0138093202	-0.0612176342	0.0019836047	0.0885598083	0.0885547676	0.0885463667	0.0885346059	0.0885194856	0.0058244	n/a	3.3923635360000005e-05	n/a	-0.0131223	n/a	0.00017219475729	n/a	0.508317	n/a	n/a	0.258386172489	-0.00315273	n/a	9.9397064529e-06	n/a	-0.00067574	n/a	n/a	4.566245476e-07	0.000949314	n/a	9.01197070596e-07	n/a	0.0	0.0	0.0
4473.540898388424	10.18435051425331	20012568.169553906	103.72099539717166	9765.516176100022	6.253208818750863	39.10262053090357	95365306.1856712	4242.949617818363	6.537857594990783	18002621.45934499	42.74358193237866	4404.829262100348	7661.882971063332	1.136046	38.751919	0.22859444	0.103851	-0.0067062337	-0.0891497044	-0.0682918793	-0.0216996955	-0.0382257917	0.0101368876	-0.0242051091	0.0685855359	0.1121834742	-0.2751126962	0.1728253959	-0.0934997494	0.1989018614	-0.1649184208	-0.0668033004	-0.0447849015	0.0197932825	-0.0500352281	-0.0131649678	0.1390061212	-0.0535489386	-0.051375529	-0.0496304121	0.0268300246	-0.0056322293	-0.0253145668	-0.0962204671	-0.0137147772	0.1318491472	0.0395816979	0.028810588	-0.0326698094	-0.0262367806	-0.014597425	-0.0436287178	-0.0803208412	0.0129542212	-0.0351992347	-0.0712305514	0.0842017076	0.040320834	0.1388546408	0.0787175789	0.0544394056	0.0863999737	-0.0377293218	-0.0518850931	0.0038737713	-0.0257461326	0.0789973916	-0.0863420711	0.0152625105	-0.0499431858	-0.0572102865	-0.0402336724	0.1402327803	-0.0262015991	0.0191618983	-0.004955772	-0.0330108564	-0.0505564164	-0.0634047971	-0.0083439395	0.0974127541	-0.1052030705	-0.0218386504	0.1512530281	0.0290912766	-0.0767570553	0.0800540294	0.0393079436	-0.0149252323	-0.0036970483	0.0123429124	0.0771151697	0.1309522294	0.0190559333	0.0165607133	-0.0232343169	0.171941498	-0.06154663	0.0472558446	-0.0479941554	-0.0893836221	0.015420723	-0.0348270499	-0.0527803645	0.1276321783	-0.0937021303	0.0360842111	0.0018213644	0.0563033291	0.0267207369	-0.0437217042	0.0956087194	0.0690720375	-0.0352925412	0.0490510744	-0.025463943	-0.0765075305	0.1693949078	0.042461206	-0.0044775514	0.0169624496	0.0048834902	-0.0056275548	0.0240021211	0.0223983045	0.0983351789	0.0654227632	-0.1296715653	-0.0364028582	0.0178221347	0.0330690096	0.0281332496	0.0894932566	0.0632169957	0.0033822221	0.0316390259	-0.0038368287	0.1930381912	0.0206910663	0.1009049471	0.0670250587	0.0226236334	0.1336950913	-0.0116146385	0.0394200816	-0.0033257137	-0.0124600267	0.0610995908	-0.0717403874	-0.0416481898	0.0924455766	-0.0422075088	-0.0730733176	-0.0108496657	-0.1433962417	-0.0040378532	0.0293673383	-0.0239253624	-0.0942788805	-0.0199548123	0.0069318238	-0.0845873552	0.0581260368	0.104549684	0.1022416322	-0.0562157764	-0.0964666081	-0.0205211844	0.056885123	0.065921033	-0.0136397854	-0.0621336938	0.1511659485	0.0650493618	0.0203081063	0.0413016183	0.0649517029	0.0093646412	-0.1499186053	-0.0417908183	0.0857513938	-0.0417288621	-0.0877108697	-0.0806601313	0.0453526929	-0.0059033471	-0.0666483076	-0.0774393869	0.0834097514	-0.108089545	-0.0293538649	0.117403149	0.0416542497	-0.0239859259	-0.0446438826	0.0857761906	0.0074468079	0.0760808608	0.0257397332	-0.14559855	-0.0800421913	-0.0184457977	0.1217082312	0.0381166527	0.0904913568	-0.0766366389	-0.0688344586	0.0488101827	-0.05107027	-0.1096296365	-0.0128292588	-0.1305593845	0.0796441618	0.0636869227	-0.0155491352	-0.075320652	0.0066749941	0.0885463667	0.0885010064	0.088425423	0.0883196425	0.0881837009	-0.00999042	-0.01581482	9.98084917764e-05	0.0002501085316324	0.00821177	0.02133407	6.743316653290001e-05	0.0004551425427649	0.46756	-0.040757	0.001661133049	0.2186123535999999	-0.00430574	-0.0011530099999999	1.85393969476e-05	1.3294320600999998e-06	-0.00183427	-0.00115853	1.3421917609e-06	3.3645464329e-06	0.000247083	-0.000702231	6.1050008889e-08	4.93128377361e-07	0.0	0.0	0.0
4482.616164542472	9.075266154048222	20093847.67861746	82.36045576681322	9725.592523189624	-39.92365291039823	1593.8980617099492	94587149.92712192	4252.364127577615	9.414509759252724	18082600.67350893	88.63299400706478	4409.059659172507	7611.730022818775	1.219206	41.588631	0.28056629	0.135682	0.0100298288	0.0069219561	0.1200159073	0.0326228443	-0.0062823266	0.0322472293	0.0296432318	0.0342744769	-0.0559674123	-0.2252507683	0.048191192	0.0242113415	0.0811215212	-0.0758311001	0.0606991343	0.0014226781	0.0154972484	-0.0907722049	0.0109303131	-0.0084888029	0.0380793851	-0.0475866329	0.0123564073	-0.1046982866	0.0362720293	-0.0004068956	0.2124376281	0.089981462	-0.0614736336	0.0301992996	0.0977467793	0.0250360925	-0.0130411124	-0.0133050053	0.0790334411	-0.0808968992	0.0366686267	0.0665174461	-0.0312429463	-0.0382156511	0.0901759513	-0.0006118994	-0.0287956482	0.0103466766	-0.1209593531	-0.0647370191	-0.0155219501	0.0152853734	-0.0429165025	0.0078978336	0.0290662409	-0.0502814252	-0.051914393	0.0605940566	0.0577942378	-0.0178033483	0.0872156263	0.014599458	-0.1108541909	-0.0537903409	-0.0550517624	0.0360292292	-0.1254001523	-0.0073621902	0.0129412972	0.0091054355	0.1155341062	0.0203677333	-0.052167986	-0.0877546365	0.0557522103	-0.1126062659	0.0110230548	-0.0046796836	0.0362373978	0.024059369	-0.0595909321	-0.0124941174	-0.0347630962	-0.0683678807	-0.0286994388	0.0002482099	0.0760698586	-0.0443223148	-0.1392125904	-0.0711048751	-0.0243524476	0.0024642396	-0.0293574705	-0.0821493178	-0.0640885263	0.0632714149	-0.2290293294	0.099167755	0.0576282312	-0.0174515369	0.0168362242	-0.0787934506	0.0089192103	-0.0641558611	0.0192720654	-0.0190863339	-0.032267466	0.0407083329	-0.0114658818	0.1816296663	-0.0749274832	-0.0914271852	-0.1868467424	0.0038031542	0.027835748	0.0268662599	-0.0635282104	0.0361443235	-0.0332301065	0.0844851359	0.0238278525	-0.008633564	0.0235915433	0.009033689	0.0097181757	0.0778977288	0.0047938437	0.0572615431	-0.063652576	-0.0276399239	-0.0254841695	-0.0382802154	0.0708446919	-0.0878792944	-0.0171917394	-0.0435213751	-0.0269539599	0.0156988209	0.0645189075	-0.0566949971	0.0549867438	0.1352839289	-0.0599820811	-0.0191230676	-0.0298783202	-0.0917512652	0.0039083553	0.1049381706	0.0336597273	0.0049379662	0.0713548695	0.0793363419	-0.0720327866	0.0505461398	0.0890372254	0.1346366402	-0.0503451668	-0.046458656	0.0073418114	0.0395449019	-0.0040031118	0.0041822804	0.0166603073	-0.0051095891	0.0302029846	0.0704858592	0.0593954063	0.0389238762	-0.027748148	0.0993622514	-0.1413797395	0.0265717157	-0.0166550747	-0.1113246566	0.0068040227	0.0021849671	0.0047876601	0.0560948296	0.0080707685	-0.2599464209	-0.0031244643	-0.0417412443	-0.0032746269	0.025298922	0.0380219436	-0.0209159508	-0.0826424992	0.0476187039	0.0519885344	-0.1078265458	-0.0337128179	-0.007708109	-0.0879362762	0.0908358878	-0.074073951	0.0247463067	-0.0676344318	-0.0704630663	-0.108748455	-0.0558481077	0.1671266473	-0.0411681111	0.0091881131	0.0690951648	0.0885194856	0.0883935165	0.0881837009	0.0878902376	0.0875134051	0.0290125	0.0390029199999999	0.00084172515625	0.0015212277685263	-0.0606476	-0.06885937	0.00367813138576	0.0047416128367969	0.504975	0.0374149999999999	0.0013998822249999	0.2549997506249999	-0.00343423	0.0008715099999999	1.17939356929e-05	7.595296800999997e-07	-0.0	0.00183427	3.3645464329e-06	0.0	0.000247083	0.0	6.1050008889e-08	0.0	0.0	0.0	0.0
4476.22425993069	-6.391904611781683	20036583.625192054	40.856444566115954	9680.687816829985	-44.90470635963902	2016.4326532454047	93715716.6069205	4247.370850936948	-4.993276640667318	18040159.145388853	24.932811610233895	4401.695184787783	7600.149146466307	1.135351	38.728237	0.10591275	0.0502353	0.0025836774	0.0664961959	-0.0316797899	-0.0523383859	0.0493130025	0.0290023009	0.0572925076	-0.0125790349	-0.0475146797	-0.1042893334	0.0237815093	-0.1112961245	-0.0172904985	0.0205916479	0.12126121	0.0357038309	-0.000919359	0.0462432167	-0.0104907463	-0.0438434455	-0.0391094928	0.1359165613	0.0586431991	-0.0467865915	0.0136266205	-0.0642906795	0.0521684197	-0.0326251172	0.0129495893	-0.0451915236	0.0395547525	0.0436375573	-0.0597938987	-0.0407443992	0.0503944185	0.0328635495	-0.1291394994	-0.0132009111	0.0413909899	0.0028369351	-0.1092565345	-0.0542098302	-0.0058847737	0.0552027691	-0.0097861432	0.0011495352	-0.0003651853	-0.0017153118	-0.0495790786	-0.0640840616	0.005667099	0.0388227931	0.004150035	-0.0294625056	-0.0357048349	0.0627710366	0.0144545461	0.0147196169	0.0198512424	-0.0752419433	-0.0008504907	-0.0427316678	-0.116336308	-0.0982765107	0.0297799769	0.0160427195	-0.0575769034	-0.0046103554	0.208409731	-0.0263888129	-0.0054791861	-0.0095919414	0.0266930674	-0.0532242133	0.0448050634	0.106644592	0.0422515846	0.0022801749	-0.075273042	0.0889636159	0.0014877128	-0.0365742272	0.0389732939	0.0285089022	-0.0265471958	-0.0377274618	-0.0272313489	-0.1500346252	0.0790566831	-0.1054327525	-0.0535431486	-0.02620099	0.0583845068	-0.0775979367	-0.0468570375	0.0376442173	0.0341629456	-0.0265449381	0.0067875422	0.0364324494	-0.0807418425	-0.0133202509	0.1251669167	-0.013755723	-0.0673512279	-0.021393297	0.0058460329	0.0026242848	-0.0764284959	0.0561620087	-0.0320573724	0.0632765099	-0.0202568504	0.0308402872	-0.0590830152	-0.0023603486	0.0424565537	-0.1160689002	-0.0616499661	0.0551569734	-0.028694665	-0.0810889916	0.0071942906	-0.0750932147	-0.0691966041	0.0102006008	5.383e-07	-0.0590294259	-0.054721718	0.0032227924	-0.0316871728	0.0473809651	0.0005420252	0.0352120661	-0.0510228126	-0.0532094271	0.0457302635	-0.0735638566	0.0128609952	0.0354918177	0.028086257	0.0043968109	-0.0792523039	0.0989285146	0.0889873731	-0.0067565179	-0.0148084843	0.086745933	0.1931248871	0.0210178312	-0.0043819435	-0.0198225733	-0.0805329334	-0.0119894883	0.077491964	0.0134894102	0.0224249898	-0.04062646	0.0619885251	0.0182501496	-0.0396103213	-0.0497558309	-0.0451742254	0.0776168326	-0.0686250831	0.0149147182	-0.0026677781	0.0140905375	0.0092965006	-0.0384123076	0.0876154413	-0.171299187	-0.0061751562	0.0239506917	-0.0192625486	0.0900132623	0.0065325609	-0.0235447416	-0.0212356352	0.0145231621	0.0034730366	0.023369756	-0.0141577554	0.0626026681	-0.095453083	-0.047666674	-0.0356734826	-0.0649067331	0.0076052906	0.1012622953	-0.0581468864	0.1116214711	-0.0852908119	-0.0770168662	-0.0105050302	0.0037346423	-0.0199452813	-0.028136514	0.0444977037	-0.0209702473	0.088479169	0.0882323633	0.0878215304	0.0872474339	0.0865111411	0.0295914	0.0005789	0.00087565095396	3.3512521000000026e-07	-0.0359642	0.0246834	0.00129342368164	0.00060927023556	0.53915	0.034175	0.001167930625	0.2906827225	-0.0032292	0.0002050299999999	1.0427732640000002e-05	4.203730089999988e-08	-0.000159029	-0.000159029	2.5290222841000003e-08	2.5290222841000003e-08	0.000812533	0.00056545	6.602098760890001e-07	3.197337025000001e-07	0.0	0.0	0.0
4474.01585244539	-2.2084074853000857	20016817.84793265	4.877063621129448	9636.229587382171	-44.45822944781321	1976.5341656344056	92856920.66073956	4254.764684281964	7.393833345015992	18103022.518613	54.66877153387037	4408.562383315142	7593.4442757616835	1.074432	36.650188	0.18401243	0.0873591999999999	0.0172740014	0.0405331585	0.0156341473	0.0782458835	-0.0192065178	0.0301794684	0.0274870041	-0.0287396589	-0.0542442611	-0.0073891781	0.0087912551	-0.011659992	0.0873385961	-0.0257746341	0.0089099432	0.0301540619	0.0189589182	-0.0590937839	0.0071382104	-0.017347612	0.017154019	0.0828414311	-0.0182961794	0.0135030808	0.0479347677	0.0011294799	0.0747296632	-0.0366108072	-0.1137642385	0.0957133322	-0.0714849286	-0.0013514067	-0.0443724652	-0.07318232	-0.0993052666	0.0092713	0.0140337957	-0.0258857931	-0.0901665224	0.0701313727	-0.0514159877	0.1418104075	0.1684098936	-0.0044118724	0.0221284685	-0.0135512786	0.0506898521	0.1028392984	0.0119545055	-0.1442674678	-0.0027643499	-0.0318927876	-0.0550460101	0.0089391073	0.0202928713	-0.0483751644	-0.0277119336	0.0690788059	-0.0084071694	-0.0983108981	0.053492325	-0.0777020323	-0.0694800539	0.1064232997	0.0295060749	0.0498241638	0.0050496981	-0.0435223175	0.0075187077	0.0618049037	-0.1509776807	0.0792848979	0.005998648	0.0360516145	-0.1131382016	-0.1147149611	-0.0286517818	0.0352611655	-0.0224847103	-0.0417784768	0.0518028536	-0.0032905319	0.0788887013	-0.0668657711	-0.0343481927	-0.0683799939	0.0313331828	0.0648493795	0.0129986563	0.0285980172	0.1340707582	-0.0270048011	-0.0832568863	-0.0699771236	-0.0188245449	-0.0156135655	0.0260425886	-0.061758231	0.0273000269	-0.0251961103	-0.0037508384	-0.0192849573	0.0427883643	0.0037927619	0.0138217836	0.003904744	-0.0110228706	0.1011067733	-0.0731751517	0.0188644739	0.0976233467	-0.0725702637	0.1195919838	0.0222205679	5.87509e-05	-0.0285144506	0.0681181947	-0.0015911166	0.0225327633	-0.052082111	0.1564695263	-0.0618928561	0.1559372248	0.1006666716	0.0036139393	-0.0759225958	0.0055885316	-0.0616962927	-0.012693662	0.0562807052	-0.0357638057	0.1633631239	-0.0368864254	0.0422701988	0.056396349	0.0086376058	-0.0083269398	-0.0127520197	0.0445102852	-0.025087373	0.1301886036	0.0191077143	-0.0409371628	0.0823766146	0.0044129567	-0.0484850339	0.1029610134	0.0142529896	-0.0730595856	-0.0144526553	-0.0673682996	-0.1348047361	-0.019614302	0.0635539664	0.0102963429	-0.0564962443	-0.0806268292	0.0681683573	-0.0755707667	-0.0415535062	0.0073465995	0.0654792414	0.0174178155	0.0765275583	0.065328417	0.0147294112	-0.06330253	-0.1114848368	0.0196140368	0.0016573821	-0.0067946759	0.0998123487	-0.0148276684	0.1051141783	-0.0316995694	0.0005333541	-0.0076206107	-0.004188823	0.043633227	0.030613106	-0.02417725	0.0186815905	-0.0621931485	-0.041491571	0.0386707283	-0.0192523073	0.0473728471	-0.0358411828	-0.0502800281	-0.0864100204	-0.0055571441	0.1036631366	-0.105834793	-0.0088525007	-0.0196871718	0.0325428972	-0.0397116735	0.023828866	0.0002154166	-0.1042357545	0.088425423	0.0880176446	0.0873394062	0.086392792	0.0851807107	-0.00499824	-0.03458964	2.4982403097600003e-05	0.0011964431953295	-0.0078125599999999	0.0281516400000001	6.103609375359845e-05	0.0007925148346896	0.517078	-0.0220719999999999	0.0004871731839999	0.267369658084	-0.00372723	-0.00049803	1.3892243472900002e-05	2.480338809e-07	-0.0014387	-0.001279671	1.637557868241e-06	2.06985769e-06	0.000606251	-0.000206282	3.6754027500100004e-07	4.2552263524000016e-08	0.0	0.0	0.0
4479.370037424675	5.354184979284582	20064755.93217793	28.667296792396645	9670.77130914172	34.541721759549546	1193.1305421141385	93523817.71371868	4253.493589947831	-1.2710943341326129	18092207.71972729	1.6156808062640304	4407.044871867204	7663.615905658433	1.068039	36.43214	0.1672491599999999	0.0776369999999999	0.0339512355	0.0402601499	0.0549202456	-0.069991042	0.0527493737	0.0500633011	0.0249872528	0.0051605157	-0.0076687616	-0.0390337393	-0.0306424859	0.0234235911	-0.0800875405	0.0418975583	0.0523814311	0.0284339854	-0.0337312239	-0.028398146	0.0449100372	-0.0803254571	-0.0355844103	0.0001141134	0.0647673504	-0.057112509	0.0525923275	-0.0379704484	-0.0971979253	0.0161369102	0.0281600654	0.0313758152	0.0398996305	0.0223860865	0.0513676374	-0.0629474473	-0.0152484416	-0.138584292	-0.0299648568	-0.0312606491	0.0849558277	-0.06015894	0.0333191344	0.0501595528	-0.1443517308	-0.0933955886	0.0548395442	0.0901924569	0.0022468993	-0.1072819516	-0.0052031495	-0.0840701568	0.0956574419	-0.1142810833	0.0082076556	-0.0125885472	-0.0226690599	-0.1417311895	0.0373696045	0.0734243053	-0.0090980633	-0.1761215935	0.0034874407	-0.0680029568	0.1443386009	0.1074599189	0.0418348059	0.025190159	-0.0070180206	-0.0465949033	0.0051912717	-0.0229057284	0.1016964188	0.0757898426	0.1271471799	0.0555167551	0.0142299254	0.0298906144	-0.1300919334	0.0563950693	-0.0174254147	-0.0031558687	0.0471983641	0.0322695934	0.0823932953	-0.0299775894	-0.0570663647	0.0444738239	0.0170638363	0.1112328881	0.0896268526	-0.0141820312	0.0014789558	-0.0563653192	-0.0555905763	0.0539785219	-0.0608016895	0.0344251516	0.0154791504	-0.056440125	0.0570295813	0.0099577137	-0.0408723154	0.0297167638	0.0323439199	0.0072283002	-0.0243197768	0.029478623	0.0697525655	-0.1392572973	0.0645371263	0.066016631	0.001131979	-0.0074669759	-0.0444965175	0.0297368469	0.0363121457	0.0167097575	0.1367732979	0.055098573	-0.0642747992	-0.0400831194	-0.0822820103	0.0755238188	-0.0468504751	-0.0835231356	0.1388891506	-0.0595227647	0.0385595122	0.0602090167	-0.0882034139	-0.0579172323	-0.0308260561	0.059030125	-0.0736356306	-0.1038482554	0.0222637122	0.0608326764	-0.0272052248	0.0596167589	0.1318613114	0.0884046393	0.1889005464	-0.1045691486	-0.0630949099	-0.0247432267	-0.0867374014	-0.0550165979	0.0165980582	-0.0209171078	0.0130257067	0.0796278568	0.0493049331	0.0723634332	0.0621061737	0.0792710271	0.0312111119	0.0478617656	0.092627436	0.1207538108	-0.1255782954	0.0191612933	0.0610530528	0.0398569073	-0.0123732107	0.0598159231	0.1025111158	0.0890615996	0.0737541462	-0.0369001655	0.0330262699	-0.0626879184	0.002182308	0.052247742	0.0264877025	0.0258963092	0.0127360536	-0.0287613424	-0.0019312112	-0.0083347485	-0.0176179939	0.0267624609	-0.0165532123	-0.0226042367	0.0350638574	0.102633441	-0.0274491302	0.000118623	-0.0341328576	-0.0323203715	-0.0505393119	0.003478058	-0.0539571963	0.0475553866	-0.0357549507	-0.0383721099	-0.0607280965	0.0791136326	0.0365170288	-0.0377828778	0.0230102985	-0.0095330467	0.0883582559	0.0877494907	0.0867379869	0.0853283871	0.0835271607	0.00963458	0.01463282	9.28251317764e-05	0.0002141194211524	-0.0463086	-0.0384960400000001	0.00214448643396	0.0014819450956816	0.538335	0.0212569999999999	0.0004518600489999	0.289804572225	-0.00296208	0.00076515	8.773917926400001e-06	5.854545225000001e-07	-0.000499763	0.000938937	8.81602689969e-07	2.49763056169e-07	0.0007594299999999	0.0001531789999998	5.767339248998481e-07	2.346380604096935e-08	0.0	0.0	0.0
