global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
4097.18388169224	n/a	16786915.76039869	n/a	9106.645373422129	n/a	n/a	82930989.95727067	4137.293962996005	n/a	n/a	17117201.336243186	4325.371824099961	7001.079557299275	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0384938	n/a	n/a	0.00148177263844	-0.00428392	n/a	1.83519705664e-05	n/a	0.37082	n/a	0.1375074724	n/a	-0.00239077	n/a	5.7157811929e-06	n/a	0.00185773	n/a	3.4511607529e-06	n/a	-0.000575457	n/a	3.31150758849e-07	n/a	0.0	0.0
4083.082197008272	-14.10168468396796	16671560.227525895	198.85751092605653	9003.432810295953	-103.21256312617516	10652.833187074692	81061802.36951369	4133.160162565538	-4.13380043046709	17.0883059989299	17083012.92941878	4321.048905994464	6932.673245385162	1.067755	40.927937	0.1039976299999999	0.0556962	-0.0485443924	-0.0722979655	0.0131859612	-0.0349472014	0.0282338142	-0.0663530328	0.0238303895	-0.0753916897	0.0613347014	-0.126992079	0.0276616647	-0.0179959326	0.1871595386	-0.1368841327	0.1136117972	-0.152564282	0.074955454	-0.1278801752	0.1153820913	0.0428397242	-0.0563017293	0.0409810276	-0.1654137983	-0.1481348652	0.0054227848	-0.0674985857	0.0278999808	-0.0414899269	0.0327724594	-0.0370814049	0.0849221904	-0.1500968732	0.0031343494	-0.0440063973	0.0813589517	0.0458224194	-0.0020579697	-0.0501535564	0.0509975487	0.0591052314	-0.0273777225	0.0616012416	-0.0537736562	0.0319859147	-0.012442076	0.0398788362	-0.0199294667	0.0229466535	-0.0614249435	0.0086884979	-0.0641304082	0.016836871	-0.1433869823	0.0485480095	-0.0681392454	0.062744814	-0.0273979948	0.0200654277	-0.0892955696	0.0048863624	0.1777314646	-0.0439541328	0.0444101405	-0.0192410881	-0.0088395154	0.0514499645	0.0011460571	-0.0075373888	-0.0365951363	0.0346003068	-0.0502710247	0.017627049	0.017166386	-0.0233772704	-0.0159322912	0.0650043446	-0.0414707089	-0.0295910801	0.0192322586	0.0671553498	-0.0136533804	-0.0472429103	0.0010194354	0.0194392538	0.0449896928	-0.0249284254	0.0072790464	0.0069493978	0.085861785	-0.0357952469	-0.1120110782	0.0009062889	0.0468719786	0.1226241902	-0.1326810178	0.0724456478	0.0511582483	-0.0593286543	-0.0277337924	0.0092151138	0.015518307	0.0544532513	0.1039992999	0.0466217343	-0.0453461016	0.0244719162	-0.0098455461	0.0092119006	-0.0652563231	0.1856824935	-0.0667965776	0.0004006773	-0.1286312659	0.030513611	-0.0569022438	0.1524706136	-0.0078389953	0.064111013	-0.0866682539	0.0245147444	-0.0708077451	0.0217069784	0.0269570069	0.0576085007	-0.0429387545	0.0202754099	-0.0877596207	0.0729427372	-0.0385391548	0.0531548563	-0.0039823026	0.0297138983	-0.0058895464	0.0029700192	-0.0352644291	0.0587587917	-0.0920618829	0.1181090546	-0.0142911422	0.0772062185	-0.0462253256	0.0463764136	-0.0414545465	0.1425680043	-0.004587508	-0.0525448722	0.0458300176	0.0745576501	-0.0692262626	0.0501500951	-0.0015667252	-0.0017648703	-0.0276404972	0.0290162461	0.0023592113	-0.0586361204	0.0444827536	-0.0929255397	-0.053256878	0.0277251047	-0.010990068	-0.014219374	-0.0075639356	0.0431905651	0.0086529301	-0.0656747271	0.0082537798	0.0115705681	-0.0539499306	-0.0030950374	-0.069636798	0.011100468	2.72961e-05	0.0380866071	-0.0497369476	0.0697644764	0.0565720667	-0.1520151872	-0.0778675345	0.0581852967	-0.0602106259	-0.0048217234	-0.0217246262	-0.0749975975	-0.0465883274	0.0591109927	-0.1746182481	0.0694913722	-0.1041769942	0.0750941755	-0.060018773	-0.0353651791	0.0654346323	-0.0028670157	0.0010342415	-0.0106273693	0.0385379758	-0.0757483083	0.0380263573	-0.1092050463	0.0025089083	0.0458383373	-0.0643938549	0.0138364135	-0.0452342164	0.0264773125	-0.0088048872	0.0469155729	0.0846654095	0.0846613839	0.0846546747	0.0846452821	0.0846332065	0.0846184482	0.0	0.0391263	0.0006325	4.000562500000015e-07	0.00153086735169	-0.0083693499999999	-0.0040854299999999	7.004601942249833e-05	1.6690738284899186e-05	0.414276	0.0434559999999999	0.1716246041759999	0.0018884239359999	-0.00171773	0.00067304	2.9505963529e-06	4.529828416e-07	0.00157591	-0.0002818199999999	2.4834923281e-06	7.942251239999995e-08	-0.0007370709999999	-0.0001616139999998	5.432736590408526e-07	2.6119084995967664e-08	0.0	0.0
4081.262185351097	-1.8200116571752003	16656701.025576811	3.3124424322536195	8966.092515733508	-37.340294562445706	1394.2975980102124	80390815.00069243	4142.399119578021	9.238957012483295	85.35832667851429	17159470.465880763	4326.037783265282	6896.897050238064	1.069701	41.002533	0.2150854499999999	0.115127	0.0373593161	-0.079705333	-0.0362752298	-0.0267665426	0.0151719556	-0.0537353458	0.0936034868	-0.0768621719	-0.030784043	-0.0263983405	0.0998410836	0.0319081842	0.1556467307	-0.0747984188	0.1269491587	-0.1165068137	0.1104873065	-0.1098893004	-0.0115499692	-0.0055825468	0.0504124797	0.0235683226	-0.0108344567	0.0096930776	-0.1211275824	-0.0473530581	-0.0269728375	-0.0009733687	-0.0220146205	0.0418689514	0.1751293631	-0.0355532023	-0.0768461009	0.0533942557	0.0773229782	0.0339739291	-0.0146479438	0.0990055426	-0.0097531382	-0.0523181261	-0.109137708	0.0430557978	0.0487498998	-0.101422533	0.0674367338	-0.1090430079	0.1444067319	-0.1468647191	0.0465425265	0.0861720729	0.0417099126	0.069373113	-0.0541359068	-0.0755434233	-0.1736235022	-0.0769946743	-0.081406437	-0.024664973	-0.0092573958	-0.0822327341	0.0093732273	-0.1067038875	-0.1209945166	0.0313444668	-0.0387279667	-0.0005951938	0.0400087394	0.0146258597	-0.001092069	0.0175983308	-0.0693763849	0.010339036	-0.1346951556	-0.0446441976	0.0806105093	-0.0472383854	0.0432757744	0.0336763483	-0.0878124725	-0.0224854944	-0.0372363918	-0.010136921	0.0347294935	-0.0127979672	-0.0330255782	-0.0286650543	0.0691833887	-0.0381172276	-0.0550416741	-0.0651056792	-0.0155110516	0.0451449162	0.0140575828	-0.027304793	0.0169720433	-0.0952676813	-0.002486395	-0.0399442493	0.0035780901	0.0153588563	0.1124583004	0.0157565043	0.0367136695	-0.0713634216	-0.0264437328	0.0101500302	0.0105739517	-0.0123382645	-0.0792518685	-0.0722515575	-0.1087933696	0.0169299956	0.0192809022	0.1385115876	0.0266214266	0.0148058948	0.0513111194	0.1074031177	-0.0665569692	0.0484764636	0.07185236	0.0265488396	-0.0793217177	-0.0686663226	-0.0156612748	0.0512576662	-0.0278022542	-0.0134532657	-0.0037886422	-0.0165905884	-0.1043888418	0.0882866104	-0.1354213173	-0.0499453044	-0.0477806766	-0.0940213529	-0.0700120991	0.1147385878	0.1669809013	-0.1572138408	-0.108051167	-0.0080129662	0.1002602432	0.1037819006	-0.0457150996	0.104843235	0.0054990798	0.0058347328	-0.0024886409	-0.0170538267	0.111287799	0.0017835457	0.0177990816	-0.1232872996	-0.1289944881	-0.028057655	-0.0445257738	0.0729447208	-0.0392209184	0.013092976	0.0445587559	0.0239549167	-0.0634337974	0.0137633596	-0.0663298254	0.0297915452	-0.0030362616	-0.0093710931	-0.0089965485	0.0234157367	0.041823177	-0.0437053549	0.0642403937	-0.0191990147	-0.0839621969	0.002338707	0.0154062677	0.0531586028	0.055931759	-0.0210002956	0.0402866283	0.008602929	0.0763220602	-0.0135419325	-0.0612747386	0.1180638198	-0.05557605	0.0377301418	-0.0734195858	0.0192011071	-0.0471716586	0.0348623356	0.0743531909	-0.0618113585	-0.0342733565	0.1329274625	0.0116132188	-0.0903993438	0.0921879783	-0.1543032243	-0.0625518562	-0.027898154	0.0364879233	-0.1035840492	-0.0289187762	-0.0508709177	-0.0778804657	0.0557478275	0.0846546747	0.0846184482	0.0845580822	0.0844735938	0.0843650073	0.0842323536	0.0	0.0397633	0.0006369999999999	4.057689999999983e-07	0.00158112002689	0.0467889	0.0551582499999999	0.00218920116321	0.0030424325430624	0.341585	-0.0726909999999999	0.116680312225	0.0052839814809999	-0.00321943	-0.0015017	1.03647295249e-05	2.2551028900000003e-06	0.00150724	-6.867000000000006e-05	2.2717724176e-06	4.715568900000008e-09	-0.000575457	0.0001616139999998	3.31150758849e-07	2.6119084995967664e-08	0.0	0.0
4079.9095653087375	-1.3526200423593764	16645662.061097732	1.8295809789922808	8939.471980624729	-26.620535108779222	708.6528894777472	79914159.29237461	4145.081271581093	2.6821520030716783	7.193939367581416	17181698.748012327	4324.094507975491	6866.601600049228	1.12949	43.294292	0.27805987	0.146319	0.0765023073	0.0211058229	-0.0330594449	0.0752258698	0.0372571788	0.0052836713	-0.0343789396	-0.0901686773	-0.047908089	-0.0518006741	0.0902284047	-0.0804643912	0.084820917	-0.1644075314	0.1261582113	-0.0052057378	0.064752687	-0.0532449315	0.070715757	0.1152878094	0.0506644265	-0.1488230946	0.0890744429	0.0331653837	0.0139960556	0.055070262	0.0515930296	-0.1383046625	-0.0465346775	-0.0434119305	-0.1017621759	-0.115402892	-0.0868145909	0.1077839628	-0.0575541524	0.0421264893	-0.0159110627	-0.0622551914	0.0050476012	0.0302358752	-0.0228620517	0.003149708	-0.0402875761	0.0651323854	-0.0629373957	-0.0159718342	0.1459898465	5.64386e-05	-0.0406331526	0.0782884231	0.0785350811	0.1057234306	-0.0452625519	-0.106079196	-0.0399709575	0.0323907873	0.0535428487	-0.0893344631	-0.016090364	0.0814701235	0.0080108403	0.0416344398	0.0591575412	0.0484915411	-0.0063087507	-0.1025024405	-0.1313214861	-0.0398763897	0.0391251436	0.0062052318	-0.0168208022	0.0390411289	0.0116703324	-0.0876242017	0.0926439146	-0.0434161175	-0.1024496422	0.0065903552	0.0739268933	-0.0082720609	0.0005185426	0.083455424	-0.0363102772	-0.0048591894	0.0205921756	0.0526862754	-0.0279548164	-0.0238254142	0.0420517928	0.1304687129	0.0506273527	0.0276700189	0.0418067548	0.0175626343	0.0551139526	-0.0819031458	-0.0204235593	0.0596692584	0.0095200733	0.010356315	-0.0177662095	-0.0987727914	-0.1207776433	0.0356078529	-0.1007375596	-0.0868039069	-0.0796039754	0.0277153466	-0.0756467905	-0.0028938374	0.0838120035	-0.0368944335	-0.1211969438	0.0737342682	-0.058371292	-0.0370863727	0.1048211753	-0.0946427468	0.0819710216	0.0070322673	-0.084557517	0.0581118599	-0.0407954561	0.015376641	-0.0158449482	0.0076313703	-0.0068953872	0.0433740027	-0.0529056272	-0.0434185249	-0.1467774647	0.0002211034	-0.0961124476	-0.2045779088	-0.1060177935	0.0314464743	0.0002284503	0.0167779843	-0.0114267733	-0.0009081094	-0.0346107819	-0.043730898	-0.146411053	-0.0884606465	0.0156078022	-0.0174210678	0.0010641716	-0.006993986	0.093105902	0.0144598427	-0.0717938756	0.0188756357	-0.0881730165	0.0066588942	-0.0690103032	0.0498215633	-0.0819739036	0.0525874126	-0.0946895475	0.0545272791	0.0605049548	0.083999593	0.0633818139	-0.0356334577	0.0340943357	-0.0353364343	0.0132585056	-0.030847437	0.0991400299	0.0370970232	0.0409895764	0.0798170168	-0.092390178	0.0110863806	0.0015373354	-0.0126533482	0.0312298771	0.0385365786	-0.0598290281	-0.0886261399	0.0396145705	-0.0683491923	-0.0170667998	-0.0038448106	-0.0437589611	0.0816692443	-0.1819085705	0.1794062229	-0.0038740116	0.0052331967	-0.080263792	0.036357009	0.1365156337	-0.0172313355	0.0192903789	0.0217258735	-0.0340823642	-0.0606427508	0.0586166307	-0.1657741342	-0.0180936679	0.0095713674	-0.0869556918	0.0677065288	-0.0558135687	0.1107118944	0.0772231539	-0.0591803561	0.0846332065	0.0845325986	0.0843650073	0.0841305655	0.0838294589	0.0834619261	0.0	0.0394004	-0.0003628999999999	1.3169640999999952e-07	0.00155239152016	0.00188978	-0.04489912	3.5712684484e-06	0.0020159309767744	0.426704	0.085119	0.182076303616	0.007245244161	-0.000914123	0.002305307	8.35620859129e-07	5.314440364249002e-06	0.00198267	0.00047543	3.9309803289e-06	2.260336849000002e-07	-0.000748297	-0.0001728399999999	5.599484002089999e-07	2.9873665599999986e-08	0.0	0.0
4074.834913183444	-5.074652125293596	16604279.569698725	25.752094192746814	8907.448627076326	-32.02335354840216	1025.495172485961	79342641.04400393	4147.864960641572	2.783689060479446	7.748924785432941	17204783.731718108	4326.19778170444	6858.494591187208	1.05409	40.404133	0.05740686	0.0287057	-0.0005404416	0.075366936	-0.0327769547	-0.0629482439	0.0966799726	-0.0143251508	-2.35625e-05	-0.0585683001	0.058398225	0.0154581243	0.0391033987	-0.1396515625	0.1032718317	-0.1389829591	0.0660792571	-0.011302646	0.0625398751	0.0272103326	-0.0238919585	0.0581134861	-0.1099349971	-0.0939004229	0.0475234175	-0.0653642286	-0.0496629578	-0.0306636842	0.0779269879	-0.0056869872	-0.0188531075	0.0579823203	-0.0224401535	-0.040283272	-0.1031461486	-0.0566217568	0.0283463214	0.0729053219	-0.0336297503	0.0668879196	-0.0734438636	-0.0017473572	0.0158856882	0.0223487856	0.0363398856	-0.092715697	0.0163721455	0.0772145916	0.0653266202	-0.0083107421	-0.0274256633	-0.0460665033	0.1264515567	-0.0929069219	-0.0590729192	0.0322804688	0.0407233625	0.0266621278	0.1304700004	0.072007079	-0.0284088283	-0.0036200322	0.009444526	0.039097316	0.0409320524	-0.0304523167	0.0493521893	-0.022336288	0.0294569814	-0.0701256913	-0.1334132929	0.1228062459	-0.1049086453	0.1736368641	-0.0641714617	0.0112061543	0.0008763962	0.0525979535	0.017156415	-0.0394086896	0.0106384739	0.0627706232	-0.0394805937	0.0589780817	-0.0712073149	0.0961254753	0.0512502925	-0.0104514731	0.0017719955	-0.079495333	-0.0499174704	0.0469407311	0.0028883283	-0.0255457949	0.0326804204	0.0617584893	-0.0275248288	-0.0142013344	-0.0947702356	-0.0063546908	0.0531900664	-0.0546544279	0.0226170275	0.093416299	0.0045391249	0.1083851879	-0.0095411928	-0.0464404919	-0.038499665	0.0672997066	-0.0821781943	0.0481818813	-0.0214578577	-0.0352428381	0.0564442196	0.0187796099	0.0382972023	0.0082189844	0.1262021282	0.0065028599	0.0088132722	0.0463689923	0.0222679325	-0.0810566602	-0.0119590236	-0.0271421837	-0.0282769676	-0.0007432347	-0.0038052652	-0.0657845754	0.0086458419	-0.0815574312	-0.1091537844	0.1093045454	-0.0196549648	-0.032324654	0.1297314795	0.0080373276	0.047861815	-0.0478253903	-0.070921653	0.1121959532	-0.0514607187	0.0301426973	0.0214162194	-0.0049802992	0.0783846144	-0.0555620983	0.0587399948	-0.0527983141	0.0187371783	0.0534616639	0.021660023	0.0298803399	-0.0882074732	-0.1267852277	0.0103849593	-0.2077383977	-0.0332449078	-0.084310696	-0.0664781625	0.0001561896	-0.0749201247	0.0044436149	0.0162028785	0.075432534	0.0333894908	-0.0400639347	0.1164570647	-0.0420721632	0.0051525048	0.0321127074	0.0569979634	-0.0422734075	-0.0649043722	0.0638358335	0.0232542705	0.0288852023	0.0480817107	-0.0269405278	-0.0496256078	-0.1105582898	-0.044876814	0.009579423	0.0134417798	0.0205816919	-0.055836948	0.0799041762	-0.2168580263	0.1230713638	0.0187084642	0.037854069	-0.131599639	-0.0538171906	0.1011654298	0.0449826714	-0.011809706	0.0786466525	0.0329206801	-0.0628032241	0.0738712418	-0.1476851549	0.0187723023	0.1085362652	-0.024190295	0.0072960225	-0.0429210299	0.0124215808	0.0495791205	-0.0561316852	0.0846010076	0.0844038786	0.0840756705	0.0836168929	0.0830282584	0.082310681	0.0	0.0359464	-0.0034539999999999	1.1930115999999991e-05	0.00129214367296	-0.00309533	-0.00498511	9.5810678089e-06	2.48513217121e-05	0.418792	-0.007912	0.175386739264	6.259974400000047e-05	-0.000737639	0.0001764839999999	5.44111294321e-07	3.114660225599999e-08	0.00182262	-0.00016005	3.3219436644e-06	2.561600250000004e-08	-0.000263716	0.000484581	6.9546128656e-08	2.34818745561e-07	0.0	0.0
4081.1595600809455	6.32464689750168	16655863.354840096	40.00115837807762	8869.591236142758	-37.85739093356824	1433.1820482970147	78669648.69626042	4147.255113419831	-0.6098472217408926	0.3719136338650853	17199724.975786936	4330.1676113447	6874.845800157966	1.087812	41.696728	0.19530542	0.110052	-0.0846701541	-0.0134396216	-0.0285637824	-0.0164368391	-0.014936794	-0.0734364785	-0.0086221031	-0.022065734	0.0745380108	-0.0158595214	-0.0197885418	-0.0170404253	0.13153435	-0.1827975663	-0.0108194296	-0.0026256662	0.0454375776	0.1155020667	0.0749104641	0.0737081086	-0.0533501634	0.0328252157	0.0765467449	0.0017736183	-0.1454438423	-0.0509493361	-0.0788692016	-0.0402128809	-0.0490490501	0.0145407489	-0.2150863088	-0.019751462	-0.0972565538	0.0389919299	-0.1006796856	-0.0748232759	0.016890942	-0.0603667845	0.0137034972	0.0046375627	-0.0754252994	-0.0068690052	-0.0132449692	0.0813377661	-0.0532055105	-0.0057905915	0.0734832629	-0.0387488827	0.0865587091	0.0659489211	0.1020149789	0.0750225872	0.0474481118	-0.0642986521	-0.0185906028	0.0061592471	0.0646068004	-0.0111869409	-0.0402008788	-0.0338635993	-0.0790339872	0.0077099234	-0.1331985935	-0.0059918411	-0.0601549813	-0.1055601552	0.1282825442	-0.0212872339	-0.0729433879	0.0107486693	-0.0554801459	-0.0514369819	-0.0259914313	0.0459819691	-0.0935286663	0.0119082809	-0.0262032937	-0.0463118096	0.0937768754	-0.0196747537	-0.0163041844	-0.0311714235	0.0569453174	0.0048540523	0.0067324033	-0.0370564075	0.0240235334	0.070042714	0.0303277394	-0.0209813505	0.0535001588	0.0036763786	0.0250039364	-0.0647640836	0.0032039158	-0.1528681835	-0.0528081758	-0.0460816279	-0.0141481072	0.0107973255	0.0225992653	0.1097197129	0.058435877	0.0759268501	-0.0579274511	0.0417307946	0.0061410126	-0.0038774806	-0.0713941609	-0.0954247074	-0.0506457281	-0.0320222346	-0.0446302587	-0.0558684783	0.0466383908	-0.1518141237	0.0870438173	-0.2084923011	0.086800393	-0.0387250031	-0.0630179445	-0.0267049418	-0.0448944379	-0.008167577	0.0386472091	-0.0275767583	-0.0255676815	0.0887753549	0.0002292469	-0.0845241769	-0.0185910385	-0.0624888973	-0.0615431187	-0.0953295816	-0.0449985095	-0.0898607293	0.0309796812	-0.0706907972	0.0174164167	-0.0149437016	-0.0453575519	0.0442945976	0.0577423624	-0.0734744205	-0.0064982566	0.0312014995	-0.0869630023	0.058981104	0.1106132049	-0.0099955338	0.1397283556	0.0756180874	0.0547820597	-0.0559536366	0.0055573854	-0.0343797824	0.0832694154	-0.0166930473	-0.0200568023	-0.0943726245	0.017352054	0.0166195394	0.0180303198	-0.0383364622	0.0122894634	-0.0669555197	-0.0375588434	-0.0031295957	-0.0445031153	0.039523433	0.0242625618	0.0720186879	0.0736018215	-0.1206040965	-0.0188898976	-0.0773375221	0.0715833745	0.0630362252	0.0638766157	-0.0987494015	-0.0380248032	0.0184362892	0.0483403791	-0.0342307091	-0.0850418577	0.0312386482	-0.1435591402	0.0528732337	-0.0711056767	0.0592130146	-0.1033858248	-0.1205532058	0.1104138156	0.0310177081	-0.0045280119	0.0258702431	-0.0628101126	-0.0840200267	0.1004194383	-0.0869843293	0.0965472635	0.0760663929	-0.0191367191	-0.1479162021	-0.083172643	-0.0066063491	-0.0455900374	-0.0188487492	0.0845580822	0.0842323536	0.0836904018	0.082933618	0.0819639447	0.0807838712	0.0	0.0200427	-0.0159037	0.00025292767369	0.00040170982329	-0.00381545	-0.00072012	1.4557658702500002e-05	5.185728144000005e-07	0.419815	0.0010229999999999	0.176244634225	1.0465289999999922e-06	-0.00168452	-0.0009468809999999	2.8376076303999995e-06	8.965836281609998e-07	0.000156224	-0.001666396	2.4405938176e-08	2.7768756288160004e-06	0.000676179	0.0009398949999999	4.5721804004100005e-07	8.834026110249999e-07	0.0	0.0
