onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.033183	2.456117	choice_friend	2.456117	4	high	0	4
9.286950	1.000000	outcome_friend_defect	2.456117	4	high	0	4
12.101039	2.571476	choice_computer	2.571476	2	low	2	8
18.854069	1.000000	outcome_computer_recip	2.571476	2	low	2	8
21.662119	2.643867	choice_computer	2.643867	4	high	2	4
28.412973	1.000000	outcome_computer_recip	2.643867	4	high	2	4
31.338228	2.101074	choice_stranger	2.101074	4	high	0	4
36.590460	1.000000	outcome_stranger_recip	2.101074	4	high	0	4
39.511097	2.594454	choice_stranger	2.594454	8	high	2	8
44.762970	1.000000	outcome_stranger_defect	2.594454	8	high	2	8
49.191930	2.413806	choice_friend	2.413806	8	high	4	8
54.444435	1.000000	outcome_friend_recip	2.413806	8	high	4	8
57.256344	1.932943	choice_friend	1.932943	2	high	0	2
64.006440	1.000000	outcome_friend_recip	1.932943	2	high	0	2
66.923880	2.215400	choice_stranger	2.215400	8	high	4	8
72.176190	1.000000	outcome_stranger_defect	2.215400	8	high	4	8
76.601036	2.838459	choice_computer	2.838459	2	low	2	8
81.853935	1.000000	outcome_computer_recip	2.838459	2	low	2	8
87.895280	1.627824	choice_friend	1.627824	8	high	0	8
93.147545	1.000000	outcome_friend_defect	1.627824	8	high	0	8
95.958870	1.813558	choice_computer	1.813558	4	low	4	8
101.211980	1.000000	outcome_computer_recip	1.813558	4	low	4	8
105.639300	1.900380	choice_friend	1.900380	4	high	2	4
113.892080	1.000000	outcome_friend_defect	1.900380	4	high	2	4
123.270134	2.153012	choice_stranger	2.153012	2	low	2	8
128.522420	1.000000	outcome_stranger_recip	2.153012	2	low	2	8
131.334170	1.505107	choice_friend	1.505107	2	high	0	2
138.087110	1.000000	outcome_friend_defect	1.505107	2	high	0	2
144.127530	2.045532	choice_computer	2.045532	4	high	0	4
150.880070	1.000000	outcome_computer_defect	2.045532	4	high	0	4
153.792530	2.246628	choice_stranger	2.246628	4	high	0	4
160.544680	1.000000	outcome_stranger_defect	2.246628	4	high	0	4
164.973530	2.282395	choice_friend	2.282395	8	high	2	8
170.227080	1.000000	outcome_friend_recip	2.282395	8	high	2	8
173.037160	2.385365	choice_computer	2.385365	4	high	0	4
179.789780	1.000000	outcome_computer_recip	2.385365	4	high	0	4
182.709010	2.613913	choice_stranger	2.613913	8	high	0	8
189.461530	1.000000	outcome_stranger_recip	2.613913	8	high	0	8
198.837800	2.067937	choice_stranger	2.067937	8	high	0	8
207.089600	1.000000	outcome_stranger_defect	2.067937	8	high	0	8
214.745120	1.894241	choice_computer	1.894241	2	high	0	2
221.497630	1.000000	outcome_computer_recip	1.894241	2	high	0	2
225.925520	1.846849	choice_friend	1.846849	4	high	2	4
232.678190	1.000000	outcome_friend_recip	1.846849	4	high	2	4
235.488420	2.218265	choice_friend	2.218265	8	high	4	8
240.740860	1.000000	outcome_friend_defect	2.218265	8	high	4	8
246.887040	2.285416	choice_stranger	2.285416	2	low	2	4
252.139300	1.000000	outcome_stranger_recip	2.285416	2	low	2	4
254.950790	2.722359	choice_computer	2.722359	8	high	0	8
260.202940	1.000000	outcome_computer_defect	2.722359	8	high	0	8
264.627350	2.879028	choice_computer	2.879028	2	low	2	8
272.878100	1.000000	outcome_computer_defect	2.879028	2	low	2	8
275.689360	2.949535	choice_computer	2.949535	8	high	0	8
283.942020	1.000000	outcome_computer_recip	2.949535	8	high	0	8
288.471620	2.867636	choice_stranger	2.867636	4	low	4	8
293.723720	1.000000	outcome_stranger_recip	2.867636	4	low	4	8
296.535600	1.670047	choice_friend	1.670047	8	high	2	8
303.288020	1.000000	outcome_friend_defect	1.670047	8	high	2	8
307.818820	2.136800	choice_stranger	2.136800	2	high	0	2
313.071040	1.000000	outcome_stranger_recip	2.136800	2	high	0	2
315.883300	2.572970	choice_friend	2.572970	4	high	0	4
321.135930	1.000000	outcome_friend_recip	2.572970	4	high	0	4
327.175170	2.197414	choice_computer	2.197414	4	low	4	8
332.427060	1.000000	outcome_computer_defect	2.197414	4	low	4	8
340.080630	2.058336	choice_computer	2.058336	4	high	2	4
345.331200	1.000000	outcome_computer_defect	2.058336	4	high	2	4
349.757700	2.631771	choice_computer	2.631771	2	high	0	2
355.008600	1.000000	outcome_computer_defect	2.631771	2	high	0	2
357.925450	2.996351	choice_stranger	2.996351	8	high	2	8
363.178100	1.000000	outcome_stranger_defect	2.996351	8	high	2	8
365.991640	2.280951	choice_friend	2.280951	8	high	2	8
372.743840	1.000000	outcome_friend_defect	2.280951	8	high	2	8
377.170140	1.619073	choice_friend	1.619073	8	high	0	8
382.422670	1.000000	outcome_friend_recip	1.619073	8	high	0	8
385.339140	2.499585	choice_stranger	2.499585	2	low	2	4
392.091340	1.000000	outcome_stranger_defect	2.499585	2	low	2	4
396.519380	2.103126	choice_friend	2.103126	8	high	2	8
401.771820	1.000000	outcome_friend_recip	2.103126	8	high	2	8
407.918000	2.221706	choice_stranger	2.221706	2	high	0	2
414.670350	1.000000	outcome_stranger_defect	2.221706	2	high	0	2
425.555450	2.816837	choice_computer	2.816837	8	high	2	8
430.808200	1.000000	outcome_computer_defect	2.816837	8	high	2	8
433.724820	2.881206	choice_stranger	2.881206	8	high	2	8
440.477100	1.000000	outcome_stranger_recip	2.881206	8	high	2	8
