onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.165714	2.678502	choice_stranger	2.678502	0	low	0	2
12.233287	1.844076	choice_computer	1.844076	0	low	0	2
25.157465	2.286278	choice_stranger	2.286278	0	low	0	4
36.467873	2.276398	choice_friend	2.276398	8	high	2	8
44.724350	1.000000	outcome_friend_recip	2.276398	8	high	2	8
49.279260	2.315216	choice_stranger	2.315216	8	high	4	8
56.032383	1.000000	outcome_stranger_defect	2.315216	8	high	4	8
58.841220	2.552499	choice_computer	2.552499	8	high	0	8
67.100970	1.000000	outcome_computer_defect	2.552499	8	high	0	8
76.492714	1.834867	choice_stranger	1.834867	2	low	2	4
83.245320	1.000000	outcome_stranger_recip	1.834867	2	low	2	4
87.671810	1.923054	choice_computer	1.923054	4	high	0	4
95.927500	1.000000	outcome_computer_recip	1.923054	4	high	0	4
98.733650	1.611115	choice_computer	1.611115	4	low	4	8
103.985120	1.000000	outcome_computer_recip	1.611115	4	low	4	8
106.926380	2.102251	choice_stranger	2.102251	0	low	0	8
114.989590	1.872224	choice_computer	1.872224	2	low	2	8
121.743030	1.000000	outcome_computer_defect	1.872224	2	low	2	8
129.403980	1.574701	choice_friend	1.574701	8	high	0	8
137.656330	1.000000	outcome_friend_defect	1.574701	8	high	0	8
143.832240	1.813052	choice_stranger	1.813052	4	low	4	8
150.587680	1.000000	outcome_stranger_recip	1.813052	4	low	4	8
155.137830	1.790573	choice_stranger	1.790573	2	low	2	8
161.888600	1.000000	outcome_stranger_recip	1.790573	2	low	2	8
169.551440	1.960469	choice_friend	1.960469	8	high	4	8
174.804000	1.000000	outcome_friend_defect	1.960469	8	high	4	8
185.828340	2.418018	choice_stranger	2.418018	0	low	0	8
195.391850	1.771055	choice_computer	1.771055	2	low	2	8
202.144240	1.000000	outcome_computer_recip	1.771055	2	low	2	8
206.574450	1.654723	choice_friend	1.654723	4	high	2	4
213.326540	1.000000	outcome_friend_recip	1.654723	4	high	2	4
216.140260	2.239407	choice_friend	2.239407	8	high	2	8
222.891140	1.000000	outcome_friend_recip	2.239407	8	high	2	8
229.058400	1.887644	choice_stranger	1.887644	2	low	2	8
234.314530	1.000000	outcome_stranger_recip	1.887644	2	low	2	8
238.744770	0.551746	choice_friend	0.551746	0	low	0	8
246.936660	2.193098	choice_stranger	2.193098	2	low	2	4
252.189120	1.000000	outcome_stranger_defect	2.193098	2	low	2	4
256.615450	1.698399	choice_computer	1.698399	2	low	2	4
263.368000	1.000000	outcome_computer_defect	1.698399	2	low	2	4
266.183400	2.446756	choice_friend	2.446756	4	high	0	4
271.436250	1.000000	outcome_friend_defect	2.446756	4	high	0	4
277.476200	2.253597	choice_computer	2.253597	4	low	4	8
282.729340	1.000000	outcome_computer_defect	2.253597	4	low	4	8
285.542820	2.287594	choice_friend	2.287594	2	high	0	2
290.794700	1.000000	outcome_friend_defect	2.287594	2	high	0	2
295.347440	2.133141	choice_stranger	2.133141	2	low	2	8
300.599460	1.000000	outcome_stranger_defect	2.133141	2	low	2	8
305.149350	1.964634	choice_stranger	1.964634	8	high	2	8
310.400970	1.000000	outcome_stranger_defect	1.964634	8	high	2	8
313.217830	1.746248	choice_friend	1.746248	4	high	2	4
318.471470	1.000000	outcome_friend_defect	1.746248	4	high	2	4
322.897400	2.300172	choice_computer	2.300172	2	low	2	4
328.149870	1.000000	outcome_computer_recip	2.300172	2	low	2	4
337.547030	1.850818	choice_stranger	1.850818	0	low	0	2
345.753020	2.144268	choice_stranger	2.144268	0	low	0	4
355.438170	2.176382	choice_friend	2.176382	4	high	0	4
360.691070	1.000000	outcome_friend_recip	2.176382	4	high	0	4
363.503480	2.794428	choice_computer	2.794428	8	high	0	8
370.255580	1.000000	outcome_computer_recip	2.794428	8	high	0	8
373.071870	2.126159	choice_friend	2.126159	8	high	4	8
379.824000	1.000000	outcome_friend_recip	2.126159	8	high	4	8
382.634220	2.080637	choice_computer	2.080637	0	low	0	4
392.201720	1.879887	choice_friend	1.879887	2	high	0	2
397.453500	1.000000	outcome_friend_recip	1.879887	2	high	0	2
400.265720	1.882731	choice_computer	1.882731	2	low	2	8
405.518950	1.000000	outcome_computer_defect	1.882731	2	low	2	8
408.326480	1.889083	choice_computer	1.889083	0	low	0	2
416.387420	1.894507	choice_computer	1.894507	2	low	2	8
421.640720	1.000000	outcome_computer_recip	1.894507	2	low	2	8
426.076870	1.954624	choice_friend	1.954624	8	high	2	8
432.829500	1.000000	outcome_friend_defect	1.954624	8	high	2	8
435.644680	2.170783	choice_friend	2.170783	2	low	2	8
440.895630	1.000000	outcome_friend_defect	2.170783	2	low	2	8
