onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.014636	3.000000	missed_trial	3.000000	n/a	n/a	0	4
15.314807	3.000000	missed_trial	3.000000	n/a	n/a	0	2
24.878428	1.675512	choice_computer	1.675512	2	high	0	2
30.130802	1.000000	outcome_computer_defect	1.675512	2	high	0	2
32.940810	2.030053	choice_computer	2.030053	8	high	4	8
39.694397	1.000000	outcome_computer_recip	2.030053	8	high	4	8
45.740190	1.980484	choice_friend	1.980484	4	high	2	4
52.492687	1.000000	outcome_friend_defect	1.980484	4	high	2	4
58.656850	2.763604	choice_stranger	2.763604	2	low	2	8
65.409430	1.000000	outcome_stranger_recip	2.763604	2	low	2	8
68.220360	2.916560	choice_computer	2.916560	2	low	2	4
73.473410	1.000000	outcome_computer_recip	2.916560	2	low	2	4
77.906920	2.846712	choice_friend	2.846712	0	low	0	8
89.200455	2.070054	choice_computer	2.070054	8	high	2	8
94.450560	1.000000	outcome_computer_recip	2.070054	8	high	2	8
97.387880	2.266221	choice_stranger	2.266221	8	high	0	8
105.640050	1.000000	outcome_stranger_defect	2.266221	8	high	0	8
116.523994	2.780374	choice_computer	2.780374	0	low	0	8
126.207306	1.629793	choice_stranger	1.629793	2	low	2	8
131.458470	1.000000	outcome_stranger_defect	1.629793	2	low	2	8
139.117050	2.136614	choice_computer	2.136614	4	high	0	4
145.870220	1.000000	outcome_computer_defect	2.136614	4	high	0	4
148.687640	1.516034	choice_friend	1.516034	8	high	2	8
155.440250	1.000000	outcome_friend_recip	1.516034	8	high	2	8
159.990630	2.212825	choice_stranger	2.212825	0	low	0	4
169.672850	1.830683	choice_stranger	1.830683	0	low	0	8
177.742170	1.594079	choice_friend	1.594079	8	high	0	8
184.499190	1.000000	outcome_friend_defect	1.594079	8	high	0	8
190.535810	1.867489	choice_computer	1.867489	2	high	0	2
195.788640	1.000000	outcome_computer_recip	1.867489	2	high	0	2
200.220440	1.833250	choice_friend	1.833250	4	high	0	4
205.472630	1.000000	outcome_friend_defect	1.833250	4	high	0	4
213.129360	2.090628	choice_computer	2.090628	8	high	4	8
218.382170	1.000000	outcome_computer_defect	2.090628	8	high	4	8
221.192600	3.000000	missed_trial	3.000000	n/a	n/a	2	8
229.251570	1.234530	choice_computer	1.234530	8	high	2	8
234.504320	1.000000	outcome_computer_defect	1.234530	8	high	2	8
237.314940	2.004706	choice_computer	2.004706	0	low	0	8
246.890560	1.912695	choice_friend	1.912695	4	high	2	4
253.643700	1.000000	outcome_friend_recip	1.912695	4	high	2	4
256.460820	1.859311	choice_friend	1.859311	8	high	4	8
261.712460	1.000000	outcome_friend_defect	1.859311	8	high	4	8
264.529720	1.823190	choice_friend	1.823190	2	low	2	8
269.780400	1.000000	outcome_friend_defect	1.823190	2	low	2	8
272.599270	1.703720	choice_friend	1.703720	8	high	4	8
280.853120	1.000000	outcome_friend_recip	1.703720	8	high	4	8
283.661620	2.224723	choice_computer	2.224723	4	high	2	4
288.914180	1.000000	outcome_computer_defect	2.224723	4	high	2	4
293.337430	1.532185	choice_computer	1.532185	8	high	2	8
301.587740	1.000000	outcome_computer_defect	1.532185	8	high	2	8
306.136000	2.917246	choice_stranger	2.917246	4	high	2	4
311.388200	1.000000	outcome_stranger_defect	2.917246	4	high	2	4
315.935150	1.351179	choice_stranger	1.351179	8	high	2	8
322.688400	1.000000	outcome_stranger_recip	1.351179	8	high	2	8
327.123660	1.912627	choice_friend	1.912627	8	high	2	8
332.376250	1.000000	outcome_friend_defect	1.912627	8	high	2	8
335.304100	1.415334	choice_stranger	1.415334	2	low	2	8
340.557740	1.000000	outcome_stranger_defect	1.415334	2	low	2	8
345.099180	1.736750	choice_stranger	1.736750	4	low	4	8
351.850250	1.000000	outcome_stranger_defect	1.736750	4	low	4	8
354.781800	1.587241	choice_stranger	1.587241	0	low	0	2
369.422420	2.863654	choice_stranger	2.863654	8	high	4	8
374.674770	1.000000	outcome_stranger_recip	2.863654	8	high	4	8
377.602420	1.516988	choice_stranger	1.516988	0	low	0	2
393.744700	2.357901	choice_stranger	2.357901	0	low	0	4
404.926900	1.641884	choice_stranger	1.641884	2	low	2	4
410.177030	1.000000	outcome_stranger_recip	1.641884	2	low	2	4
414.612240	2.089685	choice_friend	2.089685	4	high	0	4
419.865600	1.000000	outcome_friend_recip	2.089685	4	high	0	4
424.296660	1.922667	choice_friend	1.922667	8	high	2	8
431.047200	1.000000	outcome_friend_recip	1.922667	8	high	2	8
435.481260	1.637415	choice_friend	1.637415	0	low	0	2
